element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,33.796875,50.000000,48.438493,0.507937,0.507937,10.804452,7.826087,9.348403,10.805303,7.822779,9.386517,1.870459,58.125000
110,60.163636,64.421212,50.798125,0.866142,0.866142,11.944206,8.361007,10.647168,11.721158,8.048709,9.859439,0.952609,55.451515
240,57.900000,84.643056,52.711205,0.469667,0.469667,12.902640,7.680094,11.414867,12.888479,7.906662,11.640151,1.865684,52.138889
500,57.431333,81.797000,53.558577,0.488759,0.488759,13.619203,8.722629,13.350644,13.730904,8.712015,13.015490,1.845013,50.839333
800,56.723125,73.643125,54.324569,0.782014,0.782014,14.566373,9.192701,12.666665,13.904129,9.349251,12.581675,1.181438,51.905833
1024,57.092448,80.197103,56.675076,0.500244,0.500244,14.713336,8.636739,14.872939,15.191740,8.541711,14.795079,1.893425,50.476562
1500,57.551222,72.524000,66.265314,0.732780,0.732780,17.788169,9.923677,15.250250,16.870589,9.913177,15.115694,1.167844,52.640000
2048,56.701172,72.774740,62.286921,0.500122,0.500122,18.002697,9.426564,17.269558,17.486535,9.235905,17.063224,1.885185,50.168945
3000,57.346778,74.028889,73.591538,0.732601,0.732601,20.025280,11.326737,18.512603,19.390106,10.783250,18.174078,1.329849,52.914667
6000,47.144611,60.169944,79.186202,0.732511,0.732511,21.993941,13.438650,21.920016,22.473060,13.284539,21.684576,1.373327,52.654111
8192,46.080241,67.418132,70.762871,0.500031,0.500031,23.442931,11.917510,22.797767,23.579216,11.813339,22.702979,2.701906,53.539307
12000,46.345222,60.579389,84.073178,0.732467,0.732467,24.087846,14.459328,24.331253,24.245124,14.563571,24.425882,1.713490,53.284972
16384,45.671529,68.085632,74.337411,0.500015,0.500015,25.464261,12.414944,24.175945,25.283066,12.424677,24.006636,3.735779,52.116374
25000,46.605460,60.690667,93.685976,0.762963,0.762963,25.869278,16.453029,26.446660,25.900162,16.467370,26.686592,1.975044,52.793773
32768,46.885096,70.005880,81.514671,0.500008,0.500008,29.799335,13.065956,26.010934,29.529421,12.957662,26.173113,4.107215,54.985433
45000,48.972096,64.873215,107.015090,0.686656,0.686656,42.882265,15.181523,30.432069,39.088679,15.112724,29.846577,2.558160,57.667407
60000,52.021444,86.208972,131.567313,0.457767,0.457767,67.399467,14.990665,40.516291,66.607638,14.818313,40.917815,4.527846,65.844983
100000,56.620250,77.311613,245.557569,0.762945,0.762945,105.830128,27.606176,71.521494,105.340591,30.969797,74.151245,2.101564,66.000663
150000,69.094793,117.584936,249.269581,0.572207,0.572207,127.147974,44.606169,94.800220,127.273824,43.977868,94.994766,3.505420,73.411013
200000,69.758625,106.471487,344.554981,0.762942,0.762942,132.267285,61.866851,102.532127,133.409171,62.093188,103.243122,2.118206,73.432022
300000,84.640103,149.819378,306.537937,0.572206,0.572206,149.982359,66.666131,113.923337,149.108521,66.816074,115.635903,3.502362,88.671786
400000,83.920946,133.370990,404.533152,0.762941,0.762941,151.850564,75.031306,118.956190,152.238563,75.086652,121.619507,2.095542,86.867136
600000,104.668465,174.429614,338.683787,0.572205,0.572205,168.707943,72.318905,127.878292,169.211313,72.346553,127.051039,3.444515,107.569912
800000,104.406577,157.813714,434.536081,0.762940,0.762940,172.342773,80.156460,130.939078,172.089104,80.233179,131.280447,2.125393,107.380157
1200000,126.514167,199.341440,361.749500,0.572205,0.572205,187.328634,76.171301,137.594901,189.089099,76.131454,137.432155,3.375580,128.727958
2200000,144.901249,230.313031,390.754442,0.524521,0.524521,210.627027,82.615163,149.767123,211.712247,82.643626,152.070756,3.615477,148.114499
3100000,147.829156,208.349413,455.107454,0.739098,0.739098,212.395851,91.963129,155.468812,214.187692,91.828769,156.552470,1.972113,150.295543
6000000,162.595318,231.190175,474.380291,0.715256,0.715256,237.352167,101.798249,176.635994,235.297802,101.642429,177.604106,1.872924,174.879651
10000000,168.649595,261.639561,474.635785,0.596047,0.596047,262.112130,105.407075,195.242956,260.706543,105.301928,193.262159,3.387888,178.159531
