element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,107.494792,334.572917,59.549983,0.500000,0.500000,2.041307,1.950170,1.995914,2.043008,1.945332,1.997858,7.819588,116.458333
110,93.842424,322.806061,63.072712,0.429688,0.859375,2.045329,1.953964,1.998357,2.042869,1.951186,1.997783,9.457015,207.384848
240,91.023611,328.961111,70.274919,0.468750,0.468750,2.124569,2.022822,2.017122,2.125157,1.997649,2.053860,9.507116,91.719444
500,76.190667,314.979000,76.021180,0.488281,0.488281,2.163858,2.104446,2.129429,2.168670,2.094335,2.129891,10.333417,71.784000
800,81.892708,324.703125,58.522875,0.390625,0.781250,2.167176,2.131705,2.152237,2.162901,2.086180,2.127640,12.201000,193.472083
1024,99.452637,306.536784,81.458377,0.500000,0.500000,2.169980,2.111885,2.145506,2.174109,2.124315,2.134467,10.297109,92.255859
1500,101.280778,384.498111,58.905413,0.366211,0.732422,2.271178,2.230127,2.232547,2.188838,2.122358,2.161001,14.365515,192.766222
2048,95.442464,274.240397,86.182822,0.500000,0.500000,2.480450,2.263369,2.324953,2.308657,2.238680,2.326222,11.668282,92.745768
3000,98.241833,341.058000,66.243951,0.366211,0.732422,2.919741,2.778377,2.837915,2.540502,2.348469,2.534515,21.801824,197.874889
6000,93.255472,377.500722,72.958990,0.366211,0.732422,3.286967,3.217686,4.479518,3.111473,3.000612,4.008533,33.309559,204.512944
8192,113.130391,291.208903,101.916725,0.500000,0.500000,3.320451,3.254365,4.754597,3.322180,3.254695,4.925257,30.950522,75.827677
12000,119.413083,371.200556,98.218439,0.366211,0.732422,3.320355,3.279258,7.033680,3.306243,3.244666,7.102739,38.893710,230.813389
16384,142.705699,323.783285,275.232740,0.500000,0.500000,3.317161,3.278071,9.022039,3.334870,3.284808,8.957007,33.734180,144.532389
25000,128.680027,583.331113,112.697122,0.381470,0.762939,3.468735,3.429412,10.141104,3.324509,3.281994,10.019482,38.632465,255.059080
32768,149.628550,500.097234,303.142151,0.500000,0.500000,3.469840,3.431929,10.301077,3.467363,3.435536,10.302717,33.881048,150.189941
45000,146.424652,977.621548,142.577512,0.343323,0.686646,3.924712,3.895050,10.607306,3.479849,3.437709,10.337816,38.882395,284.872252
60000,162.206828,953.482578,239.540263,0.457764,0.457764,4.172689,3.948037,10.771766,4.336996,4.058756,10.763995,36.517426,167.340794
100000,231.971070,1071.310350,278.378047,0.381470,0.762939,13.109364,10.245142,16.660425,9.731715,6.147805,12.721972,43.658589,404.063350
150000,555.586911,962.471449,2713.413482,0.572205,0.572205,19.253096,15.737900,21.538270,19.353497,15.697437,21.471381,31.606241,475.653764
200000,321.695875,1269.474173,405.368571,0.381470,0.762939,21.948825,20.616104,26.564995,20.800525,17.555469,23.468590,48.364730,523.008613
300000,499.216362,1539.965201,3058.278740,0.572205,0.572205,22.376826,21.150538,27.200618,22.177149,21.089151,27.217415,35.292250,495.549009
400000,427.835442,1920.957775,506.100367,0.381470,0.762939,22.936768,22.463914,28.716654,22.301928,21.294041,27.357751,50.292838,665.774947
600000,660.934450,1680.137202,3346.922396,0.572205,0.572205,22.924521,22.481917,28.744033,22.942726,22.477980,28.718196,35.230776,661.082544
800000,533.665123,2114.273459,584.295656,0.381470,0.762939,23.840455,23.601468,29.743054,23.370052,22.914986,28.956373,51.044576,851.562270
1200000,931.215242,2254.150570,4910.460417,0.572205,0.572205,23.863264,23.618347,29.721099,23.895844,23.625324,29.750719,34.667546,933.629873
2200000,820.287614,2304.454250,1941.587659,0.524521,0.524521,24.579089,24.465568,30.306566,24.468876,24.318806,30.296482,43.030475,818.652648
3100000,651.424916,3612.381206,688.124642,0.369549,0.739098,28.985141,28.734536,33.457941,24.456181,24.230741,30.307631,72.729099,1256.541704
6000000,695.720581,4505.021096,949.177054,0.357628,0.715256,35.445128,35.525307,39.736663,28.814279,28.710680,33.689022,37.006561,1357.441103
10000000,3050.330321,4253.751194,0.000000,0.596046,0.596046,35.411251,35.566627,39.727710,35.491967,35.392972,39.694034,inf,2092.272003
