element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,232.958333,629.348958,142.835603,0.500000,0.500000,12.076078,10.870879,12.001228,12.060542,10.836250,11.966344,4.229474,218.833333
110,182.793939,820.590909,149.741423,0.429688,0.859375,12.976478,12.320311,12.683718,12.695583,13.843954,14.511712,5.211693,408.830303
240,166.007639,731.834722,160.205348,0.468750,0.468750,14.525724,15.648811,15.479976,14.448634,15.478182,15.515397,4.662677,148.187500
500,158.727667,608.734000,168.656486,0.488281,0.488281,14.928840,18.019512,17.764748,14.924085,17.844109,17.770014,4.539211,141.801333
800,192.805208,648.444167,142.751040,0.390625,0.781250,16.286078,17.541771,18.634179,15.248161,17.497601,20.490340,6.931015,418.871667
1024,202.420573,559.508626,178.466069,0.500000,0.500000,16.484896,19.511234,19.750262,16.726483,19.996399,19.902062,4.405054,200.705078
1500,194.892556,684.060000,148.592739,0.366211,0.732422,19.163023,18.924564,22.157808,17.510249,19.197848,22.846917,9.264504,443.854444
2048,251.618164,575.884115,193.673861,0.500000,0.500000,20.873850,22.498278,24.727702,21.040740,22.243862,24.847734,5.602410,297.968913
3000,192.475000,686.913111,162.830411,0.366211,0.732422,24.621285,22.329730,27.796467,23.052593,23.563763,28.240396,10.761238,456.164000
6000,198.458667,734.479917,172.953324,0.366211,0.732422,27.104619,25.037599,31.734375,26.238287,27.013022,32.840817,12.672231,478.277056
8192,309.386983,587.391459,218.818290,0.500000,0.500000,27.248923,28.323100,32.815713,27.173218,28.213215,32.935960,10.835241,282.747762
12000,328.604875,754.330694,214.205108,0.366211,0.732422,27.555676,25.878084,32.905543,27.339663,28.740964,34.868602,14.226446,584.138611
16384,264.547974,658.880483,440.013102,0.500000,0.500000,27.719602,29.093815,34.159996,27.751746,29.179095,34.111865,11.716266,449.703349
25000,434.420893,1307.403893,248.957805,0.381470,0.762939,29.460341,27.638521,36.760415,28.031197,30.064809,36.191402,14.437263,670.578413
32768,386.173904,1453.093002,490.015758,0.500000,0.500000,32.129877,31.293252,36.455744,31.305929,31.104534,37.785869,11.502084,446.459971
45000,353.461500,2340.334652,343.751493,0.343323,0.686646,56.080576,31.679151,47.379463,41.865901,34.570382,41.727243,14.944741,732.298200
60000,315.089500,1519.501761,525.590199,0.457764,0.457764,88.670997,47.750623,66.296898,87.913502,47.121721,68.360447,12.143508,345.557300
100000,428.473543,3255.170137,0.000000,0.381470,0.762939,156.436466,94.512343,130.214660,136.847464,104.772597,115.545614,13.754878,1053.833790
150000,1018.168424,2187.383329,0.000000,0.572205,0.572205,166.733605,134.213165,150.991715,166.873359,133.776596,151.272922,9.556599,1022.328911
200000,797.577708,3840.918987,0.000000,0.381470,0.762939,178.816727,126.586145,162.674474,169.623848,151.061333,161.519926,14.150083,2069.500255
300000,1295.339259,3152.823704,0.000000,0.572205,0.572205,181.041327,153.747950,172.672116,180.813209,153.698017,172.404649,9.875936,1675.655964
400000,653.327169,5991.634133,0.000000,0.381470,0.762939,187.782525,135.881623,175.460324,182.525088,168.737069,180.842391,15.331363,2523.730994
600000,1485.955401,3660.503554,0.000000,0.572205,0.572205,190.120677,164.922622,183.838036,190.343531,164.940889,183.851610,9.846213,1080.359846
800000,726.008074,5097.460093,0.000000,0.381470,0.762939,194.929162,141.614403,183.458639,191.377559,179.890314,190.494516,14.802119,2113.942404
1200000,1369.152590,5231.841073,0.000000,0.572205,0.572205,195.875265,171.408251,191.540578,195.563748,170.891534,190.588359,9.497149,1349.746448
2200000,1138.906700,4880.319815,0.000000,0.524521,0.524521,204.097105,170.792587,198.908570,203.964270,170.578313,198.612989,10.661298,1140.675029
3100000,827.370985,8479.723818,0.000000,0.369549,0.739098,219.768962,157.556026,208.597983,205.107692,193.063276,209.725863,13.481162,2840.045215
6000000,1774.054478,6895.491834,0.000000,0.357628,0.715256,242.488503,175.111956,232.386997,224.599656,210.819475,230.060600,11.554173,4383.814881
10000000,2730.406479,8672.747420,0.000000,0.596046,0.596046,255.240202,226.270857,255.463345,253.658934,225.907260,255.287334,9.452511,3840.695660
