element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,282.067708,418.166667,56.747255,0.500000,0.500000,2.043623,1.942513,1.995277,2.043208,1.942077,1.998118,9.255027,269.260417
110,83.677273,294.033333,58.592604,0.429688,0.859375,2.042484,1.946119,1.995733,2.043885,1.943772,1.995546,11.078764,198.566667
240,74.664583,328.987500,65.502847,0.468750,0.468750,2.042365,1.943364,1.993216,2.042303,1.941688,1.992053,11.001484,70.552778
500,72.904000,340.377667,71.847096,0.488281,0.488281,2.044519,1.947817,1.994346,2.043334,1.942306,1.994318,11.280987,68.471333
800,84.782292,372.052500,54.098319,0.390625,0.781250,2.088112,2.002798,2.043378,2.047620,1.950571,2.002436,12.681935,176.580833
1024,122.406087,260.320475,75.937707,0.500000,0.500000,2.081126,2.010124,2.112312,2.141222,2.073362,2.116095,11.596222,70.902018
1500,83.337000,316.595889,52.651830,0.366211,0.732422,2.148079,2.117600,2.139796,2.080524,2.011829,2.063049,14.552119,180.291111
2048,82.298421,268.161296,79.007123,0.500000,0.500000,2.150452,2.085790,2.115125,2.146228,2.087089,2.133531,12.648813,89.757487
3000,98.053000,331.678056,59.105979,0.366211,0.732422,2.203337,2.144411,2.575388,2.146262,2.067895,2.374449,20.835864,183.899889
6000,104.336583,321.504500,65.918247,0.366211,0.732422,2.582032,2.460187,3.579660,2.210417,2.148527,3.757493,32.866421,188.202389
8192,108.085958,295.399068,95.919071,0.500000,0.500000,2.521717,2.437219,4.559281,2.494944,2.419660,4.181917,31.511617,108.281657
12000,128.641250,330.017722,90.681899,0.366211,0.732422,2.876764,2.850088,6.640619,2.461770,2.360382,6.092419,38.785264,238.476000
16384,139.267293,307.641805,266.529329,0.500000,0.500000,2.920895,2.844098,8.565397,2.906972,2.840251,8.597533,34.287141,142.069845
25000,122.939113,718.602020,102.738088,0.381470,0.762939,3.212056,3.176055,9.917089,2.904422,2.838140,9.517745,40.525026,237.102827
32768,158.864461,598.065048,284.426503,0.500000,0.500000,3.213451,3.164422,10.071500,3.216614,3.179071,10.042353,34.527621,160.126821
45000,125.090807,940.420559,94.021051,0.343323,0.686646,3.409899,3.357775,10.329881,3.212975,3.175138,10.064560,41.315630,282.986963
60000,149.438372,869.730283,176.951287,0.457764,0.457764,3.408488,3.373969,10.296231,3.396384,3.368801,10.299407,36.997033,143.290272
100000,144.687987,997.631173,152.268120,0.381470,0.762939,3.736620,3.697894,10.599660,3.407766,3.383729,10.320348,40.555337,288.646167
150000,339.555973,1102.579267,2205.157384,0.572205,0.572205,3.700998,3.749614,10.600940,3.740916,3.702443,10.628056,28.761897,325.557300
200000,253.675050,1192.597375,301.338051,0.381470,0.762939,5.194490,4.973254,11.755702,3.705849,3.693992,10.644009,38.984827,439.269713
300000,617.685638,1162.674226,0.000000,0.572205,0.572205,5.591261,5.445718,12.109794,5.589105,5.457822,12.117895,29.774442,493.924620
400000,468.977497,1776.302591,0.000000,0.381470,0.762939,15.763292,14.600671,20.362273,5.483348,5.421452,12.172105,42.438886,592.442492
600000,680.745499,1522.370057,0.000000,0.572205,0.572205,16.232421,15.097965,21.049728,16.332043,15.251842,21.095211,30.105254,716.762700
800000,475.265362,1931.203308,0.000000,0.381470,0.762939,21.085015,20.485170,26.882513,16.614347,15.435026,21.181063,43.011977,904.385900
1200000,927.032482,2013.206797,0.000000,0.572205,0.572205,21.066801,20.456467,26.844122,20.912579,20.341674,26.877767,29.570856,950.282196
2200000,939.621222,2232.565892,0.000000,0.524521,0.524521,22.335338,22.043564,29.003509,22.204758,21.979623,28.980166,37.468954,788.468214
3100000,722.908231,3484.070312,0.000000,0.369549,0.739098,25.435674,25.306890,31.419417,22.654046,22.390598,29.194869,61.358859,1206.242073
6000000,642.616042,4082.687680,0.000000,0.357628,0.715256,31.261051,31.142600,36.313432,25.244148,25.046069,31.204382,29.908380,1365.329203
10000000,2544.945825,4444.214411,0.000000,0.596046,0.596046,31.178022,30.875800,36.258362,31.195658,30.899421,36.195210,inf,2523.766358
