element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,224.057292,607.942708,129.881269,0.500000,0.500000,10.145778,9.154168,9.817104,10.208778,9.159088,9.757908,4.741794,192.802083
110,170.598485,602.871212,134.864572,0.429688,0.859375,10.736996,9.552017,10.088761,10.841317,11.496276,10.617387,6.122542,398.921212
240,162.195139,567.034028,143.863443,0.468750,0.468750,12.468457,10.727949,11.652091,12.429351,10.649774,11.469475,5.371520,137.786111
500,153.937333,598.603667,151.279818,0.488281,0.488281,12.854759,11.549792,12.426308,12.874566,11.486185,12.457733,5.157751,130.969333
800,251.138333,595.165000,127.315431,0.390625,0.781250,13.264482,11.624922,12.674005,13.266749,14.119309,13.823584,7.249184,454.766667
1024,188.835612,632.342448,158.439345,0.500000,0.500000,13.598245,13.029697,13.289429,13.528977,12.791461,13.561743,5.022429,181.109701
1500,183.265333,651.646444,134.461318,0.366211,0.732422,16.635220,13.134642,14.703817,14.492406,15.419366,16.034003,8.907137,409.658000
2048,295.469808,499.674235,175.268163,0.500000,0.500000,18.117704,15.631475,18.136077,18.411245,16.131631,18.420613,5.744040,179.805990
3000,175.917278,617.205500,148.556457,0.366211,0.732422,21.791448,16.650990,21.645104,20.303837,19.843984,22.116978,10.911067,402.594778
6000,275.343194,647.435500,158.509330,0.366211,0.732422,24.008622,20.085001,26.214405,23.180152,23.416787,27.341302,13.578996,424.838389
8192,194.055359,518.449605,199.223998,0.500000,0.500000,24.183397,23.671422,28.407538,24.168883,23.386724,28.295341,10.461767,193.096558
12000,328.123986,664.624431,194.439652,0.366211,0.732422,24.652448,21.390972,29.028622,24.411237,25.009855,30.750997,14.446022,624.211667
16384,298.518667,598.389913,404.244399,0.500000,0.500000,24.774038,24.806895,30.442255,25.036762,24.838168,30.530778,11.127428,286.951803
25000,213.912100,1459.234907,230.116502,0.381470,0.762939,27.727637,23.649986,31.114456,25.198002,27.469355,32.776020,14.113962,555.244453
32768,395.793991,1114.956477,461.895196,0.500000,0.500000,26.707614,26.758044,32.584875,27.696139,26.538611,32.889493,11.294392,362.538778
45000,397.098274,2208.286111,326.827506,0.343323,0.686646,47.830113,28.269738,41.456886,39.892477,30.734639,38.237638,15.230832,879.660644
60000,315.570031,1552.996031,501.320074,0.457764,0.457764,83.718689,43.160879,60.765401,80.740766,40.351515,60.572865,12.692253,317.210383
100000,408.084297,2756.790533,552.172107,0.381470,0.762939,147.747250,82.956679,119.251935,124.275519,90.746016,105.889060,14.527031,953.166127
150000,1003.367327,2525.166293,0.000000,0.572205,0.572205,157.576924,115.537404,138.596234,158.195916,115.157480,139.264250,9.468356,996.833620
200000,663.765388,2964.495603,0.000000,0.381470,0.762939,172.305799,109.588834,149.765503,160.975628,137.547475,150.335736,15.286807,1651.873718
300000,1191.632220,3099.624351,0.000000,0.572205,0.572205,173.857224,134.213032,161.502076,175.327822,134.694692,161.381159,9.778652,890.407866
400000,636.854378,4238.841656,0.000000,0.381470,0.762939,182.118126,118.306321,163.220014,175.584440,156.863484,169.543208,15.238336,2227.090168
600000,1412.986921,3380.314197,0.000000,0.572205,0.572205,184.552133,144.590988,172.247294,182.761443,144.063338,172.284631,9.794876,1484.465144
800000,1671.290448,5010.758273,0.000000,0.381470,0.762939,189.508510,123.690790,172.546337,184.806560,167.963922,181.065851,15.132226,3810.469375
1200000,1293.334962,3539.529290,0.000000,0.572205,0.572205,190.573997,151.023459,180.403016,190.704624,151.711934,180.916291,9.536590,1320.651944
2200000,1111.198741,3916.593893,0.000000,0.524521,0.524521,199.789526,151.209965,189.421724,199.024517,151.016876,188.910412,10.327710,1126.781859
3100000,837.470134,6774.773813,0.000000,0.369549,0.739098,214.196571,143.457332,199.858721,201.029122,183.362034,199.037268,13.541411,2242.505892
6000000,889.520209,6127.909185,0.000000,0.357628,0.715256,238.216664,164.137634,223.743342,218.967156,203.419281,222.419509,12.093389,2753.185729
10000000,3853.050676,6126.727033,0.000000,0.596046,0.596046,249.363684,214.718282,248.929419,249.280944,214.175528,249.387637,9.303458,3655.939383
