element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,45.468750,78.536458,48.391022,0.500000,0.500000,11.023008,8.155441,9.900331,11.150466,8.131355,9.854921,2.257062,54.895833
110,59.725758,94.466667,63.052611,0.859375,0.859375,11.971913,9.296153,10.535514,11.796932,9.308278,10.517508,1.470374,55.118182
240,63.025694,87.775000,48.529857,0.937500,0.937500,13.175642,9.564702,11.435951,12.970321,9.427180,11.532647,1.450783,59.205556
500,55.734333,127.788667,50.022587,0.488281,0.488281,13.568886,9.522172,11.761412,13.525786,9.606321,11.538185,2.498978,48.424667
800,64.689375,104.929583,62.566902,0.781250,0.781250,14.727431,10.818885,13.377021,14.652299,10.805709,13.609515,1.618995,56.064167
1024,49.295247,124.967611,51.758282,0.500000,0.500000,14.760336,10.784328,13.301359,15.008923,10.536649,13.080546,2.552581,47.976562
1500,55.338000,105.973667,62.167552,0.732422,0.732422,16.791251,13.227782,16.749464,16.642613,13.095013,16.873058,1.703266,54.664667
2048,50.832357,125.319173,55.123321,0.500000,0.500000,18.164751,14.832340,20.455571,17.744184,14.501507,20.372587,2.997609,48.981120
3000,55.695722,107.436444,66.971056,0.732422,0.732422,22.555465,22.376780,28.236167,22.213235,22.314951,28.217024,1.994280,55.018000
6000,57.549528,108.947278,71.352036,0.732422,0.732422,26.930875,25.492714,32.640815,26.885906,25.549088,32.709684,2.692022,57.370056
8192,54.675680,129.180522,62.552504,0.500000,0.500000,26.859769,23.947446,32.849459,27.002252,23.969949,32.859289,7.378400,51.402262
12000,58.820819,110.142639,74.860893,0.732422,0.732422,29.057963,27.596402,35.387875,28.974331,27.679728,35.356460,3.869587,58.154472
16384,53.419006,130.630564,64.413053,0.500000,0.500000,28.152010,25.379105,34.308937,28.193059,25.370950,34.306203,7.671260,53.451172
25000,61.165693,111.336680,79.870526,0.762939,0.762939,30.517410,29.398633,37.269070,30.528615,29.423729,37.182561,3.869464,60.798120
32768,54.176631,134.598246,69.049503,0.500000,0.500000,28.703596,26.248760,35.000664,28.725350,26.304336,35.023480,7.819337,54.930796
45000,60.331952,118.182326,86.313419,0.686646,0.686646,30.383832,29.350225,37.141427,30.316589,29.360842,37.115774,4.903273,61.557681
60000,69.945978,114.186811,106.417308,0.915527,0.915527,33.150027,31.551184,39.767042,32.998687,31.552904,39.779731,2.309950,72.824100
100000,69.693177,122.617953,156.381531,0.762939,0.762939,55.421948,33.436751,53.513155,55.971999,34.051702,53.526347,3.979049,74.873917
150000,83.008167,156.858429,195.017733,0.572205,0.572205,102.481969,53.823503,87.905860,102.851256,53.985374,88.191244,6.716676,85.958389
200000,90.906530,147.018668,223.053024,0.762939,0.762939,111.929870,63.726712,96.374152,111.808853,63.576685,96.455830,4.016116,92.117185
300000,117.501847,200.784790,243.315186,0.572205,0.572205,135.832716,83.324504,119.540840,135.546675,83.322364,119.584595,6.760377,116.740742
400000,126.762198,189.920040,276.814034,0.762939,0.762939,141.102495,90.208380,125.205615,141.072135,90.028472,125.204162,4.047751,125.972788
600000,141.905781,249.003186,271.072184,0.572205,0.572205,151.656655,99.321804,135.837407,151.888752,99.401950,136.021839,6.787571,141.317458
800000,152.662702,234.060358,311.169426,0.762939,0.762939,156.711795,105.382307,140.643502,156.836905,105.338429,140.592398,4.238995,152.032276
1200000,156.067913,293.777302,286.738464,0.572205,0.572205,160.641293,108.637104,145.271274,160.611810,108.661512,145.333540,7.803602,155.283539
2200000,161.293804,343.750683,291.682159,0.524521,0.524521,164.684370,111.993339,148.951337,164.643515,111.815700,149.167533,8.869577,160.617584
3100000,175.153020,300.116946,341.105954,0.739098,0.739098,169.805061,118.671982,154.665094,169.772130,118.736471,154.635174,5.129624,185.506050
6000000,238.377876,442.680594,356.391231,0.715256,0.715256,173.747485,120.996081,158.806057,173.862031,120.876343,159.070197,4.786938,190.797398
10000000,248.085417,490.061805,340.740610,0.596046,0.596046,183.719343,121.222985,167.623012,183.822761,121.197226,167.381682,8.466773,198.911422
