element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,13.020833,31.927083,14.459355,0.500000,0.500000,2.646353,2.520800,2.532653,2.648080,2.516373,2.532479,7.218990,11.458333
110,12.272727,26.801515,23.154418,0.859375,0.859375,3.073615,3.185948,3.035953,3.075294,3.194349,3.029751,4.803480,9.727273
240,12.492361,25.540972,13.734509,0.937500,0.937500,3.164793,3.106641,3.077427,3.164445,3.094916,3.073529,4.882004,10.929167
500,8.046333,33.965667,14.309401,0.488281,0.488281,2.614674,2.355173,2.550788,2.615392,2.356320,2.545550,8.977991,7.926667
800,10.205833,28.151042,21.336996,0.781250,0.781250,2.881775,2.804156,2.907157,2.885218,2.822329,2.876137,5.392649,11.475000
1024,8.521647,42.338867,15.039966,0.500000,0.500000,2.738078,2.548623,2.707468,2.744687,2.568895,2.728488,9.342214,9.823893
1500,11.782778,38.950889,20.655459,0.732422,0.732422,3.076137,3.013044,3.084542,3.187627,2.988004,3.062235,6.281590,15.499556
2048,10.047689,49.556966,15.394790,0.500000,0.500000,3.004282,2.905546,3.072620,3.120103,2.940026,3.005907,11.793616,12.185384
3000,13.548444,40.254056,21.082873,0.732422,0.732422,3.311168,3.758570,3.759148,3.459266,3.909998,3.765935,7.608313,15.858222
6000,16.398278,44.409972,21.397910,0.732422,0.732422,4.117944,5.636772,8.260578,4.226524,5.585915,8.080783,10.397301,16.233278
8192,13.513916,54.554036,16.497020,0.500000,0.500000,3.823640,5.429586,9.349062,3.833766,5.422166,9.274951,28.328064,12.351847
12000,16.930778,45.623306,23.032343,0.732422,0.732422,5.952938,9.309535,12.394431,5.928300,9.255476,12.374859,14.510762,16.794083
16384,14.794067,56.609721,18.266935,0.500000,0.500000,5.376060,7.767510,11.570101,5.287736,7.662483,11.526173,29.674363,13.589355
25000,18.725767,46.279880,26.020821,0.762939,0.762939,7.352413,10.558043,13.847137,7.336842,10.555952,13.811000,14.598805,18.133853
32768,15.544001,57.995209,19.354067,0.500000,0.500000,6.297275,8.539366,12.626863,6.306294,8.550161,12.596139,30.194869,14.540263
45000,17.992141,49.242237,25.201001,0.686646,0.686646,7.414555,10.587798,14.200889,7.411997,10.568051,14.178275,18.898770,17.609926
60000,23.492536,43.475767,18.819515,0.915527,0.915527,8.906272,11.862515,15.669471,8.914421,11.874002,15.681255,8.491159,23.061750
100000,21.169913,48.992867,28.785647,0.762939,0.762939,8.193602,11.277628,15.055917,8.185317,11.317370,15.062055,15.030023,19.831893
150000,19.656244,57.024447,22.548557,0.572205,0.572205,7.170877,9.755048,13.597022,7.170236,9.753122,13.580098,25.905101,16.544140
200000,21.982828,47.590522,29.834933,0.762939,0.762939,8.278044,11.399792,15.152770,8.257620,11.410241,15.151354,14.966877,20.202315
300000,21.655959,60.935723,31.949264,0.572205,0.572205,7.774941,10.306813,14.229619,7.799471,10.344011,14.237452,26.744332,18.193942
400000,23.075589,49.613188,44.273162,0.762939,0.762939,8.929775,12.021220,15.834959,8.897696,11.998182,15.808142,15.660502,21.991228
600000,34.573569,66.186761,61.622762,0.572205,0.572205,17.741886,19.194597,23.835224,17.989317,19.405826,23.833709,29.014804,31.168719
800000,36.922880,57.352437,79.768460,0.762939,0.762939,18.948047,21.159611,25.670275,19.054860,21.261642,25.645971,17.788508,35.284760
1200000,52.127715,77.885524,78.662364,0.572205,0.572205,25.948799,27.970983,32.948347,26.317018,27.982159,32.916961,32.111882,52.645894
2200000,57.954601,102.519739,81.761155,0.524521,0.524521,28.245725,30.400632,35.479049,28.206466,30.416558,35.484987,39.650032,58.184954
3100000,65.021971,97.357582,110.317860,0.739098,0.739098,30.764114,34.395383,39.562474,30.711029,34.334937,39.532586,32.722319,64.979704
6000000,67.142127,110.121276,110.535977,0.715256,0.715256,31.333882,35.266777,40.662568,31.340912,35.269450,40.632934,17.610229,66.931883
10000000,63.802848,124.251851,94.452858,0.596046,0.596046,30.279433,33.646001,38.752186,30.225281,33.530624,38.731966,inf,62.705610
