element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,12.187500,36.192708,14.412773,0.500000,0.500000,3.007134,2.601229,2.890813,3.025516,2.608099,2.886386,6.940961,10.208333
110,14.606061,27.453030,23.273692,0.859375,0.859375,3.177163,3.094740,3.012860,3.181689,3.084434,3.012893,5.198988,11.666667
240,13.048611,26.943056,13.693742,0.937500,0.937500,3.060807,3.036397,3.115327,3.064780,3.034412,3.111077,5.339852,11.805556
500,8.753333,36.961667,14.275574,0.488281,0.488281,2.700586,2.414092,2.571965,2.700746,2.409001,2.578779,9.186895,8.280000
800,10.758125,30.346875,21.437391,0.781250,0.781250,2.991556,2.970797,3.009437,2.988785,2.886151,2.948012,5.656247,12.945833
1024,8.940104,42.446289,15.020599,0.500000,0.500000,2.791264,2.511178,2.727759,2.796883,2.508917,2.703114,9.560718,9.944661
1500,11.718444,37.485222,20.707185,0.732422,0.732422,3.098291,2.948839,3.131546,3.202686,3.150190,3.161123,6.720349,15.448667
2048,10.392741,50.322917,15.380063,0.500000,0.500000,2.967037,2.835193,3.213485,3.001115,2.897197,3.045035,10.879812,12.323730
3000,13.645111,39.546333,21.170732,0.732422,0.732422,3.351705,3.822346,3.752618,3.465935,3.687490,3.900511,7.337019,15.820556
6000,16.047778,41.781778,21.495412,0.732422,0.732422,4.152855,6.008926,8.874432,4.232931,6.058704,8.535681,10.059312,16.444333
8192,12.587219,50.680257,16.636389,0.500000,0.500000,3.870283,5.340487,9.321169,3.908307,5.404600,9.219500,27.706068,12.893392
12000,16.358958,41.611222,23.231970,0.732422,0.732422,5.696723,9.203843,12.213504,5.712049,9.180513,12.190629,14.603777,16.259389
16384,13.298553,50.932139,18.237782,0.500000,0.500000,5.122568,7.748805,11.684344,5.186876,7.806566,11.635542,29.877642,13.369059
25000,17.997200,42.540393,25.985479,0.762939,0.762939,7.451142,10.602290,13.960612,7.458386,10.584650,13.919739,14.739899,18.315453
32768,14.266383,52.152598,19.304633,0.500000,0.500000,6.200799,8.579934,12.493406,6.226473,8.601220,12.460292,30.297683,14.303162
45000,17.492759,44.291578,24.934668,0.686646,0.686646,7.413597,10.570286,14.107960,7.416655,10.564694,14.097117,18.918104,17.493185
60000,23.139967,43.503458,18.870494,0.915527,0.915527,8.952075,11.910969,15.716274,8.941824,11.874722,15.689113,8.489689,23.091361
100000,20.029820,45.559230,28.779872,0.762939,0.762939,8.185579,11.328626,15.049045,8.238444,11.343232,15.056004,14.955363,19.987587
150000,16.768793,52.142740,22.584483,0.572205,0.572205,7.152951,9.717829,13.580053,7.166475,9.716917,13.585644,25.940134,16.516738
200000,20.762475,45.820205,29.875862,0.762939,0.762939,8.455977,11.424242,15.168625,8.300598,11.427611,15.161853,15.028415,20.375407
300000,17.975650,53.873409,31.436225,0.572205,0.572205,7.841315,10.384455,14.271395,7.883092,10.442576,14.284282,26.678991,18.320349
400000,21.597618,48.661740,43.195352,0.762939,0.762939,9.411915,12.432577,15.777425,8.822988,11.963938,15.771807,15.683929,21.976862
600000,30.436407,59.353672,61.625165,0.572205,0.572205,17.811015,19.244017,23.588445,17.740650,19.182259,23.604917,29.467534,30.833709
800000,36.553955,57.462011,79.675757,0.762939,0.762939,18.802330,21.114984,25.635132,19.003252,21.254492,25.607169,17.715215,35.352309
1200000,52.057313,78.068317,78.567101,0.572205,0.572205,25.961870,27.954442,32.984468,25.935609,27.968220,32.967351,32.869061,52.428369
2200000,58.016105,104.012913,81.600569,0.524521,0.524521,28.188804,30.347439,35.481922,28.186275,30.449717,35.447899,40.131994,58.179263
3100000,64.934109,96.957146,110.157266,0.739098,0.739098,30.734096,34.382323,39.555802,30.785898,34.333067,39.599805,33.295465,64.999705
6000000,67.179257,112.863839,110.713302,0.715256,0.715256,31.361111,35.256052,40.666837,31.325854,35.244797,40.646552,17.656827,66.916643
10000000,63.723521,126.243230,94.355431,0.596046,0.596046,30.303729,33.602579,38.782669,30.304347,33.514549,38.715596,inf,62.694119
