element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.906250,25.989583,13.014289,0.500000,0.500000,1.741962,1.954827,1.775129,1.740440,1.956937,1.770274,8.122348,8.645833
110,6.060606,22.846970,21.573985,0.859375,0.859375,1.746545,2.218359,1.867379,1.743286,2.183222,1.856557,5.724436,6.212121
240,5.381250,19.915972,12.639192,0.937500,0.937500,1.741203,2.651093,1.867731,1.744918,2.646327,1.861620,5.857926,5.444444
500,5.453000,24.189333,13.152519,0.488281,0.488281,1.750567,2.012031,1.789164,1.744572,1.937687,1.800814,7.713275,5.446667
800,5.120833,21.536875,19.879523,0.781250,0.781250,1.744011,2.553381,1.878856,1.746203,2.518718,1.883022,6.484467,5.128750
1024,5.439290,23.825521,13.926856,0.500000,0.500000,1.797360,2.035264,1.916384,1.794821,2.031649,1.866280,7.836561,5.503906
1500,5.136556,23.899111,19.252796,0.732422,0.732422,1.788084,2.603786,1.979307,1.791669,2.592429,1.910791,7.236474,5.228667
2048,5.576742,23.930583,14.315104,0.500000,0.500000,1.843895,2.168550,2.261323,1.851209,2.217522,2.148724,6.838250,5.593913
3000,5.325278,25.431778,19.672450,0.732422,0.732422,1.842423,3.177238,2.532828,1.850283,3.205287,2.580860,8.550576,5.416444
6000,5.505361,27.548417,19.963046,0.732422,0.732422,1.870805,3.894211,4.195641,1.872302,3.909268,4.025080,12.658699,5.489111
8192,5.979390,27.720723,15.508215,0.500000,0.500000,1.934038,5.097754,5.529579,1.975199,5.114712,5.585082,7.848345,5.942546
12000,5.697278,27.738264,21.558599,0.732422,0.732422,1.920977,4.634121,6.441953,1.999114,4.659763,6.444809,16.545758,5.743667
16384,6.731415,28.219147,17.097227,0.500000,0.500000,2.461554,7.154955,7.450461,2.450690,7.160904,7.451279,6.775445,6.854411
25000,6.578887,27.202773,24.452861,0.762939,0.762939,2.453274,5.183531,7.709485,2.439069,5.163668,7.697479,15.601255,6.637627
32768,7.692027,28.935125,18.193546,0.500000,0.500000,2.652716,7.991215,8.136991,2.654431,7.994098,8.141556,6.880191,7.769684
45000,7.527719,29.993174,23.409939,0.686646,0.686646,2.657920,6.506251,8.217795,2.625082,6.480211,8.208364,19.973370,7.528822
60000,7.344864,24.593103,17.566041,0.915527,0.915527,2.632192,4.029542,8.047340,2.647277,4.049574,8.048022,9.478679,7.443944
100000,7.904000,28.912450,27.092945,0.762939,0.762939,2.714732,5.873710,8.379554,2.711976,5.871714,8.379702,15.748692,7.900870
150000,8.590213,38.698104,21.331530,0.572205,0.572205,2.761076,8.128919,8.274912,2.761477,8.137878,8.277270,29.648584,8.331353
200000,8.643592,29.906162,27.914217,0.762939,0.762939,2.761999,5.964388,8.405323,2.754780,5.957951,8.407391,15.777399,8.196260
300000,10.309713,40.339822,29.620619,0.572205,0.572205,4.721880,8.988135,8.874879,4.375561,8.799177,8.889583,30.358969,10.509984
400000,9.651781,31.666704,41.879817,0.762939,0.762939,4.578535,6.917120,9.065184,4.390634,6.844436,9.072081,16.489986,10.088181
600000,25.090032,44.847737,58.356907,0.572205,0.572205,14.617965,17.124820,17.118312,14.636200,17.120696,17.124994,34.480716,25.352295
800000,26.409968,40.060583,75.715613,0.762939,0.762939,14.648836,15.934587,17.258976,14.595302,15.920381,17.250968,19.005794,25.005442
1200000,44.928079,60.183370,74.202662,0.572205,0.572205,18.772194,24.228684,23.503972,18.739817,24.202442,23.449696,39.712005,45.080607
2200000,50.653454,79.620052,76.967652,0.524521,0.524521,20.083881,26.670622,25.599101,20.113194,26.648717,25.573222,50.277920,50.750506
3100000,48.577939,69.803737,102.399300,0.739098,0.739098,20.054733,25.151415,25.847845,20.051478,25.152709,25.797641,39.082703,48.539782
6000000,51.308431,83.042844,100.616447,0.715256,0.715256,20.439819,26.179459,26.436681,20.436888,26.202236,26.417156,20.060600,50.988844
10000000,53.553522,98.174418,84.122951,0.596046,0.596046,20.720422,28.039870,26.426742,20.587646,28.003677,26.447186,inf,52.406999
