element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,29.739583,45.937500,17.172668,0.500000,0.500000,8.607908,7.031276,7.744014,8.633423,7.052132,7.700738,1.861176,23.125000
110,18.954545,40.831818,17.860911,0.429688,0.859375,9.788631,7.039478,7.647429,13.394347,11.472814,11.402500,2.077724,42.390909
240,17.700000,37.909028,18.409876,0.468750,0.468750,11.358172,7.655383,8.056044,11.394832,7.559733,7.931417,1.987053,18.484722
500,18.396000,37.991667,19.405446,0.488281,0.488281,13.148346,8.691254,8.683355,12.996631,8.777033,8.740114,2.004445,18.753333
800,17.749375,42.514792,25.205390,0.390625,0.781250,12.297602,8.916562,9.637467,19.520118,14.481690,14.089360,2.578614,41.790417
1024,19.309408,38.823568,19.882307,0.500000,0.500000,14.016910,10.064021,10.607833,14.138608,10.339633,10.641529,2.153718,20.100260
1500,17.436111,46.489444,24.504986,0.366211,0.732422,12.448812,9.834883,11.196989,21.163008,15.914054,16.803346,2.946963,41.874000
2048,19.916178,41.844971,21.437062,0.500000,0.500000,15.184176,12.496064,14.770813,15.203688,12.397114,14.928968,2.302173,20.443848
3000,18.424333,48.482111,26.808031,0.366211,0.366211,13.008375,11.741300,15.412553,13.304610,12.046298,15.737640,3.724257,58.752333
6000,20.770306,53.707694,29.442354,0.366211,0.732422,14.550169,13.666853,20.244065,25.935886,21.818659,24.228153,6.499667,44.838833
8192,23.031942,44.713684,25.877244,0.500000,0.500000,17.745369,18.006760,24.251781,17.869218,18.012118,24.262076,5.583555,23.290527
12000,22.480694,52.210944,30.997271,0.366211,0.366211,15.453885,15.258747,22.285985,15.506684,15.237990,22.257075,7.598066,70.504556
16384,24.818919,46.053660,26.779942,0.500000,0.500000,18.648044,19.157816,25.365622,18.756520,19.158315,25.352996,6.206596,24.621277
25000,23.209720,52.323487,32.633383,0.381470,0.762939,15.983963,16.161030,22.835067,31.073816,26.445463,28.778775,7.733055,49.438693
32768,25.711009,47.230021,27.757469,0.500000,0.500000,19.316431,19.735537,25.981552,19.410550,19.743654,25.975549,6.200865,25.455088
45000,23.447744,59.919485,31.881474,0.343323,0.686646,15.290417,15.281453,21.970835,28.321196,25.113764,28.792417,7.861064,50.539281
60000,25.904750,53.309069,39.802922,0.457764,0.457764,18.345951,18.853694,25.361180,18.465336,18.842466,25.329114,6.778560,26.067850
100000,38.749740,81.391030,55.347764,0.381470,0.381470,22.359753,21.099190,29.844810,23.042536,21.469806,29.745450,7.830675,98.688913
150000,69.398249,108.450158,83.166507,0.286102,0.572205,43.317774,35.021984,47.764653,30.775475,29.630187,34.200469,11.062473,99.018067
200000,69.960478,96.206123,95.873847,0.381470,0.381470,48.240003,42.696550,54.064230,48.157436,42.659617,53.737171,9.345960,166.318115
300000,118.984127,157.179721,107.868315,0.286102,0.572205,58.206855,47.046705,61.268028,55.279512,53.238223,59.690960,11.081850,158.138261
400000,92.085955,137.534524,117.631798,0.381470,0.381470,60.453251,52.431480,65.965621,60.322742,52.430709,65.901196,9.509885,184.826067
600000,130.873084,196.276670,121.154618,0.286102,0.572205,63.577689,50.701890,66.555825,67.613534,65.163229,74.313155,10.913167,180.539819
800000,124.857345,172.272196,129.755538,0.381470,0.381470,65.980066,56.580467,71.643616,65.809406,56.552303,71.659488,9.380597,214.356174
1200000,138.813474,219.175683,128.193601,0.286102,0.572205,66.299972,52.501160,69.313022,73.539041,71.120817,81.145337,10.647544,187.162307
2200000,145.684604,243.763520,131.022412,0.262260,0.524521,67.166996,52.362172,69.836657,73.917286,70.492908,81.382894,10.573389,196.836441
3100000,137.771300,206.454255,139.114900,0.369549,0.369549,69.901361,58.852153,75.282635,69.588682,58.719376,75.251700,8.232571,223.459293
6000000,140.945903,212.225792,143.748706,0.357628,0.715256,70.588562,58.736647,75.971154,95.534543,88.708191,107.475229,7.266889,177.018582
10000000,147.562440,233.542400,149.313079,0.298023,0.596046,73.302872,57.372226,76.537333,83.448024,81.097530,96.718046,10.673217,188.085889
