element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,15.156250,25.156250,6.490851,0.500000,0.500000,1.954767,2.230411,2.113136,1.955479,2.220587,2.118099,3.984114,8.541667
110,7.651515,21.043939,7.294512,0.429688,0.859375,1.993041,2.193524,2.088792,2.412155,2.772802,2.570384,5.685095,21.212121
240,6.687500,18.117361,7.767671,0.468750,0.468750,2.007281,2.255228,2.135392,2.010796,2.255650,2.128891,5.720155,6.291667
500,7.086333,18.199000,8.372883,0.488281,0.488281,2.034156,2.280414,2.186964,2.031174,2.269284,2.152087,6.137606,7.280000
800,7.168750,22.963750,10.637008,0.390625,0.781250,2.057163,2.335434,2.183723,2.586030,3.198970,2.750237,7.632492,24.745417
1024,7.670573,21.209961,8.693998,0.500000,0.500000,2.203174,2.495612,2.389095,2.178424,2.578555,2.341014,6.508200,8.746745
1500,7.543000,28.183111,11.919160,0.366211,0.732422,2.144487,2.381225,2.494786,3.199452,3.936518,3.313218,9.443683,24.699111
2048,8.750488,24.106364,8.953580,0.500000,0.500000,2.392144,2.940983,3.007844,2.528684,3.104403,3.059346,7.735597,9.607585
3000,7.720222,28.610056,12.128319,0.366211,0.366211,2.257937,2.859907,3.219698,2.352602,2.749782,3.254112,12.522113,35.322111
6000,8.536639,32.321028,12.994867,0.366211,0.732422,3.003968,4.060645,7.373998,10.499290,11.208132,12.190304,22.762438,25.000722
8192,10.171753,25.988831,10.727098,0.500000,0.500000,5.144053,8.400770,11.634453,5.224846,8.414566,11.514704,19.813631,10.305216
12000,9.423375,30.177097,14.309371,0.366211,0.732422,4.500383,7.149732,11.196661,13.331515,14.223948,14.757839,28.288784,26.183194
16384,11.192719,26.544840,11.729067,0.500000,0.500000,7.630344,10.842973,13.642921,7.640256,10.858995,13.628820,23.037224,11.440430
25000,10.158820,30.106220,15.727544,0.381470,0.381470,5.961588,8.685677,12.387391,5.964758,8.719606,12.369574,28.290615,32.314920
32768,11.739120,27.096212,12.282839,0.500000,0.500000,8.165844,11.252819,14.121297,8.166808,11.230125,14.089503,23.438097,11.746999
45000,9.997363,32.624741,14.962454,0.343323,0.686646,5.801647,8.008105,11.848771,13.447740,14.846612,17.016955,28.975424,26.828481
60000,11.330522,28.377031,18.942708,0.457764,0.457764,7.348327,10.559947,13.741021,7.356585,10.540142,13.729219,25.540946,11.330028
100000,12.376143,36.770333,17.093482,0.381470,0.381470,6.281736,8.946727,12.557582,6.283236,8.942228,12.574736,28.449605,47.691490
150000,16.221464,48.377773,21.705063,0.286102,0.572205,7.398264,9.249613,13.418857,10.081059,12.787743,15.629327,29.930966,36.157076
200000,17.271558,39.916428,27.779457,0.381470,0.381470,9.523973,12.348617,16.149970,9.501608,12.322868,16.052723,28.717403,46.569750
300000,31.885534,55.843166,42.675167,0.286102,0.572205,17.563235,20.496366,24.474142,13.881675,17.055828,19.055962,33.062806,49.766247
400000,36.257942,52.439523,50.256504,0.381470,0.381470,19.043713,23.066782,26.774321,19.021413,23.126278,26.747466,31.041696,79.542863
600000,52.622718,78.623832,54.751149,0.286102,0.572205,21.299558,24.709754,28.619876,23.993794,28.389827,30.735753,33.179723,75.378699
800000,49.566025,71.184516,60.638794,0.381470,0.381470,22.615878,26.821477,30.766474,22.568517,26.800968,30.730271,31.029171,87.785177
1200000,55.623153,97.213522,61.108658,0.286102,0.572205,22.786658,26.267876,30.128542,28.088901,33.371893,36.408981,32.161542,84.324746
2200000,58.541643,111.068298,63.890347,0.262260,0.524521,23.295269,26.722416,30.263212,27.550103,33.385573,36.971607,36.987131,87.800994
3100000,54.424546,91.579794,68.173576,0.369549,0.739098,24.522170,28.734862,32.821166,40.478412,43.523330,50.401661,45.369065,80.048428
6000000,55.130198,96.725413,69.123860,0.357628,0.715256,24.553506,28.735075,32.716179,38.675754,43.163148,50.127899,22.916500,80.442588
10000000,56.456234,106.778334,68.463984,0.298023,0.596046,24.076387,27.745507,31.286288,31.501947,37.683846,42.537669,inf,80.293361
