element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,9.687500,21.614583,5.400738,0.500000,0.500000,1.397948,1.731274,1.523641,1.427213,1.719753,1.523959,6.532077,7.812500
110,4.954545,19.075758,6.235433,0.429688,0.859375,1.391410,1.828649,1.565054,1.563612,2.062360,1.715487,8.286187,16.696970
240,4.333333,15.165972,6.748469,0.468750,0.468750,1.378846,1.810674,1.558299,1.414284,1.810230,1.555790,7.199388,4.402778
500,4.446333,13.786000,7.407074,0.488281,0.488281,1.410306,1.842855,1.562158,1.405849,1.849152,1.554394,7.197179,4.160000
800,4.431250,16.884375,11.228910,0.390625,0.781250,1.556409,1.719586,1.592897,1.548720,2.014430,1.932954,9.121573,15.220417
1024,4.228353,14.017904,7.818618,0.500000,0.500000,1.361217,1.894227,1.621125,1.363570,1.918056,1.608504,6.432502,4.228516
1500,4.462111,19.297000,10.851073,0.366211,0.732422,1.429338,1.738613,1.794262,1.662614,2.358705,2.133817,10.160101,14.879333
2048,4.156901,15.197998,7.934788,0.500000,0.500000,1.432053,2.061553,2.019326,1.475299,2.041384,1.893178,7.261685,4.192546
3000,4.467611,20.765944,11.040692,0.366211,0.732422,1.448455,1.929459,2.263487,1.813847,2.636205,2.668952,11.419089,14.830444
6000,4.896472,24.136250,12.037316,0.366211,0.732422,1.721895,2.778703,3.692261,1.998883,4.219235,5.703747,20.642596,16.801056
8192,4.738159,17.249308,9.691410,0.500000,0.500000,1.790644,4.622323,4.819563,1.810647,4.628101,4.825562,7.226709,5.060913
12000,5.905333,22.717153,13.168794,0.366211,0.732422,2.002159,5.189484,6.292642,2.823516,5.892652,8.673058,27.768923,17.765111
16384,5.681427,18.026744,10.479892,0.500000,0.500000,2.057878,6.859365,6.863777,2.030190,6.850630,6.936420,6.968076,5.632100
25000,6.183420,22.767033,14.439862,0.381470,0.762939,2.109231,6.611081,7.066212,4.114346,7.246606,10.135830,22.303408,17.594520
32768,5.920273,18.568456,10.928716,0.500000,0.500000,2.117416,7.505967,7.177895,2.127059,7.497552,7.328196,6.621890,5.907359
45000,6.574559,25.024089,13.604643,0.343323,0.686646,2.120918,6.442285,7.169028,3.720805,7.628863,9.463770,30.398786,18.975770
60000,6.130481,20.043908,17.551855,0.457764,0.457764,2.132582,7.681046,7.230079,2.139275,7.635888,7.198941,16.704909,6.135978
100000,8.403603,29.140090,15.246273,0.381470,0.762939,2.211646,7.033057,7.150010,4.296798,7.277410,9.999760,26.970853,19.718160
150000,14.994122,42.623260,20.703802,0.286102,0.572205,6.056193,7.944090,9.729596,3.537749,8.521016,8.931522,33.418506,33.122482
200000,15.768650,32.725363,26.233623,0.381470,0.762939,8.088727,10.484243,10.694662,4.512832,7.527900,10.253682,25.971055,30.030472
300000,31.866382,50.292970,38.523839,0.286102,0.572205,14.129275,17.189498,18.323234,8.540990,12.388401,12.479951,35.685773,47.035300
400000,34.823300,44.884939,45.418655,0.381470,0.762939,14.578331,19.225395,18.818945,9.047104,11.462049,13.405978,28.645435,43.990500
600000,50.817535,72.682183,47.842359,0.286102,0.572205,15.622065,20.434446,21.186018,15.242778,21.388826,21.288027,34.934695,71.390967
800000,46.265499,62.688513,53.685528,0.381470,0.762939,15.638700,22.164542,21.307010,16.089204,21.446261,22.987647,27.457909,63.047125
1200000,52.924805,86.753434,52.534360,0.286102,0.572205,16.081449,21.559186,22.049941,16.635287,24.575118,23.434585,34.068751,79.347011
2200000,55.702536,99.464356,54.595530,0.262260,0.524521,16.498444,21.753068,22.438657,17.507948,25.723964,24.620046,39.452817,83.168056
3100000,49.773507,80.736234,59.225765,0.369549,0.739098,16.480003,23.626331,22.368307,18.609711,26.518814,27.534534,42.955416,70.530771
6000000,50.583490,85.307240,59.126855,0.357628,0.715256,16.443881,23.480469,22.514293,18.568115,26.958399,27.138727,22.528355,71.051946
10000000,53.037974,95.186253,58.138456,0.298023,0.596046,16.526693,22.609861,22.620856,18.440013,27.408580,26.021708,inf,74.261328
