element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,42.812500,65.671875,37.596463,0.500000,0.500000,10.618764,9.004388,10.242336,10.721221,8.980220,10.305146,1.223638,55.520833
110,52.633333,97.148485,39.345276,0.429688,0.859375,10.626246,8.808968,9.657716,11.312348,9.371359,10.425892,1.492214,82.693939
240,47.622917,78.330556,40.277518,0.468750,0.468750,12.612002,9.612745,11.274058,12.357411,9.365085,11.036461,1.351376,53.915278
500,49.528333,81.290000,41.085655,0.488281,0.488281,13.010811,10.652857,11.749967,13.216175,10.414571,11.650861,1.430545,49.258000
800,48.040208,91.921458,47.006537,0.390625,0.390625,13.750197,10.939326,12.653034,13.867478,11.294807,12.567095,1.770564,89.575417
1024,49.008626,83.224609,42.632274,0.500000,0.500000,15.314383,12.870332,14.166157,15.376777,13.199707,14.194403,1.529545,48.435872
1500,47.606000,93.852000,48.266421,0.366211,0.732422,17.729193,15.433905,17.527960,22.986023,20.460481,22.360349,2.148460,84.461111
2048,49.279460,83.820882,46.301961,0.500000,0.500000,22.721974,20.870417,24.573853,22.503316,20.804649,24.435556,1.730390,49.046061
3000,52.808611,94.478667,51.865438,0.366211,0.732422,24.537001,22.647173,28.963186,32.537349,28.516244,31.757026,2.940695,85.742444
6000,47.638778,94.813389,54.659232,0.366211,0.366211,27.527323,25.766093,32.777391,27.448649,25.641453,32.650637,5.706415,108.224833
8192,49.682170,83.149190,51.045410,0.500000,0.500000,30.408234,29.353509,35.217122,30.229499,29.254428,35.055136,5.048843,49.285685
12000,47.417389,95.239931,56.010334,0.366211,0.732422,27.973751,26.490327,33.550259,38.300113,33.928172,37.832087,7.130238,85.924861
16384,49.744456,83.672109,52.282249,0.500000,0.500000,31.046771,30.418174,36.385940,30.993510,30.414040,36.288278,5.775919,50.188375
25000,48.301860,95.666947,58.886947,0.381470,0.762939,28.980698,27.607144,34.602063,40.814977,36.048049,39.913320,7.067600,90.145293
32768,51.073619,87.169835,71.855259,0.500000,0.500000,31.869998,31.199270,37.247267,31.915357,31.157833,37.127341,5.778179,51.730235
45000,51.882174,111.980922,83.911079,0.343323,0.686646,31.257258,27.277489,37.052688,38.426597,34.888706,39.794938,7.228183,108.159807
60000,56.550889,98.824192,107.279880,0.457764,0.457764,36.837701,31.658230,43.387847,38.474933,31.585754,43.446764,6.386336,59.610711
100000,87.651583,141.231613,163.825050,0.381470,0.762939,78.570094,49.151970,78.672035,66.257111,44.497230,60.711050,7.445128,159.194080
150000,119.664658,205.029216,192.413683,0.286102,0.572205,118.244609,74.463389,114.034940,110.931862,72.031324,97.696663,10.303240,200.383013
200000,120.629018,184.836533,208.375298,0.381470,0.381470,130.057629,87.134727,119.847468,130.989446,87.203970,119.332909,8.797105,222.010625
300000,137.655371,249.161463,221.125697,0.286102,0.572205,140.753118,93.827610,127.871782,143.006816,101.622949,128.583148,10.443014,228.662809
400000,137.673781,221.832215,232.868227,0.381470,0.381470,146.643494,100.111773,135.513694,146.727803,100.699141,135.663689,9.047692,241.705246
600000,146.967422,283.134542,236.684354,0.286102,0.572205,151.395177,101.504402,137.832548,157.480765,112.665627,142.496192,10.327204,243.338360
800000,147.183267,249.797988,246.626009,0.381470,0.381470,156.213707,106.886503,143.843585,155.469550,106.476265,143.914399,9.053158,251.806063
1200000,150.258888,307.908472,246.417202,0.286102,0.572205,158.053683,105.691954,144.062461,165.719967,119.436004,150.547559,9.948599,252.626184
2200000,154.037673,407.854927,250.695357,0.262260,0.524521,162.354750,107.523748,147.057521,168.389652,120.171503,152.976609,10.030288,257.715118
3100000,154.830791,287.930627,264.181973,0.369549,0.369549,166.875054,112.968398,151.984733,166.524272,112.961182,152.171707,7.843263,337.033760
6000000,222.128796,433.232604,279.329913,0.357628,0.715256,171.248123,115.048616,156.692899,189.256830,139.345330,178.420947,6.935569,294.412088
10000000,241.603241,481.339027,285.313006,0.298023,0.596046,181.222409,118.509538,163.596061,185.362364,133.518528,182.477885,10.303839,320.550357
