element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,37.552083,54.687500,30.319828,0.500000,0.500000,7.713660,6.229253,7.077341,7.783093,6.236932,7.051529,1.064196,49.250000
110,47.028788,84.256061,31.711541,0.429688,0.859375,7.752130,6.168408,7.066394,9.159190,7.425241,8.457393,1.403068,71.818182
240,44.762500,64.865278,32.549564,0.468750,0.468750,8.878520,6.744673,7.989217,8.709771,6.661855,7.957359,1.517173,37.859722
500,41.238333,66.893667,33.426531,0.488281,0.488281,9.532947,7.452510,8.405697,9.327078,7.381475,8.628240,1.497078,39.171333
800,40.087917,73.305625,35.803517,0.390625,0.781250,9.526384,7.471190,8.827793,10.873279,8.809910,9.522253,1.832040,69.135000
1024,41.308757,69.015951,36.613075,0.500000,0.500000,10.559918,8.136698,9.391655,10.676483,8.246835,9.533996,1.652469,39.376302
1500,40.933778,79.634889,41.466833,0.366211,0.732422,11.360079,8.454645,10.237239,13.167587,10.813190,11.984599,2.059144,68.495111
2048,41.342041,68.770996,40.116212,0.500000,0.500000,13.190875,10.884972,13.804855,12.993052,10.216206,13.120044,1.936786,40.841634
3000,40.519111,79.954222,45.884561,0.366211,0.366211,15.798171,12.801912,19.581631,15.839209,12.240900,19.414395,2.997500,88.830000
6000,41.061250,78.513139,49.251675,0.366211,0.732422,20.174567,19.051118,26.279961,30.039495,25.999557,29.933221,5.531553,70.884000
8192,43.235881,70.960042,45.733016,0.500000,0.500000,23.449986,23.360702,29.501052,23.485054,23.403125,29.387713,4.873341,41.936930
12000,41.952014,80.252667,50.881216,0.366211,0.732422,21.684997,20.505147,27.974717,33.157316,28.742858,33.189729,7.005083,72.305361
16384,43.998189,71.957448,47.284797,0.500000,0.500000,24.854260,24.556252,30.990812,24.809140,24.559201,30.919738,5.859468,42.979757
25000,42.510600,80.544973,54.652321,0.381470,0.381470,22.565813,21.470817,29.014208,22.519333,21.497207,29.029490,7.085855,99.990787
32768,44.890798,74.466858,65.944731,0.500000,0.500000,25.294366,25.027232,31.492473,25.120668,25.065322,31.456314,5.910758,44.290019
45000,46.471181,96.235378,77.674648,0.343323,0.343323,23.892722,21.240966,30.121324,24.097243,21.019023,30.481305,7.197236,110.276156
60000,50.562400,86.962425,100.916894,0.457764,0.457764,29.022174,25.526163,36.183314,29.532411,25.326179,36.227618,6.345755,54.068422
100000,83.220847,125.731213,156.556516,0.381470,0.762939,65.296205,38.627113,65.109315,54.294636,35.644900,50.674058,7.250886,139.827843
150000,116.092193,180.869340,185.347537,0.286102,0.572205,95.584614,58.897877,87.716550,89.702017,56.903217,79.652042,10.128514,178.048867
200000,116.151620,165.169265,200.725702,0.381470,0.381470,104.145434,69.134486,95.628499,103.955145,69.177265,95.609755,8.795049,218.851182
300000,133.939836,220.159908,212.980858,0.286102,0.572205,113.887180,75.578098,103.175283,113.277541,80.547151,103.730446,10.223548,203.176280
400000,135.917694,198.162856,225.067818,0.381470,0.381470,117.420143,81.024396,107.443285,117.407179,81.051729,107.437962,8.958115,234.070507
600000,142.201070,251.056716,229.498033,0.286102,0.572205,121.401922,82.367429,110.443555,124.078518,90.116465,115.108557,10.127176,216.647063
800000,142.736293,224.139730,239.246057,0.381470,0.381470,124.148861,86.740085,113.848673,124.277986,86.957583,113.861306,8.962412,246.842899
1200000,147.514714,273.521957,240.127659,0.286102,0.572205,125.878592,85.826352,114.545046,130.048087,95.476296,120.955040,9.749938,224.617186
2200000,220.720577,411.790494,245.960231,0.262260,0.524521,128.028861,87.036770,116.419407,131.986058,96.407037,122.830333,9.794466,268.605580
3100000,150.751612,321.752541,252.932975,0.369549,0.739098,130.119156,91.070473,119.291844,148.877167,109.987284,138.905266,7.796021,242.742916
6000000,220.771329,394.356304,272.815710,0.357628,0.715256,133.995454,92.910270,123.134182,152.596564,112.628700,149.988169,6.965139,273.328108
10000000,240.861297,445.278042,278.867513,0.298023,0.596046,143.831252,97.135528,131.909322,147.226937,109.665100,150.983063,10.053109,288.471167
