element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,42.135417,56.505208,38.776568,0.864865,0.864865,16.294800,21.562026,19.917902,16.285195,21.541166,19.887847,2.083214,32.500000
110,31.725758,46.634848,39.337182,0.973451,0.973451,14.053354,19.055030,16.501777,14.055237,19.040830,16.494537,3.931058,41.606061
240,44.400694,54.365972,39.283581,0.995851,0.995851,14.588244,19.595569,17.313656,14.592852,19.580168,17.306264,3.842366,40.288889
500,42.048333,56.388000,39.199881,0.994036,0.994036,14.040259,19.541791,16.415358,14.043970,19.513419,16.417689,3.803512,38.384667
800,41.263333,60.047500,39.681889,0.972053,0.972053,13.699070,18.578915,16.018430,13.697919,18.564912,16.022190,3.792014,37.302500
1024,41.906087,61.390788,40.023455,0.993210,0.993210,13.902348,18.379631,16.085522,13.921862,18.358964,16.106759,4.128767,37.593099
1500,41.346333,57.692111,40.225519,0.929944,0.929944,13.371076,18.191136,15.735519,13.386604,18.165568,15.758455,4.812911,36.654222
2048,42.278646,59.778890,40.517639,0.939881,0.939881,13.775137,17.741690,15.729427,13.740492,17.750719,15.845355,5.327011,36.932129
3000,42.577278,59.906722,40.888113,0.934871,0.934871,13.743826,18.048152,15.791718,13.798299,18.032234,15.764096,5.712728,36.774111
6000,44.515583,62.703194,42.874468,0.933562,0.933562,15.119194,21.225358,21.264847,15.169878,21.288619,20.615569,6.321875,37.707556
8192,37.862773,56.135600,44.978556,0.932711,0.932711,16.652274,23.634199,25.824572,16.622169,23.768296,25.485344,6.538012,38.092244
12000,38.823667,62.863917,48.445665,0.999084,0.999084,20.120063,27.183058,28.635591,19.684803,26.911512,28.589498,7.648911,39.408222
16384,40.353302,59.314707,51.161113,0.998355,0.998355,21.431089,28.135876,30.178277,21.475415,28.058197,30.124771,8.571143,40.059916
25000,41.132920,66.868433,54.668271,0.951765,0.951765,22.368925,28.629861,31.319279,22.347127,28.672231,31.337343,10.283060,41.409000
32768,42.904734,63.419108,56.721225,0.986305,0.986305,23.314280,29.805865,32.378785,23.331411,29.838009,32.396955,11.930827,43.210052
45000,44.523311,73.690841,58.450739,0.989424,0.989424,23.847627,30.418796,33.190240,23.873485,30.371944,33.210436,13.476800,44.541074
60000,45.038681,68.782742,59.355572,0.964119,0.964119,23.956901,30.141835,33.379823,23.930203,30.170540,33.410909,14.565257,45.148817
100000,45.715987,75.498480,60.080595,0.926810,0.926810,23.486144,29.394514,33.595630,23.586980,29.426882,33.030439,15.677808,46.324207
150000,46.539329,70.161469,62.262506,0.938256,0.938256,23.690018,29.640522,33.298971,23.708476,29.661432,33.325219,16.710008,47.081042
200000,48.282363,79.374033,69.372419,0.988098,0.988098,24.969888,31.278354,34.578345,24.707229,30.958650,34.528704,17.472865,48.367560
300000,49.243216,74.434131,99.744882,0.924491,0.924491,27.923300,33.420386,39.642172,28.939427,34.300802,39.650515,18.314468,49.818393
400000,55.795566,98.791094,142.287465,0.973575,0.973575,37.294122,42.499107,49.300161,37.091721,42.985698,49.290272,22.328568,55.526767
600000,73.170684,108.551256,203.649515,0.985379,0.985379,52.354144,59.155196,68.768417,52.260533,59.101789,68.772643,33.627744,72.907088
800000,90.760364,165.473886,234.663929,0.959024,0.959024,59.578845,67.483576,78.861410,59.523217,67.468081,78.876290,53.621289,90.682884
1200000,117.428559,177.738932,268.228093,0.970562,0.970562,66.736435,76.808577,89.592621,66.784523,76.601142,89.748852,81.770054,117.770609
2200000,154.933849,245.816507,298.995401,0.948020,0.948020,72.001469,83.228098,97.378564,71.948670,83.353560,97.524210,126.358196,152.833486
3100000,169.421958,358.630550,309.918688,0.975056,0.975056,75.316575,88.125242,102.809052,75.145246,88.011490,102.678646,192.465258,169.410649
6000000,186.783643,417.934584,316.225840,0.929367,0.929367,75.912949,88.366642,103.262085,75.704774,88.108192,103.055597,104.378362,184.719553
10000000,196.385952,377.018737,314.829999,0.965930,0.965930,78.246645,92.069920,107.657732,78.226749,92.027825,107.552521,inf,194.747092
