element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,65.880208,90.463542,84.663842,0.864865,0.864865,23.392663,27.854304,24.552861,23.437385,28.036628,24.545401,0.636810,88.020833
110,62.225758,78.207576,86.889240,0.973451,0.973451,27.737746,26.528859,25.697438,27.390546,26.113874,25.678344,0.986636,77.875758
240,84.983333,99.905556,90.390712,0.995851,0.995851,32.275932,37.525445,30.936957,32.162096,37.360740,30.866407,0.963338,75.356944
500,80.160000,107.776000,93.204869,0.994036,0.994036,31.684380,44.526676,37.739959,31.657638,44.601098,37.642033,1.667463,71.623333
800,81.382500,110.285208,94.302127,0.972053,0.972053,34.143826,40.646200,37.889828,33.961398,40.576624,38.020154,2.152189,72.909583
1024,80.486654,109.640951,96.209131,0.993210,0.993210,34.123243,44.148967,39.805814,34.232972,44.334477,39.675233,2.257915,72.943034
1500,80.289222,114.294556,101.190355,0.929944,0.929944,34.425176,44.867415,42.857420,34.614994,44.772546,42.551109,2.384124,72.630667
2048,82.682454,108.356852,109.330899,0.939881,0.939881,38.907646,49.553876,48.177103,38.883657,49.597822,48.339815,2.540906,74.388509
3000,86.446167,118.749944,119.482322,0.934871,0.934871,40.423442,54.686187,53.269800,40.605360,53.051413,53.656669,3.054121,74.749333
6000,89.975556,115.187639,132.397306,0.933562,0.933562,45.259972,59.946721,62.936158,45.728554,59.977178,61.940750,4.125316,76.383778
8192,78.398926,108.543640,136.604782,0.932711,0.932711,47.543900,62.711424,65.221169,47.369494,62.668343,65.289408,5.106478,77.293213
12000,81.518069,121.433361,142.910180,0.999084,0.999084,51.263924,68.369714,70.437362,51.073272,67.850449,70.449153,5.924667,81.749417
16384,82.209534,113.365387,145.428742,0.998355,0.998355,50.915180,68.787008,70.960304,50.964886,69.044355,70.940430,6.444687,82.031433
25000,83.653260,125.473080,146.964814,0.951765,0.951765,51.153529,68.098878,71.172454,51.157711,68.072610,71.135211,6.729443,85.087600
32768,85.809972,119.669011,153.328314,0.986305,0.986305,54.497002,70.967191,75.374531,54.323769,71.309531,74.552804,6.922140,89.399099
45000,89.968989,137.872974,178.663686,0.989424,0.989424,65.216638,83.861900,85.599319,62.460386,83.502576,84.087276,7.101285,93.183533
60000,98.357747,136.281294,221.980356,0.964119,0.964119,82.775908,104.225212,113.524086,90.029773,109.621486,116.533366,7.405856,99.762911
100000,113.298273,171.950007,365.569257,0.926810,0.926810,150.368862,180.165737,188.657231,150.476164,180.904291,189.140585,10.386257,111.635307
150000,128.103853,176.739047,466.748447,0.938256,0.938256,190.311669,233.174712,245.513012,189.908425,232.161367,245.951845,21.715633,131.741140
200000,147.507455,250.121717,529.161437,0.988098,0.988098,213.992662,266.854726,283.877048,213.687565,267.229446,283.681947,34.382171,148.758062
300000,174.167502,259.653522,588.755416,0.924491,0.924491,230.912877,291.700170,309.502084,230.787268,291.884429,309.511365,45.039737,173.733386
400000,191.828502,351.206706,631.484596,0.973575,0.973575,248.127518,320.122518,338.294032,247.792621,319.924596,338.178055,51.830711,194.084593
600000,220.256809,343.256488,674.814991,0.985379,0.985379,264.343122,345.298008,364.817072,265.130465,346.564160,365.362626,55.447705,220.454062
800000,229.416244,436.876108,692.883522,0.959024,0.959024,269.898657,355.293319,371.902909,270.414959,355.540740,371.874636,59.389806,232.817741
1200000,245.735438,406.117509,714.581009,0.970562,0.970562,279.137925,372.259170,385.547252,279.111579,371.703901,385.775215,58.219220,248.194481
2200000,264.487322,462.688641,726.992152,0.948020,0.948020,285.711945,382.102864,394.213960,285.420108,382.424480,394.078713,57.286566,263.380843
3100000,274.908530,555.792977,736.692566,0.975056,0.975056,294.491360,398.030451,408.079485,294.268338,398.008293,408.200570,55.955081,273.818766
6000000,270.666232,589.390078,741.492359,0.929367,0.929367,311.844882,413.716649,426.903510,311.782834,414.262650,427.363905,49.229790,277.700275
10000000,300.235340,521.207081,781.136206,0.965930,0.965930,348.562152,461.435055,476.510511,366.435475,462.924735,478.619012,68.786240,297.413066
