element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,51.250000,70.828125,52.617827,0.864865,0.864865,18.390352,16.611965,17.710857,18.434410,16.613014,17.526593,0.523677,60.625000
110,44.089394,58.603030,53.569123,0.973451,0.973451,17.701722,20.353259,18.590105,17.589871,20.331430,18.551605,0.981322,52.936364
240,55.658333,65.838194,54.527838,0.995851,0.995851,19.987284,19.036694,18.207903,20.084800,19.045889,18.164635,0.959344,50.413889
500,52.898000,71.984000,55.322248,0.994036,0.994036,20.483914,19.985957,19.505629,20.535919,20.030302,19.504852,1.072060,49.438667
800,53.545833,72.236875,56.677922,0.972053,0.972053,21.085730,19.585083,19.664724,20.871513,19.569039,19.582222,1.583353,50.427500
1024,53.266276,74.381999,56.991128,0.993210,0.993210,21.193342,19.982800,20.334561,21.221215,19.963214,20.199057,1.659027,47.651042
1500,53.321333,74.737222,57.245889,0.929944,0.929944,21.878861,20.166939,21.621456,21.989488,20.109718,21.718470,1.821895,48.544889
2048,52.388997,73.490153,57.972359,0.939881,0.939881,21.610459,20.528234,22.525866,21.509819,20.601415,22.655279,1.863984,48.050293
3000,54.328611,74.581056,59.487279,0.934871,0.934871,22.884628,22.817744,26.307755,23.199998,22.981278,26.401670,1.927598,47.678333
6000,56.625889,73.718917,67.372489,0.933562,0.933562,25.461708,27.706381,33.566728,25.405351,27.703925,33.562474,2.154327,48.514333
8192,50.466878,68.883138,72.841493,0.932711,0.932711,27.113185,30.015450,36.331976,27.221959,30.217483,36.094909,2.605824,49.308879
12000,52.021625,76.760861,78.847396,0.999084,0.999084,30.457412,33.538032,39.628823,30.492355,33.306670,39.522205,3.148776,50.900583
16384,53.879720,73.470337,81.837579,0.998355,0.998355,31.958739,34.686072,40.678585,32.039098,34.776389,40.608255,3.628988,53.188334
25000,55.327787,81.479613,84.552233,0.951765,0.951765,32.887920,35.479807,41.824921,32.959774,35.453545,41.890605,3.973491,53.751453
32768,55.689891,77.836843,86.393667,0.986305,0.986305,34.120604,36.453475,43.117805,33.999469,36.604657,42.945926,4.306196,55.829702
45000,57.117044,87.690900,88.498385,0.989424,0.989424,34.926264,37.260624,43.598192,34.921221,37.216078,43.536706,4.548832,57.543844
60000,59.004644,83.245047,89.555475,0.964119,0.964119,34.819611,37.335413,43.443827,34.913599,37.281384,43.432006,4.613022,58.798128
100000,59.646430,89.113193,96.183429,0.926810,0.926810,35.428011,37.359090,43.800916,35.701859,37.489773,43.852595,4.739347,60.188180
150000,62.171182,84.975700,130.237196,0.938256,0.938256,43.841578,42.798665,50.138001,43.963292,43.467482,50.061948,5.051965,62.743089
200000,67.731725,102.247798,179.516681,0.988098,0.988098,62.578333,57.394749,64.343535,62.282719,56.827612,64.454588,6.301800,66.673647
300000,79.653736,110.622974,256.697155,0.924491,0.924491,95.714036,80.036781,93.865817,93.703612,79.224259,92.570683,9.303536,77.860991
400000,93.993968,163.469661,307.228740,0.973575,0.973575,119.413205,101.151668,117.200932,120.199835,101.166582,117.739784,15.811761,91.195914
600000,120.243056,177.864239,350.164999,0.985379,0.985379,140.941177,123.883740,141.669662,144.052184,124.299656,141.785319,23.644278,117.464823
800000,133.517809,245.451762,390.275827,0.959024,0.959024,155.557522,133.970903,152.557088,155.753893,134.497190,152.587195,28.117765,133.571903
1200000,156.229383,249.156422,415.582927,0.970562,0.970562,168.302994,146.054986,163.691757,169.273420,147.738491,165.566957,31.122806,155.600834
2200000,184.700064,309.438733,450.577064,0.948020,0.948020,181.364922,157.782455,176.698129,180.977489,158.335692,176.751557,33.348391,184.806560
3100000,200.347533,425.444854,457.828451,0.975056,0.975056,187.021303,165.504097,183.041056,183.606924,163.926173,182.207901,33.923365,196.750969
6000000,210.450736,472.426989,457.323524,0.929367,0.929367,189.584614,167.010743,185.510968,188.450908,164.575889,184.615524,30.269507,205.008214
10000000,217.065844,373.818855,459.180105,0.965930,0.965930,195.996941,173.126620,190.922456,195.735786,174.454005,192.205092,42.609861,213.579068
