element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.541667,19.687500,7.083669,0.500000,0.500000,1.847952,2.150191,1.972543,1.848010,2.146925,1.971446,9.045363,7.812500
110,7.000000,17.409091,12.801579,0.429688,0.859375,1.849877,2.049916,1.916281,2.698500,3.321272,2.926746,11.063760,19.121212
240,6.179861,14.791667,14.425048,0.468750,0.468750,1.858123,2.073528,1.991984,1.858500,2.074103,1.986498,10.655183,5.902778
500,6.383333,14.816000,15.468643,0.488281,0.488281,1.911778,2.122909,1.996492,1.913806,2.119193,1.997816,10.773494,6.346667
800,6.799792,17.934792,11.943547,0.390625,0.781250,1.926905,2.164136,2.049552,2.868396,3.523086,3.374280,12.358625,23.570000
1024,6.611003,16.648112,7.738302,0.500000,0.500000,1.993761,2.322967,2.157861,1.991404,2.354280,2.152260,11.577359,7.724609
1500,7.007556,23.437000,11.274960,0.366211,0.732422,1.989761,2.281262,2.095044,2.980200,3.810603,3.288744,14.501847,23.656889
2048,7.199463,19.228597,7.900616,0.500000,0.500000,2.167931,2.899472,2.525013,2.301699,2.806046,2.465819,12.831827,9.058757
3000,7.359722,26.113500,11.473749,0.366211,0.732422,2.105426,2.637649,2.540721,4.209966,4.948092,4.694594,20.007698,24.334556
6000,8.351083,30.121917,12.334499,0.366211,0.732422,2.904806,4.548805,6.384637,10.047855,10.979255,12.081663,27.963258,27.060667
8192,10.340800,24.279907,9.488518,0.500000,0.500000,6.190833,8.969758,11.489029,6.188938,8.979427,11.376958,23.554954,11.213786
12000,8.831486,28.186722,13.362475,0.366211,0.732422,3.857270,6.872217,10.518026,13.860448,14.492155,15.085043,32.558980,27.047861
16384,10.733754,24.259654,10.198426,0.500000,0.500000,6.870379,10.269519,12.803912,6.866923,10.297033,12.707092,26.751957,11.181437
25000,9.988360,28.102880,14.649167,0.381470,0.762939,5.313583,8.218933,11.538140,14.920582,15.495007,16.814274,32.884264,28.628253
32768,11.429220,24.622233,10.563205,0.500000,0.500000,7.279231,10.655036,13.369667,7.342612,10.640745,13.345757,27.727877,11.414358
45000,10.355393,30.638593,13.559838,0.343323,0.686646,5.332285,7.693432,11.339849,12.783896,14.173013,16.821140,33.804750,27.405793
60000,11.480764,26.200186,18.318700,0.457764,0.457764,6.942454,10.038932,13.234760,6.937048,10.038527,13.249498,29.930634,11.310911
100000,12.578730,34.407243,15.456707,0.381470,0.762939,5.976009,8.576405,12.297780,15.877420,16.529357,19.331376,33.261018,30.335967
150000,16.379587,46.921909,19.310875,0.286102,0.572205,7.510387,9.325464,13.323439,9.806443,12.480306,15.839392,34.421809,35.856833
200000,16.920598,36.313223,25.507143,0.381470,0.762939,9.208738,11.935357,15.702003,16.265188,17.063896,20.288586,33.719055,37.794218
300000,29.246671,52.795233,36.159382,0.286102,0.572205,16.544385,18.933135,23.196238,13.301055,16.464026,18.962575,37.135619,47.642714
400000,33.440573,46.841496,43.137706,0.381470,0.762939,18.073576,21.620057,25.709627,19.754074,20.782938,25.120726,36.089202,49.775635
600000,49.103477,74.196308,44.839849,0.286102,0.572205,20.196320,22.467432,26.769704,22.990296,27.628621,30.849637,37.361952,72.376189
800000,46.027305,63.696609,51.277259,0.381470,0.762939,21.295445,24.873473,29.274990,34.149071,35.532212,41.563488,36.332549,69.006082
1200000,51.354326,87.500360,49.115442,0.286102,0.572205,21.571602,23.816248,28.123081,25.811141,31.753747,35.673964,36.182928,80.981583
2200000,54.200985,100.048544,50.442983,0.262260,0.524521,22.229850,24.162172,28.325443,25.879736,31.859273,36.624495,41.310639,86.155763
3100000,49.876737,81.601472,56.480474,0.369549,0.739098,23.326566,26.554696,30.979293,41.943303,44.217720,54.752507,52.888882,76.698403
6000000,50.812883,87.345231,56.789393,0.357628,0.715256,23.490269,26.382777,30.909550,38.388296,43.135031,55.319147,26.693174,78.425825
10000000,52.055646,98.683190,54.691003,0.298023,0.596046,23.010485,25.163856,29.335839,29.408686,36.364518,43.248824,inf,80.903815
