element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.072917,17.182292,7.096946,0.500000,0.500000,1.708443,2.029878,1.828869,1.709674,2.034759,1.827613,8.191615,7.500000
110,8.015152,17.816667,12.803263,0.429688,0.859375,1.993034,2.124751,1.983692,2.094016,2.655996,2.334029,10.755297,15.636364
240,5.388889,13.415972,14.427556,0.468750,0.468750,1.709655,2.000058,1.852117,1.710415,1.995196,1.851603,10.311914,5.345833
500,5.936333,12.716333,15.444038,0.488281,0.488281,1.765531,2.051250,1.909747,1.763187,2.050043,1.908650,9.584107,5.826667
800,5.549792,14.751458,11.961893,0.390625,0.781250,1.785281,2.036449,1.908453,1.978580,2.544127,2.228951,11.279119,14.454167
1024,4.988444,13.158691,7.738261,0.500000,0.500000,1.777901,2.136205,1.943235,1.786457,2.132783,1.939764,9.504875,5.048177
1500,6.127556,19.613667,11.283723,0.366211,0.732422,2.085772,2.142130,2.003977,2.000442,2.717306,2.218041,13.959722,17.203778
2048,5.680908,13.535482,7.912451,0.500000,0.500000,1.914628,2.314495,2.150675,1.917728,2.426347,2.141454,10.501243,5.851074
3000,6.133111,21.589722,11.475027,0.366211,0.732422,2.099864,2.377382,2.279714,2.544342,4.030638,3.213033,17.493374,19.189333
6000,5.995056,22.867222,12.311210,0.366211,0.732422,2.120986,3.538835,3.966838,2.490105,4.874273,6.335492,26.440155,18.559889
8192,5.367228,16.352153,9.469489,0.500000,0.500000,2.168199,4.808071,5.447413,2.238895,4.844366,5.484639,12.187984,5.451457
12000,6.361292,22.687778,13.403790,0.366211,0.732422,2.514264,5.679094,7.305861,9.259987,11.395933,13.321267,30.421973,21.020639
16384,5.779714,17.228475,10.172720,0.500000,0.500000,2.521007,7.288097,7.833708,2.524401,7.298459,7.842380,12.844500,5.782247
25000,8.026633,22.669633,14.626160,0.381470,0.762939,3.210616,7.695465,9.438413,5.095763,8.142524,11.461230,23.425932,19.552880
32768,7.899796,18.867411,10.540833,0.500000,0.500000,3.768868,9.134758,10.034564,3.782968,9.116831,10.039636,11.755197,8.001221
45000,12.495430,28.160481,13.564615,0.343323,0.686646,7.670682,8.170955,12.344457,8.765070,11.447031,13.637882,26.053211,24.204593
60000,12.363603,23.853286,18.302126,0.457764,0.457764,9.221344,10.948280,13.269151,9.273878,10.954079,13.259879,17.132108,12.420261
100000,10.150260,30.481610,15.559178,0.381470,0.762939,3.857993,7.947456,9.665984,9.318918,11.604446,13.944518,23.216399,21.278550
150000,15.146311,40.169453,19.731721,0.286102,0.572205,6.276319,8.269029,10.653895,4.252360,9.348258,10.471864,35.725751,31.666922
200000,15.090145,29.900815,25.049640,0.381470,0.762939,8.641930,10.894063,11.565412,5.580576,8.725234,12.098060,30.852516,30.582672
300000,29.121706,48.336820,36.327174,0.286102,0.572205,16.283308,18.866174,23.164396,10.207131,14.125642,15.841359,34.453741,44.603514
400000,34.666815,43.571244,43.322552,0.381470,0.762939,18.173527,21.567773,25.300543,12.183063,14.781539,17.529601,25.433442,42.664879
600000,49.444129,74.512093,44.825685,0.286102,0.572205,20.251736,22.412683,26.880030,27.177804,29.792174,32.698937,34.394014,72.008431
800000,46.291748,64.166760,51.243805,0.381470,0.762939,21.661015,24.833019,29.062877,32.313392,34.956790,37.563141,25.386000,65.878435
1200000,49.178767,81.323503,48.667057,0.286102,0.572205,19.447537,23.183222,24.927692,20.941341,28.411737,29.194528,36.889567,76.236815
2200000,51.797880,93.065304,49.956664,0.262260,0.524521,19.893715,23.620096,25.504890,21.678108,29.178842,30.051088,42.117236,80.956130
3100000,45.369113,74.167977,54.939942,0.369549,0.739098,19.871375,25.649784,25.507079,23.682703,31.904279,34.008005,46.724613,67.496019
6000000,46.703499,79.199678,54.134173,0.357628,0.715256,20.668984,25.534385,26.314681,22.587321,31.509900,32.644615,23.808957,68.821034
10000000,49.544398,88.708185,52.949783,0.298023,0.596046,19.891640,24.474789,25.832794,20.835018,30.429418,27.682701,inf,74.008261
