element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.125000,17.604167,7.299449,0.500000,0.500000,1.802261,2.059586,1.920853,1.796983,2.060596,1.920367,8.046328,8.437500
110,7.483333,18.590909,12.883794,0.429688,0.859375,1.988530,2.330283,2.175202,2.360929,3.044199,2.721831,9.859002,17.575758
240,7.541667,17.770139,14.485503,0.468750,0.468750,2.327025,2.450899,2.421323,2.328187,2.446215,2.423928,8.997148,6.916667
500,9.756333,20.222667,15.525047,0.488281,0.488281,2.885999,2.776716,2.853520,2.882545,2.761974,2.858073,8.016759,10.213333
800,8.710208,23.638542,12.088648,0.390625,0.781250,2.398040,2.583610,2.516063,4.955392,5.261738,5.168390,10.531806,30.740000
1024,9.337240,21.885417,7.918115,0.500000,0.500000,2.652341,3.124205,2.819663,2.865910,3.061821,2.784786,9.086790,12.717773
1500,9.391778,24.434667,11.453713,0.366211,0.732422,2.153341,2.489331,2.351389,3.968580,4.723005,4.385760,12.669154,28.538667
2048,8.230550,22.224040,8.062686,0.500000,0.500000,2.539566,3.210634,2.680842,2.699960,3.185302,2.796963,10.652786,10.863770
3000,7.464167,26.565667,11.566908,0.366211,0.732422,2.142439,3.060664,2.671602,4.322736,5.681476,5.323411,19.063127,24.660111
6000,8.332194,29.956639,12.347226,0.366211,0.732422,2.890665,4.555941,6.669103,9.952498,11.208344,12.480166,27.804638,26.271167
8192,9.880615,24.419230,9.630250,0.500000,0.500000,5.540949,8.852469,11.546490,5.449342,8.817023,11.337973,23.595445,10.763794
12000,9.118125,28.301986,13.475807,0.366211,0.732422,4.841310,7.241642,11.077283,13.347549,14.404226,15.149689,32.237840,26.916500
16384,10.726613,23.913788,10.388635,0.500000,0.500000,7.483737,10.622466,13.277258,7.463251,10.603698,13.201571,25.618772,10.897217
25000,10.337673,28.111727,14.798209,0.381470,0.762939,6.557772,8.515275,12.268866,15.757573,16.310444,17.626870,30.819427,29.063427
32768,11.815094,25.194814,10.759825,0.500000,0.500000,8.491626,11.152635,14.425786,8.473072,11.168227,14.416975,25.996654,11.836609
45000,10.420122,30.256519,13.749349,0.343323,0.686646,6.062878,7.971984,11.888492,13.994127,15.150173,18.251750,32.716930,27.671393
60000,11.479258,25.975347,18.429195,0.457764,0.457764,7.661545,10.388599,13.824312,7.746780,10.397072,13.808890,29.047298,11.453844
100000,12.485523,33.958077,15.635493,0.381470,0.762939,6.599744,8.793267,12.650079,15.156779,16.474269,19.347891,32.466833,29.929030
150000,16.692500,46.874996,19.399490,0.286102,0.572205,7.509987,8.911362,13.176220,10.154530,12.689861,16.214087,33.816795,35.762907
200000,17.091668,36.029548,25.356420,0.381470,0.762939,9.665042,11.964282,15.931450,15.593206,16.876798,20.275779,31.971406,37.619553
300000,31.209648,52.635146,36.775119,0.286102,0.572205,17.329635,19.593334,23.562319,14.146716,17.113484,19.709310,36.564936,49.496100
400000,35.182081,46.360073,43.661997,0.381470,0.762939,19.068181,22.317919,26.153878,20.001112,21.111731,25.499109,34.726673,51.008472
600000,52.371834,73.929209,45.644728,0.286102,0.572205,21.266308,23.319036,27.228372,24.004574,28.006572,31.469783,36.955222,75.313063
800000,48.757336,63.586807,51.726842,0.381470,0.762939,22.384612,25.820970,29.768412,33.195203,35.417863,40.704916,36.136533,71.600065
1200000,55.215088,87.960236,49.765959,0.286102,0.572205,22.493003,24.556140,28.594774,27.650849,32.521140,36.923401,35.795389,84.412087
2200000,58.241805,100.462975,51.108606,0.262260,0.524521,23.131038,24.785909,28.747006,26.804923,32.176541,36.730002,40.379454,89.668127
3100000,53.340535,81.488112,57.027338,0.369549,0.739098,24.306178,27.455692,31.519959,39.276123,43.367617,52.738006,52.055538,80.161898
6000000,54.447352,87.290706,57.419324,0.357628,0.715256,24.401897,27.290814,31.473039,38.619725,43.486197,54.490507,26.073894,81.514853
10000000,56.274989,98.678123,55.420729,0.298023,0.596046,24.063463,25.919041,29.926677,30.941402,37.066566,44.422703,inf,84.917338
