element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,24.895833,41.562500,28.302984,0.500000,0.500000,7.560109,4.948187,6.497762,7.547183,4.925028,6.474643,1.811907,24.895833
110,23.333333,39.907576,35.239801,0.429688,0.859375,9.346642,4.569914,5.775188,9.295039,6.374007,7.606030,2.253140,48.000000
240,24.276389,41.770139,37.190168,0.468750,0.468750,10.423379,4.887829,6.490867,10.439697,4.941978,6.526784,2.136640,27.234722
500,25.086000,44.351667,38.734594,0.488281,0.488281,12.417177,6.473771,8.833265,12.379350,6.467640,8.816260,2.277219,28.845333
800,25.303333,51.908542,34.167057,0.390625,0.781250,12.877763,8.100172,10.509919,15.240971,9.786001,12.085753,2.853023,58.947917
1024,27.731771,50.709310,29.301602,0.500000,0.500000,14.008618,9.142053,11.620785,14.107587,9.206373,11.614821,2.359238,31.024089
1500,26.811111,57.435556,33.049259,0.366211,0.732422,13.965463,10.043611,12.160113,17.153069,11.192387,14.166054,3.255282,60.728444
2048,28.382731,52.554932,29.779080,0.500000,0.500000,15.902285,10.841111,13.690865,16.114379,10.741306,13.998574,2.815128,29.819824
3000,28.265000,82.760222,34.298139,0.366211,0.732422,16.322019,11.462003,15.942067,26.052211,14.492929,23.180231,4.299379,76.944889
6000,34.051472,86.901222,35.803763,0.366211,0.732422,19.603707,15.872595,24.386340,30.593958,24.460610,29.274481,6.836870,62.618222
8192,32.395040,72.412679,32.422393,0.500000,0.500000,22.846107,21.018008,28.029855,22.831668,20.689918,27.941697,5.831999,31.156006
12000,30.017208,90.228111,36.697290,0.366211,0.732422,20.745547,19.007101,26.948099,32.390162,27.355388,31.920722,7.893832,62.654556
16384,33.581411,75.419830,32.995530,0.500000,0.500000,23.782092,22.823651,29.615659,23.785221,22.709186,29.571744,6.511984,31.596903
25000,30.855507,91.669953,37.724852,0.381470,0.762939,21.617314,20.181184,27.894309,35.237722,30.065118,34.703140,7.972403,63.629747
32768,34.104446,78.228933,33.722916,0.500000,0.500000,24.305999,23.273123,30.503193,24.265185,23.220682,30.500672,6.579621,32.067159
45000,30.543733,108.317448,37.549942,0.343323,0.686646,20.939799,19.299849,27.372939,32.338077,28.068105,34.102196,7.993525,65.227185
60000,35.839597,90.906528,42.924993,0.457764,0.457764,23.526886,22.665290,30.125884,23.568290,22.707491,30.094009,7.173146,32.378900
100000,59.857813,118.520177,58.542431,0.381470,0.762939,26.311992,24.676080,33.716787,37.251097,31.747882,36.865021,8.213061,82.849050
150000,99.161940,165.858787,84.279107,0.286102,0.572205,40.568825,36.262792,47.380316,34.453697,32.212705,38.273842,11.033292,123.125238
200000,86.450500,147.582352,93.805658,0.381470,0.762939,45.182606,42.544813,52.497212,42.684974,36.923558,42.231993,9.590863,117.781275
300000,132.890349,206.656820,104.668196,0.286102,0.572205,50.770314,46.024871,57.688661,53.249189,49.145800,57.457534,11.281218,187.807829
400000,125.781296,181.809607,112.172638,0.381470,0.762939,53.287092,50.156060,61.042348,65.749915,57.479183,65.092842,9.738178,173.190164
600000,146.666419,210.756594,114.058388,0.286102,0.572205,54.477429,49.203909,61.428799,62.928251,57.538114,68.683251,11.089631,210.627704
800000,139.500147,187.959570,121.031208,0.381470,0.762939,57.759471,53.306733,64.806972,80.470669,69.216350,79.374323,9.636602,193.251809
1200000,154.259205,236.178229,118.679323,0.286102,0.572205,57.335449,50.956764,63.164151,68.504419,61.149601,73.008101,10.424622,219.371710
2200000,161.194794,263.761905,118.224756,0.262260,0.524521,57.937264,50.946587,63.399854,65.176762,61.371984,74.515539,10.622272,231.348730
3100000,151.560574,224.716179,124.467912,0.369549,0.739098,60.838199,55.471348,66.892808,86.138384,74.376896,87.613899,8.452345,203.610692
6000000,152.933226,231.763466,126.032873,0.357628,0.715256,60.512519,55.843922,67.653534,86.836143,75.562746,90.719882,7.413823,207.205115
10000000,162.295599,257.686917,130.452329,0.298023,0.596046,63.464791,55.779505,69.652880,74.263649,69.750112,87.806012,11.021302,223.375885
