element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.697917,20.208333,7.303225,0.500000,0.500000,1.922558,2.422279,2.200306,1.924941,2.423479,2.200264,7.182510,7.812500
110,7.378788,19.043939,12.881354,0.429688,0.859375,1.971486,2.325647,2.163433,2.908172,3.739371,3.497884,9.765411,20.030303
240,6.958333,15.145139,14.498818,0.468750,0.468750,2.029846,2.264247,2.205275,2.030734,2.264276,2.208321,9.364369,6.305556
500,7.023000,14.733000,15.529982,0.488281,0.488281,2.143509,2.348628,2.269605,2.143855,2.349083,2.271244,9.825096,6.946000
800,7.187292,17.818125,12.081596,0.390625,0.781250,2.085110,2.418266,2.291440,3.344918,4.029782,3.547550,10.893691,24.611667
1024,7.891927,17.061523,7.921603,0.500000,0.500000,2.246546,2.564096,2.444859,2.291614,2.645504,2.435569,9.788731,9.325846
1500,7.145333,22.054667,11.454154,0.366211,0.732422,2.115274,2.484034,2.256860,3.618049,4.485778,3.814894,13.012546,25.801333
2048,8.039225,20.103434,8.069740,0.500000,0.500000,2.406355,2.983234,2.671010,2.584237,3.160730,2.815597,11.375248,10.055013
3000,7.690222,26.393444,11.593020,0.366211,0.732422,2.197577,3.251027,2.882210,6.020008,7.207596,6.646073,19.109042,25.972333
6000,8.394667,29.558889,12.520040,0.366211,0.732422,2.991441,4.707719,6.614616,10.897408,11.865893,12.849751,27.010202,26.215111
8192,9.833211,23.447184,9.627310,0.500000,0.500000,5.761535,8.574707,11.560133,5.859889,8.530314,11.453965,22.607211,10.734090
12000,9.295764,27.478958,13.516279,0.366211,0.732422,5.067595,7.357098,11.170795,13.483802,14.548534,15.348802,32.467021,27.440056
16384,11.017242,23.739939,10.361625,0.500000,0.500000,7.718563,10.739976,13.530851,7.725125,10.780244,13.498760,25.765416,11.292908
25000,10.193213,27.784473,14.797643,0.381470,0.762939,6.523550,8.602240,12.219394,15.654095,16.351465,17.504476,32.049213,28.972227
32768,11.656865,24.491964,10.773954,0.500000,0.500000,8.224156,11.111856,14.228239,8.241264,11.090568,14.212098,26.363953,11.699483
45000,10.299941,29.386437,13.721445,0.343323,0.686646,6.123620,7.946626,11.804537,13.538899,15.020617,17.744664,32.598939,27.378963
60000,11.273767,25.729131,18.437445,0.457764,0.457764,7.542335,10.352761,13.786812,7.554648,10.336560,13.768695,28.665922,11.336900
100000,12.519257,33.540923,15.630689,0.381470,0.762939,6.641066,8.790510,12.583165,16.290051,17.298419,19.936573,31.851571,30.226883
150000,16.236116,45.638307,19.905459,0.286102,0.572205,7.546153,8.862209,13.207400,10.138139,12.754322,16.000337,33.734263,35.800504
200000,16.908390,35.976630,25.624944,0.381470,0.762939,9.882668,12.212725,16.219442,16.610788,17.535412,20.753151,32.210088,38.150413
300000,31.350707,51.646868,36.801403,0.286102,0.572205,17.496898,19.583500,23.575358,14.228859,17.209701,19.695427,36.614681,49.403653
400000,35.129838,46.190383,43.755466,0.381470,0.762939,19.202159,22.351790,26.151968,20.371257,21.455712,25.379493,34.908578,51.111172
600000,52.500652,73.849156,45.554458,0.286102,0.572205,21.213800,23.302824,27.379423,23.987066,28.074414,31.364522,37.739399,75.340955
800000,48.838067,63.171105,51.711643,0.381470,0.762939,22.523893,25.883747,30.020275,34.851023,36.282022,42.144064,35.953542,72.059303
1200000,55.328087,88.044829,49.787404,0.286102,0.572205,22.757080,24.588650,28.799647,27.962279,32.737726,37.348884,35.427302,84.804696
2200000,58.414437,100.214022,51.100879,0.262260,0.524521,23.228363,24.818503,28.926553,27.346244,32.456450,37.398202,39.895851,90.054680
3100000,53.578305,81.636584,57.172533,0.369549,0.739098,24.547388,27.532833,31.941913,43.438156,46.137450,57.591503,52.663552,80.693849
6000000,54.529580,87.413028,57.547880,0.357628,0.715256,24.506887,27.324275,31.761486,40.685990,44.695275,57.338085,26.356970,82.059665
10000000,56.499218,98.635984,55.595226,0.298023,0.596046,24.070402,25.925663,30.071148,31.340097,37.365051,44.404403,inf,85.000926
