element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,23.432292,59.427083,14.166183,0.500000,0.500000,2.635369,2.876668,2.587325,2.647842,2.871499,2.583974,2.023320,11.562500
110,10.877273,24.181818,22.966571,0.859375,0.859375,2.756829,2.963188,2.819965,2.772585,2.958308,2.815802,1.270965,9.303030
240,11.950694,26.596528,13.557462,0.937500,0.937500,3.038867,3.085854,3.041927,3.035253,3.085672,3.034833,1.511629,12.387500
500,8.579667,35.562000,14.110118,0.488281,0.488281,2.598271,2.364173,2.440159,2.600642,2.361232,2.440250,2.461322,8.866667
800,10.618542,30.094583,21.079115,0.781250,0.781250,2.818351,2.715546,2.819236,2.818983,2.755394,2.769954,1.674409,12.186667
1024,9.029785,42.213542,14.847090,0.500000,0.500000,2.651743,2.450626,2.619547,2.657346,2.495758,2.637525,2.602937,10.308919
1500,11.075111,35.476333,20.293767,0.732422,0.732422,2.836764,2.794514,2.880392,2.851911,2.748389,2.840442,1.814392,14.066222
2048,9.861328,46.718424,15.210616,0.500000,0.500000,2.769198,2.814762,3.008616,2.830530,2.813773,2.915140,3.044816,11.799642
3000,12.986722,40.596722,20.770794,0.732422,0.732422,3.017828,3.454321,3.622364,3.324711,3.542349,3.620159,2.110390,15.056000
6000,15.410278,43.881361,21.088192,0.732422,0.732422,3.779906,5.536148,8.155633,3.869076,5.492693,7.930767,2.699391,15.600000
8192,13.316956,54.388794,16.442062,0.500000,0.500000,3.594134,5.223589,8.869021,3.615148,5.209285,8.848315,7.246931,12.058879
12000,16.408681,45.340042,22.456523,0.732422,0.732422,5.586604,8.979980,12.005858,5.514644,8.930372,11.838475,3.826645,16.429611
16384,14.162567,56.527557,18.230068,0.500000,0.500000,5.056729,7.715567,11.158959,5.065875,7.654945,11.090981,7.635701,13.226034
25000,18.142093,47.137047,25.914706,0.762939,0.762939,7.134198,10.273765,13.378657,7.113343,10.258056,13.361008,3.871924,17.700120
32768,15.332321,58.365916,19.302593,0.500000,0.500000,6.019129,8.315590,11.945354,6.002160,8.340608,11.923223,7.646884,14.264587
45000,17.621726,49.844444,24.745668,0.686646,0.686646,7.157784,10.305286,13.556886,7.157599,10.281636,13.544406,4.888808,17.362519
60000,22.956586,44.260264,18.897852,0.915527,0.915527,8.585654,11.535106,15.130392,8.571450,11.540823,15.118777,2.304152,22.871283
100000,21.074717,50.273427,28.580385,0.762939,0.762939,7.866960,10.980186,14.467915,7.861654,10.993667,14.477037,3.955729,19.711237
150000,19.318920,58.935373,22.210390,0.572205,0.572205,6.883263,9.448811,12.979543,6.880519,9.456060,12.972023,6.586140,16.218487
200000,21.686113,48.429863,29.727707,0.762939,0.762939,8.035649,11.084697,14.584099,8.015872,11.075384,14.590450,3.955046,20.106723
300000,21.380676,62.780121,31.354015,0.572205,0.572205,7.490437,10.025187,13.600003,7.515298,10.080024,13.621261,6.494118,18.024784
400000,22.882409,50.405487,43.683057,0.762939,0.762939,8.714424,11.741891,15.325465,8.705269,11.753533,15.328302,3.965152,22.015384
600000,35.241068,67.499373,63.532265,0.572205,0.572205,17.793065,19.031826,23.226412,17.789810,19.054631,23.253939,6.969152,31.467669
800000,36.916535,58.160794,80.415964,0.762939,0.762939,19.060986,20.953269,25.154900,18.944728,20.849809,25.142447,4.416135,36.020323
1200000,53.326023,78.897874,80.535883,0.572205,0.572205,26.272291,27.639395,31.922563,25.387667,26.923828,31.929838,7.510228,52.370517
2200000,57.957984,99.830545,82.265305,0.524521,0.524521,27.331643,29.137040,34.050324,27.349804,29.086824,34.044762,7.733116,57.513420
3100000,64.284525,95.302275,110.303567,0.739098,0.739098,29.868434,32.506966,38.137601,29.799620,32.496378,38.172995,4.756373,64.373309
6000000,66.545696,108.985515,110.753915,0.715256,0.715256,30.659025,33.493117,39.238219,30.520804,33.390094,39.239422,4.464896,65.630470
10000000,62.795965,120.130549,95.076929,0.596046,0.596046,29.616071,32.050635,37.398576,29.634184,32.059681,37.422435,7.765009,62.364049
