element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,14.218750,33.588542,14.186644,0.500000,0.500000,3.442333,2.720413,3.837706,3.429107,2.749126,3.829911,2.032204,12.395833
110,11.924242,24.892424,23.141930,0.859375,0.859375,2.994779,2.899049,2.935545,3.000375,2.894785,2.928323,1.404373,9.878788
240,12.860417,26.478472,13.602049,0.937500,0.937500,2.965407,2.815725,2.933806,2.957718,2.815835,2.925141,1.490457,11.694444
500,8.526000,36.108667,14.056129,0.488281,0.488281,2.628830,2.393406,2.493147,2.629230,2.389936,2.487946,2.441979,8.360000
800,10.493333,30.263333,21.331217,0.781250,0.781250,2.793132,2.719440,2.833684,2.832556,2.662157,2.785478,1.615574,12.220833
1024,8.987467,43.868652,14.825252,0.500000,0.500000,2.635104,2.372584,2.516701,2.646898,2.365342,2.567234,2.567701,9.976562
1500,11.345111,37.372000,20.522068,0.732422,0.732422,2.907583,2.890890,2.967091,2.953114,2.969590,3.014696,1.739537,14.672667
2048,9.958984,48.387533,15.190583,0.500000,0.500000,2.793048,2.683515,2.926079,2.895343,2.818413,2.956248,3.089088,11.900553
3000,14.082278,41.185722,20.998823,0.732422,0.732422,3.151867,3.654788,3.778778,3.299877,3.474199,3.611905,2.074892,16.032778
6000,15.632778,42.368611,21.625619,0.732422,0.732422,3.902179,5.762455,8.431733,3.896658,5.633851,7.975962,2.703042,16.141000
8192,12.343445,51.173340,16.648098,0.500000,0.500000,3.665302,5.330706,9.013667,3.684121,5.340717,8.855000,7.137195,12.406331
12000,16.189375,42.344347,22.755327,0.732422,0.732422,5.590244,8.949864,11.749317,5.614197,8.932780,11.745871,3.823174,16.276861
16384,13.095011,50.848246,18.166006,0.500000,0.500000,5.043078,7.494265,11.168914,5.023735,7.471262,11.148412,7.671706,13.165568
25000,17.423787,42.863293,25.966017,0.762939,0.762939,7.058614,10.261510,13.247382,7.020417,10.191679,13.197975,3.885605,17.728387
32768,13.901698,51.842651,19.375603,0.500000,0.500000,5.987535,8.275110,11.934764,5.993445,8.301211,11.917730,7.706233,14.021586
45000,17.352481,45.156641,24.805437,0.686646,0.686646,7.147021,10.203861,13.584084,7.173078,10.172518,13.570834,4.916058,17.363852
60000,22.768711,44.139472,18.799558,0.915527,0.915527,8.668235,11.556432,15.244367,8.625416,11.589303,15.216990,2.291945,22.982056
100000,19.596047,45.749373,28.621188,0.762939,0.762939,7.849867,10.961921,14.433781,7.851998,10.967760,14.441665,3.934256,19.703010
150000,16.389260,53.085653,22.667688,0.572205,0.572205,6.867035,9.432438,12.935898,6.865282,9.417481,12.928680,6.543681,16.182844
200000,20.587342,46.778570,29.624961,0.762939,0.762939,7.965468,11.088248,14.545437,7.981636,11.092806,14.564192,3.964984,20.125693
300000,17.767172,54.473087,31.346855,0.572205,0.572205,7.458989,10.021739,13.985724,8.043828,10.445115,13.961242,6.562357,18.426260
400000,21.289833,48.446599,44.167118,0.762939,0.762939,8.799698,11.852941,15.364759,8.724831,11.791076,15.365457,3.969021,21.881534
600000,30.969533,59.251332,64.767670,0.572205,0.572205,17.792957,19.032032,23.115356,17.813606,18.932576,23.127568,6.954483,31.410334
800000,36.878756,57.664542,80.657648,0.762939,0.762939,18.943520,20.822748,25.144880,18.963047,20.876052,25.110773,4.397257,35.781174
1200000,53.260424,77.542325,80.391510,0.572205,0.572205,26.135055,27.607454,31.928395,25.385419,26.992320,31.922595,7.530484,52.330315
2200000,57.867535,100.034332,82.318769,0.524521,0.524521,27.355849,29.136772,34.021683,27.322044,29.103670,34.032045,7.787628,57.524696
3100000,64.268548,95.553440,110.434723,0.739098,0.739098,29.792825,32.508885,38.167377,29.770090,32.494485,38.173841,4.733921,64.345813
6000000,66.535775,108.120537,111.131376,0.715256,0.715256,30.659744,33.497360,39.225776,30.529626,33.378346,39.222826,4.384214,65.594178
10000000,62.813456,117.540599,95.114091,0.596046,0.596046,29.630458,32.035526,37.413236,29.626720,32.057917,37.404757,7.891225,62.396622
