element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,44.057292,53.125000,37.552425,0.864865,0.864865,14.630170,17.357178,17.149952,14.643512,17.334727,17.137487,0.603567,34.062500
110,37.013636,44.892424,38.398080,0.973451,0.973451,14.618657,18.743002,15.842800,14.621858,18.713444,15.835872,0.984587,39.787879
240,43.290278,54.428472,38.464808,0.995851,0.995851,15.279894,20.274591,17.659949,15.290130,20.249249,17.629221,0.966777,38.625000
500,41.628000,55.734667,38.289686,0.994036,0.994036,14.230840,19.069752,16.583916,14.246776,19.034416,16.572508,0.951511,36.864667
800,40.840000,59.085000,38.672597,0.972053,0.972053,13.935457,18.870165,16.177501,13.942660,18.859262,16.182976,0.948379,36.282083
1024,41.209473,60.842448,39.044103,0.993210,0.993210,13.766292,18.536860,15.815549,13.767105,18.490125,15.814424,1.017832,35.780273
1500,42.111778,57.025556,39.007831,0.929944,0.929944,14.017464,17.873427,15.637316,14.036197,17.862620,15.633276,1.189891,36.631778
2048,41.878255,57.920247,39.341285,0.939881,0.939881,13.791834,18.197447,15.863040,13.744710,18.186110,15.874022,1.306500,36.141276
3000,42.340111,58.857111,39.825322,0.934871,0.934871,13.963910,18.361130,15.982282,13.959578,18.318657,16.006848,1.415249,36.828556
6000,43.254194,61.596083,41.588132,0.933562,0.933562,15.420704,21.329485,19.352463,15.630533,21.140784,18.613263,1.569775,36.789167
8192,36.926147,55.453634,43.635831,0.932711,0.932711,16.916393,23.155522,24.519680,17.010984,23.167875,24.083854,1.604591,36.978190
12000,38.496208,62.022111,47.482614,0.999084,0.999084,20.120517,27.286520,27.967612,19.970719,27.154819,27.828140,1.785491,38.458833
16384,39.377899,58.833354,50.137214,0.998355,0.998355,21.415906,28.097703,30.069222,21.596851,28.212799,30.024080,2.014385,39.708781
25000,40.741347,65.804067,53.920021,0.951765,0.951765,22.530031,28.200858,31.015331,22.440295,28.237708,31.009922,2.594671,40.907133
32768,42.376643,63.286850,55.843184,0.986305,0.986305,23.327046,29.365386,32.077287,23.325551,29.402884,32.062415,3.032203,42.304016
45000,43.857870,73.259844,57.437289,0.989424,0.989424,23.739584,29.755176,32.866893,23.772995,29.770489,32.850231,3.366691,43.726874
60000,44.516106,68.205467,58.307883,0.964119,0.964119,23.786722,29.878794,33.075926,23.792888,29.834514,33.064146,3.616211,44.449439
100000,45.381393,75.191747,59.039699,0.926810,0.926810,23.439764,29.160527,32.865508,23.480798,29.206978,32.841842,3.926354,45.232933
150000,46.047782,69.523727,62.372423,0.938256,0.938256,23.687278,29.320551,33.100577,23.661342,29.349800,33.055427,4.118704,46.153624
200000,47.841238,78.867642,68.046024,0.988098,0.988098,25.146620,31.033256,34.823957,25.213012,30.904691,34.818919,4.377818,47.988082
300000,48.950309,74.311400,99.980716,0.924491,0.924491,27.909944,33.706118,38.986240,28.625048,33.740522,38.980679,4.469850,49.138257
400000,55.638579,98.262721,143.126183,0.973575,0.973575,37.288690,42.231390,48.549882,36.807757,41.825393,48.527024,5.119214,55.014844
600000,73.704529,109.180608,208.147406,0.985379,0.985379,51.393457,57.158055,66.622328,51.445637,57.187630,66.631098,8.213592,72.740931
800000,91.903602,166.811783,241.685250,0.959024,0.959024,58.778984,65.026304,75.783244,58.813315,64.981767,75.770395,13.316843,91.678589
1200000,120.081970,181.137917,273.327407,0.970562,0.970562,65.587484,72.270911,84.010692,64.755767,72.071747,84.137474,19.120877,118.478858
2200000,153.674690,243.513229,296.110245,0.948020,0.948020,68.930174,77.033689,91.408066,69.035633,77.038785,91.371744,25.040456,151.170400
3100000,167.150552,354.232191,307.322850,0.975056,0.975056,71.990435,81.079326,95.983990,72.001349,81.343685,95.988325,27.152562,167.463050
6000000,184.755047,413.939178,313.964607,0.929367,0.929367,72.838634,81.291265,96.511200,72.407949,81.095377,96.354730,25.890569,182.566073
10000000,194.772637,373.825009,313.952172,0.965930,0.965930,75.045279,84.999613,100.562801,75.001110,84.990536,100.626354,37.501298,193.243337
