element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,8.385417,16.875000,6.925770,0.500000,0.500000,1.938247,2.094564,2.021937,1.941819,2.094982,2.024245,1.804826,7.395833
110,6.772727,18.240909,12.444483,0.429688,0.859375,2.033424,2.130036,2.064537,4.531236,4.268009,3.879488,2.236160,22.909091
240,5.763889,15.624306,14.015130,0.468750,0.468750,2.025472,2.240400,2.142047,2.026970,2.236035,2.140020,2.065002,5.194444
500,5.390000,14.012667,15.074466,0.488281,0.488281,2.073882,2.204789,2.170054,2.075148,2.202627,2.161852,2.265838,5.560000
800,5.645625,17.493125,11.687887,0.390625,0.781250,2.027805,2.154075,2.107401,3.364599,3.609243,3.216907,2.807718,22.140833
1024,5.453776,14.991374,7.539354,0.500000,0.500000,2.067499,2.321421,2.196440,2.068575,2.331698,2.218585,2.420921,6.337240
1500,5.804222,20.760333,11.039476,0.366211,0.732422,2.056385,2.251957,2.175366,2.941252,3.437707,2.724743,3.091258,22.397111
2048,5.715902,18.917725,7.667174,0.500000,0.500000,2.142977,2.801694,2.518836,2.315723,3.036343,2.482114,2.805235,7.716309
3000,5.915333,24.193500,11.206906,0.366211,0.732422,2.108581,2.847533,2.433671,4.610244,5.504278,4.734068,4.423332,22.662667
6000,6.526694,27.252583,12.090452,0.366211,0.732422,2.530211,4.183217,5.645706,9.536323,10.230727,11.629356,6.927810,23.432444
8192,7.631165,21.268941,9.254880,0.500000,0.500000,4.884290,7.742138,10.680052,4.993944,7.839529,10.499954,5.738738,8.503499
12000,7.367083,26.519139,13.135550,0.366211,0.732422,3.935475,6.671883,10.332287,13.321277,13.462889,14.377237,7.845736,24.898500
16384,9.305176,23.534770,10.020216,0.500000,0.500000,7.216784,9.895494,12.779863,7.207300,9.892246,12.692302,6.274407,9.310181
25000,8.758800,27.390567,14.411274,0.381470,0.762939,5.924745,8.041946,11.559176,16.933362,16.489658,17.406015,7.753976,28.718520
32768,10.210693,23.920959,10.467132,0.500000,0.500000,8.188774,10.503160,13.687553,8.204602,10.514462,13.610856,6.420147,10.239166
45000,9.162911,30.380922,13.424017,0.343323,0.686646,5.922616,7.572120,11.496311,14.598201,14.570483,17.270468,7.910182,26.717504
60000,10.240892,26.008708,18.070616,0.457764,0.457764,7.833658,9.936946,13.391650,7.788822,9.923592,13.380895,6.963664,10.325994
100000,11.361970,34.561457,15.169191,0.381470,0.762939,6.668906,8.465937,12.321924,17.777268,16.791857,19.810534,7.834570,29.574180
150000,14.579913,46.564082,19.282895,0.286102,0.572205,7.099160,8.588456,13.045710,10.582434,12.193552,15.751293,8.098754,33.722278
200000,14.605712,35.816895,25.360205,0.381470,0.762939,9.476705,11.695325,15.603163,17.759990,16.925556,20.443899,7.896623,35.936937
300000,25.805846,51.727797,36.651104,0.286102,0.572205,16.414922,18.979315,22.978059,14.233764,16.401582,19.110512,8.415450,44.525513
400000,29.625586,46.165777,43.593507,0.381470,0.762939,18.157728,21.434728,25.458622,21.500093,20.790359,25.419493,8.283962,45.948559
600000,45.181867,73.308613,45.113734,0.286102,0.572205,19.792485,22.523612,26.371284,23.249982,26.851396,30.417053,8.370369,68.101438
800000,41.500279,62.748779,51.178072,0.381470,0.762939,20.987671,24.494602,28.830294,35.202755,34.588792,40.938398,8.212823,64.323669
1200000,46.616357,85.877170,48.255369,0.286102,0.572205,20.336826,23.223033,26.929023,25.970281,30.547422,35.147114,7.990216,74.967673
2200000,48.395429,97.494764,49.448098,0.262260,0.524521,20.593543,23.440537,26.921114,25.195148,30.331313,35.131869,7.793120,79.898125
3100000,43.530445,78.633798,55.258390,0.369549,0.739098,22.043019,25.579263,30.002749,41.378680,42.109287,55.100937,7.111784,70.487091
6000000,43.778107,82.288507,55.797478,0.357628,0.715256,22.038883,25.498757,29.727140,38.830837,41.391737,54.289252,6.256339,68.751417
10000000,45.028506,92.605013,53.969917,0.298023,0.596046,21.603854,24.574866,28.230043,29.203339,34.925244,42.005942,8.429843,74.581320
