element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,10.416667,23.854167,8.190119,0.500000,0.500000,2.089996,2.167818,2.158307,2.093724,2.164660,2.158969,1.858689,8.958333
110,7.333333,19.422727,14.254506,0.429688,0.859375,1.856337,2.084775,1.991069,2.108292,2.727859,2.437341,2.315757,17.121212
240,9.443750,19.478472,16.564645,0.468750,0.468750,2.186707,2.333452,2.289217,2.189262,2.329163,2.284490,2.041184,9.277778
500,7.629667,18.582667,18.031680,0.488281,0.488281,2.165412,2.406622,2.293562,2.160323,2.406495,2.289329,2.250927,8.066667
800,7.316250,21.528542,13.862975,0.390625,0.781250,2.088111,2.243145,2.171718,3.569602,3.754082,3.748149,2.983435,28.515833
1024,7.284831,17.899740,9.714501,0.500000,0.500000,2.178426,2.434713,2.351541,2.185578,2.439979,2.321492,2.567464,8.508464
1500,7.413000,26.066778,13.910603,0.366211,0.732422,2.209352,2.387220,2.265135,2.950228,3.560985,3.014134,3.027485,26.972222
2048,7.936686,22.359212,11.128508,0.500000,0.500000,2.418335,2.907199,2.665723,2.551646,3.002567,2.647807,2.660206,10.103841
3000,8.787444,33.239833,15.202785,0.366211,0.732422,2.853124,3.241511,3.150692,7.897363,8.170458,7.648623,4.056313,32.782111
6000,9.017417,32.568500,16.171733,0.366211,0.732422,3.052111,4.610656,4.943654,12.241104,12.435155,13.779106,7.305769,29.501056
8192,10.620117,27.635498,12.549346,0.500000,0.500000,5.389568,8.846735,11.274485,5.585542,8.741976,11.010158,6.019557,11.680420
12000,13.772111,38.062319,16.608077,0.366211,0.732422,8.053601,8.597627,12.744523,19.589675,19.188472,19.591246,7.125659,37.752750
16384,17.168742,34.530558,12.911470,0.500000,0.500000,12.739789,12.966749,16.394175,12.887704,12.961833,16.341360,5.387015,17.688944
25000,16.459180,40.506400,17.553862,0.381470,0.762939,11.169922,10.100225,15.032624,21.119434,20.798430,21.422339,6.452320,39.628893
32768,20.969513,39.074198,16.967631,0.500000,0.500000,15.692847,14.481224,19.462239,15.625676,15.016473,19.304220,4.956585,21.291016
45000,15.453674,54.956185,25.188421,0.343323,0.686646,7.273781,8.753273,13.312103,19.741487,18.880420,21.006622,7.957299,47.878489
60000,17.941794,48.624083,33.151493,0.457764,0.457764,11.150441,12.932795,16.891934,11.122617,12.879269,16.838913,6.501538,20.734050
100000,32.031263,63.047557,47.387882,0.381470,0.762939,15.326389,19.585733,22.932603,15.875146,17.102148,20.350413,10.919615,60.243393
150000,43.393587,88.331491,53.272496,0.286102,0.572205,19.663525,23.592287,26.586550,21.215799,25.176102,27.743062,14.958945,79.433649
200000,41.246512,75.389990,61.296342,0.381470,0.762939,21.406555,26.110134,29.205260,29.344044,31.210505,34.230803,12.487776,71.759475
300000,47.082236,97.634873,60.364690,0.286102,0.572205,22.304005,25.944018,28.563173,26.473807,31.265072,35.039909,14.623476,81.051442
400000,45.027193,83.281026,68.673537,0.381470,0.762939,23.524919,27.941499,31.072197,39.046888,40.659933,46.860851,12.076353,72.990839
600000,47.469972,103.171822,64.172663,0.286102,0.572205,22.845969,26.259306,29.086743,29.397437,34.392481,39.215432,13.480973,82.094372
800000,45.687344,87.341879,71.297863,0.381470,0.762939,24.371718,28.505617,32.204364,47.704509,46.554695,55.418679,11.721124,75.124722
1200000,48.062930,139.509950,67.411675,0.286102,0.572205,23.224515,26.590926,29.274586,30.892269,35.953457,41.312630,12.413268,128.554624
2200000,90.811745,174.240397,71.916149,0.262260,0.524521,23.561562,26.737492,29.282770,29.244633,34.530823,40.060285,12.514037,158.238220
3100000,77.812915,145.275293,83.681661,0.369549,0.739098,25.494378,29.374416,33.848590,50.462727,50.192150,65.129769,9.807072,129.723030
6000000,85.385012,154.470495,97.934022,0.357628,0.715256,28.816762,32.683817,38.293991,57.055105,56.010176,77.059707,8.784198,140.111570
10000000,98.804579,186.027388,107.182140,0.298023,0.596046,34.218031,37.181723,40.893234,42.562442,50.232715,60.170265,12.894913,155.744352
