element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,7.552083,19.270833,6.911286,0.500000,0.500000,1.966912,2.197112,2.122521,1.966768,2.197134,2.118373,1.843945,7.812500
110,6.515152,17.695455,12.477876,0.429688,0.859375,2.015532,2.125447,2.121302,4.529758,4.049979,3.873957,2.145804,21.909091
240,5.826389,16.249306,14.070459,0.468750,0.468750,2.080227,2.207591,2.139858,2.081518,2.205112,2.138258,2.197753,5.416667
500,5.676667,14.576000,15.109133,0.488281,0.488281,2.087395,2.227703,2.195675,2.087070,2.225681,2.185247,2.108947,5.746667
800,5.758125,18.974375,11.718325,0.390625,0.781250,2.052808,2.208257,2.137109,3.988316,3.655028,3.318567,2.505001,23.736250
1024,5.860840,16.815755,7.563617,0.500000,0.500000,2.187054,2.409537,2.369444,2.190051,2.415316,2.289142,2.437261,7.428385
1500,5.823111,21.803556,11.054444,0.366211,0.732422,2.066297,2.215030,2.239823,4.650462,4.261616,3.875948,3.098948,24.754444
2048,6.274170,20.393066,7.702887,0.500000,0.500000,2.273298,3.097534,2.605602,2.685168,2.981876,2.639100,2.637754,8.484212
3000,6.132000,26.186222,11.217322,0.366211,0.732422,2.104576,2.757944,2.718455,6.232856,6.277596,6.332963,4.314457,24.314667
6000,6.649194,29.353889,11.968921,0.366211,0.732422,2.760817,4.390005,6.133152,10.772484,11.333713,12.015358,6.691634,25.334000
8192,8.259583,23.192281,9.353878,0.500000,0.500000,5.263113,8.060796,10.712305,5.306531,8.109425,10.506926,5.805202,9.148804
12000,7.495125,27.318958,13.142456,0.366211,0.732422,4.132233,6.661226,10.370565,13.454956,13.562093,14.256495,7.778138,25.773472
16384,9.243622,23.046000,10.052025,0.500000,0.500000,7.134415,10.126611,12.703558,7.124043,10.108681,12.627798,6.415906,9.405375
25000,8.398813,26.728587,14.460839,0.381470,0.762939,5.606949,8.003059,11.365724,15.368747,15.148038,16.668671,7.884733,26.843107
32768,9.906545,24.335571,10.434291,0.500000,0.500000,8.087959,10.444543,13.501410,8.035499,10.439376,13.475588,6.467079,10.074097
45000,8.516974,29.177148,13.382809,0.343323,0.686646,5.370987,7.342036,11.030011,13.750699,13.996415,16.732622,7.894959,25.618356
60000,9.452058,24.935219,18.052112,0.457764,0.457764,7.137563,9.712148,12.956379,7.104522,9.715082,12.935499,7.045742,9.542522
100000,10.679093,32.860483,15.188286,0.381470,0.762939,5.982300,8.188515,11.792621,17.194300,16.311400,19.459420,7.881176,28.568317
150000,13.938558,45.442276,19.059648,0.286102,0.572205,6.862682,8.484677,12.555150,9.820882,11.731816,14.974357,8.074168,32.883080
200000,14.304042,35.520333,25.170057,0.381470,0.762939,8.830755,11.112315,14.854886,17.582797,16.665588,20.258104,7.842057,35.264508
300000,25.903371,51.923893,36.602557,0.286102,0.572205,16.367279,18.952314,22.666507,13.538052,15.911117,18.548855,8.569240,44.088827
400000,29.360727,46.001852,43.617745,0.381470,0.762939,17.939105,21.378518,25.227567,20.629797,20.031350,24.883014,8.233269,45.634434
600000,45.008079,73.517796,45.226009,0.286102,0.572205,19.729496,22.540757,26.314279,23.115336,26.857834,30.156766,8.462627,67.895661
800000,41.313435,63.062280,51.304743,0.381470,0.762939,20.923982,24.465362,28.767451,35.095843,34.736035,41.051694,8.299226,64.143794
1200000,46.592422,86.496557,48.393782,0.286102,0.572205,20.368706,23.250037,26.960254,26.281980,30.739021,35.478615,8.119649,74.999766
2200000,48.355530,98.310481,49.602875,0.262260,0.524521,20.619486,23.452993,26.946494,25.615465,30.579060,35.572963,7.807633,79.950713
3100000,43.557152,79.654269,55.387300,0.369549,0.739098,22.017784,25.565264,30.020244,44.731932,43.543231,60.092406,7.170116,70.660338
6000000,43.855377,83.721549,55.943204,0.357628,0.715256,22.056965,25.510272,29.773007,41.215921,42.410661,56.233942,6.265486,68.855137
10000000,45.060476,94.373784,54.234078,0.298023,0.596046,21.641429,24.615153,28.337776,29.795896,35.285649,42.574160,8.530371,75.088661
