element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,13.375000,42.250000,14.497559,0.507937,0.507937,4.468337,3.501885,4.380032,4.893955,3.643081,4.379619,8.929166,15.562500
110,13.330303,31.495455,16.376821,0.866142,0.866142,4.608243,4.014849,4.266054,4.582999,3.852951,4.265714,4.584073,11.503030
240,11.019444,34.415278,17.173974,0.469667,0.469667,4.832743,3.932175,4.128261,4.729943,3.763759,4.125047,8.183226,10.158333
500,10.621667,32.319333,17.827122,0.488759,0.488759,4.969934,4.202571,4.584575,4.971691,4.183900,4.560587,10.217878,9.185333
800,10.496458,24.712083,17.071850,0.782014,0.782014,5.090993,5.292641,4.954199,5.174864,4.860709,4.931629,5.400415,9.844583
1024,9.759115,29.067708,17.962889,0.500244,0.500244,4.924909,4.289276,4.670857,4.946826,4.462956,4.632381,10.218802,9.347331
1500,10.021222,23.937778,24.880397,0.732780,0.732780,5.174105,5.251317,4.986929,5.125011,5.229961,4.950804,6.274111,9.659333
2048,9.968831,30.856689,18.552071,0.500122,0.500122,5.058341,4.543219,5.279795,5.057286,4.548685,5.220340,9.701592,9.323405
3000,10.117000,23.199722,25.676383,0.732601,0.732601,5.150652,5.011361,6.034835,5.196482,5.010012,6.111749,6.717486,10.163444
6000,11.700861,30.919139,28.607580,0.732511,0.732511,5.577112,5.500977,8.521974,5.472073,5.683042,8.557272,8.852401,11.699278
8192,11.582133,37.701172,24.862241,0.500031,0.500031,7.324245,4.829778,9.596807,7.306509,4.839389,9.571860,19.107987,14.472616
12000,13.543278,30.917375,32.267587,0.732467,0.732467,8.729162,6.299640,11.395982,8.780030,6.702572,11.400937,10.299630,12.807000
16384,14.421468,42.914205,27.135996,0.500015,0.500015,8.887178,5.524761,11.532655,8.970402,5.593497,11.530776,19.548085,13.170492
25000,14.247673,32.252687,37.039092,0.762963,0.762963,9.271011,9.374401,14.499054,9.278005,9.250029,14.495544,10.072440,13.292360
32768,12.840520,44.583761,28.457597,0.500008,0.500008,9.165613,5.814419,12.601807,9.115789,5.943003,12.595265,20.750301,14.875488
45000,14.924111,33.696226,31.539355,0.686656,0.686656,9.282310,7.543856,13.542720,8.993833,7.440278,13.544920,13.709200,14.936867
60000,16.941444,50.452592,30.414303,0.457767,0.457767,9.180641,5.967598,12.841113,9.162855,5.735395,12.836951,22.169718,18.196622
100000,20.923497,44.234260,38.767110,0.762945,0.762945,9.569771,8.686061,14.332044,9.597491,8.492720,14.321282,11.697292,24.338727
150000,26.928744,74.052311,41.647396,0.572207,0.572207,14.235256,6.756136,14.191135,12.952038,6.804839,14.226887,19.083100,33.822827
200000,33.162678,65.303625,51.595579,0.762942,0.762942,17.762794,9.622269,15.622105,16.567450,9.613988,15.759879,11.350849,35.715723
300000,58.819577,110.450598,55.710958,0.572206,0.572206,26.059910,9.267656,20.806612,25.724223,9.954502,20.807550,19.845746,62.525108
400000,53.629832,93.830366,67.363405,0.762941,0.762941,29.550305,13.930219,26.246191,29.511992,14.209462,26.204854,11.581331,57.030024
600000,63.083412,115.934618,64.252447,0.572205,0.572205,32.407335,13.949744,27.584901,31.873248,13.266227,27.527898,19.727564,63.448559
800000,58.483017,99.295975,74.828209,0.762940,0.762940,33.140927,18.061302,30.837534,33.702897,18.455349,30.799247,11.824262,60.061165
1200000,67.236747,122.786000,67.825033,0.572205,0.572205,34.239812,16.033917,30.705061,34.596530,16.306262,30.685297,19.376495,66.788709
2200000,70.340122,132.691753,67.892264,0.524521,0.524521,35.718054,16.944216,31.805078,35.791668,16.998734,31.797220,23.503674,69.886061
3100000,63.570495,111.735821,76.100952,0.739098,0.739098,36.179045,20.359046,33.771969,36.274508,20.588014,33.797615,18.418837,63.023885
6000000,64.958825,116.156018,75.259921,0.715256,0.715256,36.901140,20.338073,33.892450,37.335431,20.400566,33.967175,10.022697,64.727967
10000000,73.421399,130.711328,76.707812,0.596047,0.596047,41.268820,23.493466,35.816962,40.930098,22.040236,36.011031,inf,72.573630
