element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,24.848958,102.005208,38.697188,0.507937,0.507937,12.885045,8.840877,10.456627,12.600195,8.655332,10.456358,2.061758,27.447917
110,28.842424,40.200000,40.909704,0.866142,0.866142,13.468201,9.614322,11.321799,13.345352,9.654720,11.311075,0.974852,25.851515
240,24.505556,45.584722,41.763739,0.469667,0.469667,12.882586,9.013763,11.647152,13.034322,8.727130,11.660419,2.487369,24.084722
500,26.612667,43.662333,42.819708,0.488759,0.488759,13.439934,9.228634,12.629966,13.466860,9.072085,12.600060,2.403612,23.153333
800,24.697500,36.433125,42.249796,0.782014,0.782014,13.860231,9.954761,13.211930,13.953623,9.940107,13.230401,1.278264,25.629583
1024,24.588867,43.825358,43.042355,0.500244,0.500244,13.660229,9.427249,14.515664,13.692348,9.248105,14.552656,2.430064,24.150065
1500,24.549556,37.747889,51.779551,0.732780,0.732780,14.168140,10.306063,15.304402,14.051686,10.326991,15.308637,1.483245,24.903778
2048,24.435140,44.993245,43.580895,0.500122,0.500122,13.849918,9.315128,16.212217,13.793655,9.317958,16.117225,2.541353,24.465658
3000,24.479778,37.987889,52.542785,0.732601,0.732601,14.157957,10.794049,17.487637,14.228525,10.607922,17.503070,1.717072,25.012333
6000,27.258833,40.346528,54.172237,0.732511,0.732511,15.156771,11.914051,19.102681,14.903205,11.497552,19.091902,2.246364,25.457556
8192,26.378418,49.263285,55.371124,0.500031,0.500031,16.069683,9.472419,19.062499,16.287955,9.384540,19.058679,4.661502,25.933350
12000,26.435500,40.713444,64.965769,0.732467,0.732467,18.328800,12.248333,21.725868,17.860043,12.308836,21.731164,2.706380,26.818306
16384,26.716085,51.134501,61.863930,0.500015,0.500015,22.317453,9.706650,22.518612,22.454746,9.662485,22.520455,5.078963,26.761495
25000,27.347780,41.041300,74.457532,0.762963,0.762963,23.472384,14.873449,25.350101,23.547592,14.704252,25.350944,2.715931,27.556413
32768,27.363922,51.995158,65.219176,0.500008,0.500008,24.915179,10.484834,23.852190,24.356118,10.395219,23.848206,5.316347,26.949178
45000,27.714019,43.066900,70.687915,0.686656,0.686656,24.239661,12.653729,25.192759,24.669867,12.715714,25.144893,3.603159,27.220889
60000,28.027925,56.964450,66.591750,0.457767,0.457767,25.635394,10.407278,24.448768,25.664398,10.338073,24.451998,5.696523,27.867778
100000,30.092413,45.130890,78.662184,0.762945,0.762945,25.099282,15.641055,26.859144,25.491852,15.626978,26.851857,2.922373,28.527380
150000,35.420453,62.883127,74.868329,0.572207,0.572207,28.475253,11.217145,25.382201,27.189630,11.226361,25.366332,4.773996,32.935244
200000,37.654078,56.493650,85.587223,0.762942,0.762942,28.363179,15.791082,27.607982,27.596844,15.573268,27.567612,2.896444,35.455158
300000,47.932620,74.792272,109.159221,0.572206,0.572206,37.214454,12.701852,31.924114,38.773919,12.582062,31.864702,4.712798,47.829003
400000,45.415394,68.651949,121.139967,0.762941,0.762941,40.140972,17.945564,36.743666,38.307603,17.566601,36.889863,2.893759,48.584162
600000,65.492466,90.788345,143.495678,0.572205,0.572205,60.140437,17.507518,46.128772,60.436260,17.568473,46.189652,4.670246,66.633901
800000,63.594831,84.015040,154.395567,0.762940,0.762940,66.404119,25.434246,49.799198,66.299530,25.312438,49.884650,2.909048,64.158673
1200000,73.787215,100.523867,161.409030,0.572205,0.572205,75.131074,22.385290,55.492659,75.081667,22.346910,55.268228,4.510051,72.825507
2200000,77.586758,109.216671,166.466016,0.524521,0.524521,80.479438,23.643579,60.250229,80.596008,23.692780,60.203053,4.693475,77.137045
3100000,74.047068,94.234079,177.939952,0.739098,0.739098,81.471425,29.267361,63.457767,81.455232,29.320586,63.524379,2.723359,73.021531
6000000,76.724978,98.789807,181.033377,0.715256,0.715256,84.353570,29.085724,65.739424,84.456514,28.951155,65.046476,2.564610,75.054673
10000000,86.019969,109.813656,187.327674,0.596047,0.596047,99.460044,28.911309,73.949187,93.760189,27.665810,69.845904,4.606370,85.009212
