element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,11.171875,35.046875,13.637460,0.507937,0.507937,4.597825,3.776006,4.172962,4.630726,3.650932,4.172738,7.374718,14.281250
110,10.539394,21.634848,15.301377,0.866142,0.866142,4.726050,4.218741,4.894274,4.680120,4.844822,4.894675,4.538834,10.554545
240,9.557639,29.131944,15.731687,0.469667,0.469667,4.732977,4.129705,4.351972,4.704532,4.156294,4.352146,9.647935,9.287500
500,9.771000,24.793000,15.957771,0.488759,0.488759,4.742452,4.284075,4.390805,4.730571,4.228867,4.388322,9.673797,9.008667
800,9.184375,19.376042,15.465859,0.782014,0.782014,4.794734,5.017291,5.018326,4.858524,5.018622,4.928814,5.734153,9.818750
1024,8.688965,23.911621,16.241878,0.500244,0.500244,4.752847,4.278486,4.377978,4.734389,4.234523,4.371442,9.840644,8.919271
1500,8.770778,18.841889,22.897412,0.732780,0.732780,4.876059,4.577129,4.695588,4.856779,4.476283,4.655351,6.274110,9.019111
2048,8.541260,24.288411,16.885335,0.500122,0.500122,4.752720,4.248639,4.817962,4.778372,4.364866,4.809865,10.493666,8.597819
3000,10.129722,20.086778,23.027699,0.732601,0.732601,4.955790,5.324788,7.337510,4.946875,4.985447,7.327538,6.760509,9.240444
6000,10.348500,26.519778,23.216580,0.732511,0.732511,4.998212,5.195840,9.140937,4.966605,5.171246,9.149629,8.719424,8.953722
8192,12.367391,38.891683,17.461265,0.500031,0.500031,5.108591,4.525238,9.089578,5.111559,4.539736,9.104874,19.297140,9.070841
12000,10.708139,31.794264,24.284364,0.732467,0.732467,5.349013,6.969632,10.967541,5.318817,6.949478,10.994579,9.954415,9.751306
16384,13.523417,46.666199,19.064399,0.500015,0.500015,5.792498,4.897588,10.376111,5.567879,4.853432,10.371621,20.593826,9.732096
25000,11.793060,34.409493,29.464730,0.762963,0.762963,6.075532,8.158259,12.580837,6.070114,8.063045,12.573808,10.541912,10.070813
32768,15.035634,51.602509,22.125961,0.500008,0.500008,7.426732,5.193091,11.656947,7.531515,5.199422,11.589870,21.641021,10.236552
45000,12.305978,40.605163,26.499623,0.686656,0.686656,7.687408,6.706934,12.598119,7.677532,6.721978,12.601394,14.353384,10.369044
60000,14.994583,44.638275,23.721326,0.457767,0.457767,8.395928,5.534996,12.338850,8.395086,5.510962,12.387906,22.894662,10.645150
100000,29.721337,52.589553,33.561214,0.762945,0.762945,39.748529,19.823534,34.448707,39.830659,19.844606,34.458105,5.432785,28.889820
150000,25.185482,58.962820,25.641491,0.572207,0.572207,25.099256,7.056339,22.578975,24.969623,6.988728,22.580959,11.130241,20.104771
200000,25.780703,40.918748,33.853844,0.762942,0.762942,29.731901,15.380325,27.955104,28.547442,15.327728,27.951779,6.505343,22.017097
300000,27.180732,54.900703,28.488692,0.572206,0.572206,25.803529,7.147875,23.263273,25.984482,7.008802,23.262419,11.385464,22.381251
400000,27.170015,43.416022,36.438726,0.762941,0.762941,31.602298,16.513280,30.587164,31.738794,16.605559,30.589194,6.757995,26.483712
600000,30.393451,54.368281,37.663147,0.572205,0.572205,28.023504,8.698365,24.764850,27.357177,8.149525,24.696834,11.481630,27.034237
800000,30.956975,50.777790,49.053755,0.762940,0.762940,32.570775,16.818709,32.501265,33.655523,17.507057,32.496508,6.820656,31.333445
1200000,33.831945,60.158354,52.847987,0.572205,0.572205,26.852146,10.095077,25.115461,26.982479,10.084354,25.132682,15.687676,34.028649
2200000,38.964849,63.402211,58.541756,0.524521,0.524521,33.323828,11.549481,29.017339,33.216837,11.749726,29.003962,19.904787,39.058654
3100000,40.594811,57.217783,68.427159,0.739098,0.739098,38.101918,16.901598,34.783418,37.981106,16.763411,34.754062,14.205433,40.817290
6000000,33.658119,49.413959,68.099833,0.715256,0.715256,30.814342,15.774995,28.696958,30.834583,15.736369,28.705832,9.915602,33.393760
10000000,39.366806,56.766159,69.686466,0.596047,0.596047,38.306398,15.242671,30.875084,37.288980,15.776608,30.280477,inf,39.372833
