element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,52.276042,85.609375,84.476317,0.507937,0.507937,13.236948,8.395726,10.951144,13.407160,8.401475,10.951141,2.316438,51.406250
110,50.160606,77.025758,87.143149,0.866142,0.866142,13.648588,9.130191,11.245285,13.539397,8.974408,11.108713,1.222827,52.145455
240,50.811111,86.837500,88.408158,0.469667,0.469667,16.342287,8.422884,12.228880,16.157109,8.411370,12.260424,2.452839,50.506944
500,50.610333,84.339667,89.234776,0.488759,0.488759,18.618608,9.061813,13.487405,18.639670,9.062551,13.584273,2.450211,50.248000
800,53.258958,74.711875,89.068915,0.782014,0.782014,19.741308,10.273982,15.849976,20.123146,10.747345,15.446099,1.546603,52.842083
1024,47.678548,77.076823,90.396627,0.500244,0.500244,20.270000,9.708069,15.261053,20.326543,9.702524,15.606659,2.546323,50.568359
1500,49.815778,69.415889,102.965547,0.732780,0.732780,21.479791,11.955779,21.509230,21.443649,12.808965,21.422352,1.768748,50.955333
2048,50.011230,77.088460,92.546411,0.500122,0.500122,23.158019,11.575109,22.427704,23.146032,11.542940,22.363044,2.895701,52.280762
3000,50.360889,69.150111,107.181014,0.732601,0.732601,24.952783,14.586112,25.680414,24.923882,14.657835,25.687991,2.136068,51.857889
6000,55.307083,72.688861,126.327786,0.732511,0.732511,28.682002,16.755315,29.713901,28.656866,16.938505,29.720271,2.384278,54.779667
8192,54.101725,81.329447,118.706441,0.500031,0.500031,33.340864,14.984500,30.947110,33.370281,15.005339,30.945770,4.703481,54.761230
12000,55.200722,73.945944,134.752878,0.732467,0.732467,37.864936,18.925353,36.143362,37.782644,19.765554,36.147769,2.679969,55.730444
16384,55.018188,87.085459,126.427878,0.500015,0.500015,39.681509,17.881742,37.234009,39.749493,18.076546,37.223250,5.145459,55.516520
25000,55.845720,76.953960,148.155816,0.762963,0.762963,41.243789,24.192647,41.062983,41.315237,24.246614,41.062913,2.679358,56.441587
32768,56.390956,92.113134,129.030841,0.500008,0.500008,41.618991,20.239876,37.636919,40.508252,18.850830,37.641815,5.330000,57.164520
45000,57.930378,82.805170,139.141769,0.686656,0.686656,42.266577,22.776112,41.052478,41.826001,22.396250,41.052652,3.662994,58.771837
60000,62.292875,101.233869,138.738324,0.457767,0.457767,45.138369,20.952121,41.030686,44.216816,20.332454,41.015726,5.778257,70.119000
100000,72.105027,91.438140,172.648706,0.762945,0.762945,46.773581,26.169716,46.575384,48.688698,26.283872,46.549951,2.820101,78.807587
150000,90.946727,116.808276,200.530149,0.572207,0.572207,62.222461,22.677834,50.054901,63.495043,21.694798,50.129297,4.755245,104.623984
200000,100.045025,114.293133,240.666608,0.762942,0.762942,79.791396,28.335336,62.955448,80.513770,28.008661,63.439860,2.824790,105.582658
300000,120.385022,156.655884,246.700825,0.572206,0.572206,115.228054,28.653458,81.553187,114.453902,26.353828,81.933388,4.732876,120.279112
400000,123.036510,149.522478,293.977985,0.762941,0.762941,126.687590,37.061149,98.333876,127.636539,37.607259,98.583218,2.848057,143.063615
600000,180.086064,281.841216,275.676573,0.572205,0.572205,138.217564,42.182453,111.481361,138.362899,42.357369,110.784960,4.651076,138.380526
800000,185.151908,269.669081,331.222510,0.762940,0.762940,143.191823,53.343998,117.211555,143.298558,53.612943,117.166503,2.836187,135.481030
1200000,195.176505,359.061550,312.230187,0.572205,0.572205,147.180870,53.576581,119.198491,147.338366,53.562405,119.489497,4.543365,149.579221
2200000,214.765035,422.508113,319.021815,0.524521,0.524521,152.754554,57.534729,122.346749,153.040413,57.737431,122.607684,4.741226,164.873732
3100000,217.008584,397.044797,360.724395,0.739098,0.739098,156.299361,63.841907,126.922972,164.204087,65.413389,130.613849,2.656120,151.228603
6000000,234.124952,451.508470,366.344243,0.715256,0.715256,170.142752,66.205276,129.958737,161.286215,66.124641,131.823654,2.502998,155.847228
10000000,257.435902,507.578737,351.661200,0.596047,0.596047,175.588713,70.038173,142.486431,175.497378,71.067076,139.034642,4.600005,171.316098
