element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,35.484375,66.656250,45.680513,0.507937,0.507937,12.094738,8.348871,10.207991,12.107110,8.401345,10.206204,2.372880,43.302083
110,44.048485,63.119697,48.576578,0.866142,0.866142,13.157378,9.453392,10.881675,13.106778,9.510627,10.887699,0.990646,41.636364
240,41.594444,66.300694,48.963320,0.469667,0.469667,12.528027,8.924302,10.485257,12.674343,8.836880,10.470418,2.234191,37.495833
500,40.592667,61.260333,49.741335,0.488759,0.488759,13.330378,9.190442,11.460655,13.418207,9.032427,11.508141,2.472040,37.527333
800,41.489375,58.975625,49.584899,0.782014,0.782014,14.190367,10.247053,13.172162,14.243111,9.873013,13.367888,1.382279,38.396667
1024,41.319336,59.342448,50.602562,0.500244,0.500244,14.058626,9.369137,13.473469,14.103183,9.441814,13.509820,2.251863,36.475911
1500,41.894778,57.300222,60.279488,0.732780,0.732780,14.217140,9.931941,15.249105,14.233804,9.827829,15.273132,1.546623,37.060444
2048,42.679118,59.056803,51.126077,0.500122,0.500122,14.462563,9.436154,15.943306,14.418030,9.264513,15.966961,2.520248,36.107096
3000,43.246278,56.422778,61.123628,0.732601,0.732601,14.809742,10.847366,17.887059,14.722473,10.825669,17.885122,1.735004,37.365444
6000,36.340722,50.675056,63.059778,0.732511,0.732511,15.769108,11.892257,20.372626,15.831547,12.165017,20.396878,2.141187,37.232389
8192,36.975362,57.467957,57.632559,0.500031,0.500031,17.112480,9.616180,19.903563,17.695023,9.597343,19.899771,4.561528,37.032104
12000,36.999431,51.106250,72.358490,0.732467,0.732467,20.360924,12.764773,22.708137,20.622453,12.506101,22.741182,2.507089,41.101806
16384,37.274648,61.376678,67.858853,0.500015,0.500015,25.346418,10.152097,24.021486,25.207175,10.186412,24.011705,4.992697,37.875590
25000,38.252540,54.387340,90.227377,0.762963,0.762963,27.697585,16.038771,27.761571,27.609959,15.525207,27.747500,2.554499,39.143533
32768,38.305094,67.768621,76.401819,0.500008,0.500008,31.292633,11.681657,27.294096,31.109871,11.595035,27.297187,5.193952,39.535767
45000,39.124644,60.120396,84.897576,0.686656,0.686656,31.894009,14.203069,28.420960,30.840012,14.192429,28.436190,3.431889,40.207044
60000,40.880094,75.073564,78.537561,0.457767,0.457767,33.096051,11.596629,28.307366,33.622053,11.674348,28.294196,5.622268,40.044106
100000,41.795070,61.632897,99.371550,0.762945,0.762945,33.350735,17.039381,31.130814,33.628414,17.206712,31.093302,2.753670,40.961490
150000,46.847653,70.709331,83.468751,0.572207,0.572207,35.759461,12.682729,29.930252,35.911830,12.721654,29.823055,4.612051,44.705571
200000,48.644008,64.969658,107.941528,0.762942,0.762942,37.462306,17.340990,32.803345,37.279250,17.160646,32.632201,2.743697,46.964873
300000,65.498563,88.467604,129.149624,0.572206,0.572206,50.995352,15.148277,37.319256,46.277259,13.947012,37.054564,4.666793,63.474851
400000,66.390767,81.569544,176.313814,0.762941,0.762941,58.850384,20.669329,49.572820,63.625968,22.795091,49.424847,2.742337,68.584270
600000,81.761292,133.101082,176.186077,0.572205,0.572205,85.839079,21.971066,57.010939,86.644593,21.841000,57.012588,4.535884,79.542044
800000,80.885841,122.197084,232.811968,0.762940,0.762940,95.521747,32.436264,66.643006,94.279271,33.169626,66.950933,2.745761,96.396500
1200000,103.722441,216.108923,199.901000,0.572205,0.572205,111.402827,28.429740,75.901389,112.705634,28.793553,76.566921,4.425886,113.535105
2200000,186.603405,330.583499,209.225059,0.524521,0.524521,125.383527,31.158607,85.123914,125.447381,31.198109,85.184807,4.708970,125.387996
3100000,197.012252,301.192339,270.014528,0.739098,0.739098,128.899224,38.742987,91.471636,137.213277,38.767137,91.479784,2.666699,125.446101
6000000,223.943443,354.227031,276.731811,0.715256,0.715256,139.487695,38.582382,97.496247,151.334835,38.512557,96.538203,2.548042,140.963729
10000000,250.410054,426.626196,274.272156,0.596047,0.596047,154.255872,36.801084,102.680206,178.285354,39.181277,103.704539,4.603160,153.318554
