element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,22.171875,48.312500,20.888390,0.507937,0.507937,4.467907,3.815124,4.321125,4.552340,3.892407,4.285399,9.704230,29.447917
110,30.921212,41.168182,22.708632,0.866142,0.866142,4.691706,4.232790,4.652308,4.690549,4.449215,4.652590,4.064524,25.715152
240,28.889583,47.133333,23.417098,0.469667,0.469667,4.687072,4.172015,4.343912,4.668797,4.321452,4.345469,10.001781,23.813889
500,28.151333,41.511667,24.099637,0.488759,0.488759,4.617713,4.296026,4.377488,4.656637,4.471846,4.367133,9.773821,23.112000
800,28.483125,40.434375,24.385399,0.782014,0.782014,4.827151,4.585842,4.892262,4.934123,4.690872,4.811910,5.462723,23.462917
1024,28.381185,39.923340,24.895527,0.500244,0.500244,4.968418,4.354743,4.687836,4.956864,4.430166,4.675704,8.912438,22.850911
1500,28.924667,39.164333,31.390986,0.732780,0.732780,5.126792,4.456958,4.983499,5.155243,4.430200,4.976453,6.457323,23.156889
2048,29.945801,39.723714,25.420062,0.500122,0.500122,5.120007,4.439400,5.096281,5.115445,4.517561,5.170263,9.740800,22.766602
3000,30.235611,38.628389,31.862833,0.732601,0.732601,5.271768,5.091064,6.218646,5.255367,4.853251,6.265028,7.146425,23.085222
6000,23.144500,33.685667,33.265051,0.732511,0.732511,5.665943,5.384701,8.938047,5.661643,5.612411,8.928790,8.607064,23.126278
8192,22.941854,39.089640,28.326887,0.500031,0.500031,6.018491,4.571918,9.488594,6.036676,4.604443,9.479709,18.454871,22.819092
12000,23.455417,34.158500,35.554029,0.732467,0.732467,6.364490,6.376219,11.329560,6.343089,6.599805,11.333838,10.125058,23.384028
16384,23.562134,39.404938,38.775824,0.500015,0.500015,7.614133,4.956600,11.070142,7.994538,4.949851,11.058727,19.679769,23.637675
25000,24.047393,34.561647,53.752946,0.762963,0.762963,9.461916,8.982931,14.662148,9.458633,9.064899,14.666856,10.070317,24.186173
32768,24.446426,41.952713,48.954359,0.500008,0.500008,11.339737,5.426429,13.400907,11.330346,5.445307,13.384902,20.896641,24.423676
45000,24.932630,37.776948,52.776909,0.686656,0.686656,11.675758,7.425874,14.829687,11.676429,7.619889,14.830615,13.617655,24.897156
60000,25.802892,46.311317,52.000722,0.457767,0.457767,12.929436,6.464018,14.766306,12.945900,6.493347,14.765308,22.444524,25.813667
100000,27.028007,39.178960,65.506321,0.762945,0.762945,13.471004,10.529949,17.138689,13.265274,10.312497,17.133580,10.932648,26.802407
150000,28.703187,45.155576,59.847625,0.572207,0.572207,14.185097,7.459062,15.797639,14.138542,7.379643,15.780446,18.689242,28.212589
200000,30.980985,41.114670,66.518847,0.762942,0.762942,14.551971,10.792681,17.000481,13.564679,10.317348,16.966940,10.931563,27.813342
300000,37.135666,47.510812,67.512209,0.572206,0.572206,16.715370,8.117908,18.993497,19.275301,7.973738,18.870314,19.207604,38.743950
400000,37.668385,45.650332,99.986937,0.762941,0.762941,23.846655,11.595888,21.225673,19.384151,10.807058,21.028254,11.403940,39.035206
600000,56.066910,74.473042,111.653051,0.572205,0.572205,31.028507,9.808853,27.006516,32.344671,10.340778,26.911333,19.253678,51.731509
800000,55.472445,69.123990,144.279790,0.762940,0.762940,34.476044,14.745714,31.231159,35.657763,15.955489,31.178420,11.468784,52.149817
1200000,73.940100,143.379323,140.750255,0.572205,0.572205,42.430908,14.519345,35.814028,42.347240,14.548259,35.265803,18.611240,73.766469
2200000,145.524841,234.892179,173.353492,0.524521,0.524521,49.060692,18.723551,41.870176,48.935406,18.685361,41.885926,23.505868,79.687661
3100000,154.607560,208.876794,200.836820,0.739098,0.739098,54.778806,23.441377,45.392198,55.727822,23.286770,48.961074,18.386636,86.678035
6000000,181.693913,257.858305,210.253334,0.715256,0.715256,60.176309,23.772083,48.464888,60.076087,23.756765,52.658618,9.949020,96.161117
10000000,205.378766,319.659573,210.209597,0.596047,0.596047,68.543350,22.980713,52.304985,68.473670,23.023361,57.487390,inf,112.613594
