element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,47.666667,81.276042,20.232674,0.507937,0.507937,23.174539,3.137719,13.951348,22.798214,3.296659,13.508934,3.460104,55.343750
110,109.371212,123.683333,21.939520,0.866142,0.866142,79.803412,4.747810,44.443342,79.859982,4.805727,44.388733,3.122272,107.393939
240,178.785417,206.516667,23.075054,0.469667,0.469667,155.749266,4.314705,83.612577,156.127197,4.138680,83.600440,4.370051,184.179167
500,318.967333,346.099000,22.928272,0.488759,0.488759,296.534991,3.679950,153.282068,296.325919,3.779149,153.290390,5.123807,313.348000
800,474.125417,501.273958,23.038924,0.782014,0.782014,465.058177,9.509368,238.724189,464.368501,9.594856,238.768677,3.487434,472.708333
1024,613.105794,645.285645,23.794650,0.500244,0.500244,0.000000,4.688518,314.652074,0.000000,4.556658,314.785771,5.471650,407.793294
1500,896.988667,924.325111,30.018838,0.000000,0.000000,0.000000,10.052871,461.588133,0.000000,10.105118,461.553320,4.239329,598.779111
2048,1258.493245,1294.173340,24.345937,0.000000,0.000000,0.000000,5.458666,0.000000,0.000000,5.474943,0.000000,5.337386,408.743815
3000,1824.119111,1859.346333,30.575060,0.000000,0.000000,0.000000,14.068023,0.000000,0.000000,14.114164,0.000000,4.431297,611.605333
6000,3699.201722,3762.021639,32.537760,0.000000,0.000000,0.000000,15.198130,0.000000,0.000000,15.262094,0.000000,4.313085,1230.548444
8192,5154.571248,5314.660868,28.797324,0.000000,0.000000,0.000000,7.687353,0.000000,0.000000,7.935360,0.000000,5.978061,1703.478597
12000,7512.148722,7771.019667,37.878340,0.000000,0.000000,0.000000,16.254159,0.000000,0.000000,16.135061,0.000000,4.113971,2446.194139
16384,10725.114583,11276.033671,0.000000,0.000000,0.000000,0.000000,8.528086,0.000000,0.000000,8.557602,0.000000,5.945896,3544.587362
25000,17637.220773,19312.325840,0.000000,0.000000,0.000000,0.000000,17.647379,0.000000,0.000000,17.850106,0.000000,3.640961,5658.325947
32768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
