element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,59.343750,87.515625,68.845041,0.507937,0.507937,13.818885,10.354332,12.721249,14.040468,10.498051,12.722744,2.381393,71.427083
110,66.468182,85.231818,70.494484,0.866142,0.866142,14.980240,10.962078,13.219878,15.053467,10.983269,13.217584,1.191872,63.700000
240,63.744444,89.174306,75.892265,0.469667,0.469667,14.298647,10.185733,14.217550,14.362622,10.486400,14.247911,2.473329,64.043056
500,66.223333,87.683000,71.823273,0.488759,0.488759,15.326425,10.884173,16.206451,15.331448,11.350028,15.980851,2.812943,61.022667
800,67.436667,83.113542,71.399481,0.782014,0.782014,16.198141,12.696914,17.281495,16.136199,12.447307,17.349060,2.067436,64.345000
1024,65.307617,87.341960,72.275251,0.500244,0.500244,16.296053,10.670407,17.793305,16.340779,10.798046,17.876807,3.177453,62.798828
1500,69.596556,82.911778,82.359880,0.732780,0.732780,16.885535,13.138644,19.274227,16.756916,12.999685,19.370927,2.135611,60.017778
2048,67.908203,83.078776,72.514025,0.500122,0.500122,16.741184,10.556032,18.700174,16.728548,10.735404,18.683715,3.631497,64.177246
3000,65.920389,81.122444,82.921573,0.732601,0.732601,17.149669,12.839875,20.384387,17.087336,13.118059,20.344974,2.661206,62.372000
6000,59.006750,75.141250,88.842335,0.732511,0.732511,18.249056,13.376207,21.727035,18.562591,13.356540,21.722284,2.787785,59.462778
8192,60.942220,85.676066,81.653805,0.500031,0.500031,19.573793,11.234330,21.431029,19.455577,11.245447,21.423966,4.965527,61.591919
12000,57.992764,78.333306,99.087845,0.732467,0.732467,23.472634,14.005323,24.390679,23.243373,13.882078,24.412485,3.148564,61.948778
16384,62.088806,88.811920,88.860317,0.500015,0.500015,28.316221,11.834353,26.814349,28.361548,11.810831,26.812785,5.402357,63.544332
25000,62.589980,77.781973,112.266504,0.762963,0.762963,30.576891,17.219679,30.395598,30.476574,17.592077,30.375140,2.882318,61.155013
32768,62.671666,94.944016,95.447988,0.500008,0.500008,34.307583,13.528178,31.012418,34.239913,13.363558,30.999003,5.475493,63.436178
45000,62.855496,83.897789,104.502437,0.686656,0.686656,34.993801,16.012943,31.874121,34.173115,15.947002,31.849210,3.690209,60.924719
60000,59.629653,104.434408,101.289296,0.457767,0.457767,36.470361,13.428995,32.197878,36.617008,13.451504,32.214935,5.777684,61.891756
100000,61.929727,84.745773,120.761580,0.762945,0.762945,36.198123,18.991061,34.363304,36.264860,19.046115,34.332780,2.925031,64.471003
150000,68.021056,97.988369,106.227631,0.572207,0.572207,39.417393,14.425784,33.848657,38.842615,14.495193,33.746592,4.910933,65.492636
200000,70.490295,88.543012,133.820044,0.762942,0.762942,41.020544,19.463526,36.374574,40.459148,19.169520,36.362353,2.931913,67.095450
300000,81.366217,109.949700,147.857729,0.572206,0.572206,55.150963,17.791896,43.825291,55.271293,16.363937,43.611258,4.836484,73.788544
400000,84.172124,107.530798,195.387769,0.762941,0.762941,64.761410,25.064241,55.359385,67.204067,25.611554,55.236309,2.925530,77.467912
600000,90.679321,147.081841,191.526987,0.572205,0.572205,88.967856,25.013185,64.595692,90.021064,24.821099,64.560781,4.746577,78.756571
800000,89.918778,133.498289,250.597847,0.762940,0.762940,97.373423,36.925908,76.987360,96.587968,35.819995,73.067789,2.927805,105.606933
1200000,110.672939,230.425140,214.084381,0.572205,0.572205,114.955450,31.844380,86.862446,115.805143,32.005252,86.567779,4.626659,112.101703
2200000,186.048795,338.854035,223.044570,0.524521,0.524521,128.338175,34.998012,96.536076,128.218329,34.578638,96.795917,4.872285,109.493698
3100000,197.245276,309.678665,276.034087,0.739098,0.739098,131.960943,45.161841,103.170530,132.077017,45.204198,103.009749,2.833531,110.871561
6000000,221.467042,358.209180,289.459813,0.715256,0.715256,145.214421,42.646233,108.668428,155.029251,42.514839,108.744377,2.689853,120.042239
10000000,249.493304,431.444609,281.438867,0.596047,0.596047,157.651469,42.281067,120.175561,173.807165,42.088780,117.930534,4.805964,139.833711
