element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,19.854167,47.572917,20.183744,0.507937,0.507937,3.642271,2.992152,3.371100,3.631220,3.161382,3.427547,6.657259,27.229167
110,31.321212,42.160606,21.860607,0.866142,0.866142,3.677389,3.615315,3.742780,3.754414,3.626741,3.745101,4.812830,25.418182
240,28.568750,44.531250,23.106396,0.469667,0.469667,3.764356,3.414794,3.377554,3.701437,3.365994,3.376057,10.916276,23.111111
500,27.916000,45.148667,23.033057,0.488759,0.488759,3.800920,3.447798,3.518827,3.739778,3.383512,3.432822,11.682320,22.303333
800,28.176458,39.101458,23.162315,0.782014,0.782014,4.008614,3.594428,3.793000,3.951449,3.522464,3.744670,7.295885,23.142917
1024,27.873372,39.191732,23.948924,0.500244,0.500244,4.027968,3.472030,3.767846,4.026493,3.492250,3.757300,12.312346,22.124023
1500,28.240444,38.738667,30.095047,0.732780,0.732780,4.141486,3.531057,3.950859,4.049853,3.528305,3.912193,9.105836,22.493556
2048,29.002116,38.534912,24.673885,0.500122,0.500122,4.184098,3.588569,4.035401,4.183196,3.615864,4.072779,13.886157,22.236003
3000,30.087111,38.010056,30.573149,0.732601,0.732601,4.318796,3.967726,5.385476,4.333574,4.159759,5.393486,10.960816,22.597444
6000,22.613056,32.436167,31.825004,0.732511,0.732511,4.624279,4.743784,7.698742,4.605158,4.596581,7.645443,11.842992,22.544722
8192,22.418783,38.519714,27.285097,0.500031,0.500031,4.987816,3.738545,8.155213,4.995157,3.804158,8.158108,20.326773,22.140462
12000,22.762056,33.417361,34.809296,0.732467,0.732467,5.275149,5.490356,9.844594,5.227385,5.554190,9.847137,12.495743,22.826667
16384,22.802165,38.358164,37.738996,0.500015,0.500015,6.978002,4.073105,9.563869,7.053711,4.076286,9.560772,21.776981,22.915120
25000,23.377587,33.616440,51.548011,0.762963,0.762963,8.164546,7.643716,12.830299,8.098587,7.615716,12.818128,11.692306,23.624640
32768,28.067591,40.667145,47.785877,0.500008,0.500008,9.806355,4.500175,11.485603,9.740118,4.495221,11.488055,22.059823,24.219594
45000,28.089515,36.432504,51.441490,0.686656,0.686656,10.057493,6.422175,12.855981,10.055918,6.447334,12.851614,15.338551,24.541637
60000,29.120272,44.382789,51.260185,0.457767,0.457767,11.085071,5.474872,12.686054,11.084551,5.510113,12.685787,23.598549,52.222539
100000,47.069357,58.154690,63.639316,0.762945,0.762945,11.554819,9.130628,15.162822,11.620031,9.021390,15.183054,11.847906,26.592267
150000,44.712082,67.910756,60.894069,0.572207,0.572207,12.732285,6.593394,13.396972,11.926680,6.273946,13.420108,20.062557,44.934242
200000,36.408572,39.715372,69.586486,0.762942,0.762942,13.482825,9.704267,16.539660,13.491328,9.837816,16.507421,11.889512,29.534935
300000,56.294751,67.282690,72.850815,0.572206,0.572206,15.628992,7.202912,15.916374,15.623474,6.628353,15.862524,20.435847,46.674239
400000,43.358872,46.092405,93.516757,0.762941,0.762941,18.467894,10.318825,19.665470,18.544121,10.538286,19.529448,12.504122,42.094573
600000,64.131024,102.684692,111.167480,0.572205,0.572205,28.745582,8.835740,23.695471,29.407037,9.094867,23.630406,20.514089,59.915369
800000,56.158893,71.550752,146.350381,0.762940,0.762940,31.559592,14.654536,27.851050,32.538133,14.222496,27.832632,12.509058,62.744442
1200000,73.462317,142.589990,140.773360,0.572205,0.572205,39.639867,13.289294,31.563285,39.113109,13.197192,31.474869,19.933188,73.749500
2200000,145.095720,224.619625,172.174711,0.524521,0.524521,45.370676,17.369719,36.984226,45.549155,17.348478,37.034008,24.707713,82.096030
3100000,154.396326,204.895339,198.226534,0.739098,0.739098,49.930830,21.417805,40.219470,49.842031,21.424583,42.928526,19.886265,87.078449
6000000,177.991506,262.053000,205.604736,0.715256,0.715256,55.377406,21.959968,42.964168,55.275444,21.934950,46.910314,10.725145,96.542838
10000000,202.116121,318.677645,207.221851,0.596047,0.596047,62.570773,20.584049,45.784511,65.383663,21.217727,52.323927,inf,114.377337
