element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,48.885417,89.812500,84.022480,0.507937,0.507937,15.568830,10.502262,12.890767,15.564138,10.582962,12.890681,1.844323,60.177083
110,72.710606,86.468182,83.083615,0.866142,0.866142,16.919387,11.015013,14.237628,17.404390,11.102882,14.223954,1.224543,57.818182
240,62.365972,86.770833,84.961216,0.469667,0.469667,18.798481,10.408462,16.321381,19.229197,10.480112,16.318654,2.372514,55.377778
500,64.060667,101.990000,88.451703,0.488759,0.488759,20.222219,12.100195,17.637712,20.138780,12.452543,17.618432,2.293973,53.191333
800,63.914167,89.437083,85.597164,0.782014,0.782014,20.686086,13.504257,18.417342,20.683062,13.598825,18.452908,1.365641,55.867083
1024,62.122721,86.704264,92.206250,0.500244,0.500244,20.935485,12.128897,19.186619,20.814713,12.308144,19.189595,2.292560,54.764323
1500,64.167111,87.988333,100.995557,0.732780,0.732780,21.642928,14.343297,21.011248,21.991048,14.178489,20.934174,1.611642,55.732889
2048,64.960368,89.421956,93.442030,0.500122,0.500122,22.543322,12.664668,21.668612,22.571862,12.631115,21.709506,2.430495,55.400228
3000,66.416500,87.807333,115.679510,0.732601,0.732601,23.403673,14.891601,23.715086,23.055384,14.832370,23.664054,1.735863,54.838111
6000,58.932639,74.800167,141.985970,0.732511,0.732511,43.518541,17.093327,35.357146,43.409836,16.976026,35.353094,2.112533,56.463389
8192,55.459656,91.616170,140.838981,0.500031,0.500031,49.179564,17.258306,40.408945,49.412802,17.062046,40.360432,4.641304,56.017578
12000,57.262986,81.371292,165.456707,0.732467,0.732467,51.521740,24.590130,44.595196,51.112350,24.782896,44.571164,2.513809,57.695944
16384,59.457947,100.846629,154.676006,0.500015,0.500015,54.786903,22.537492,45.035883,54.425774,22.639114,44.974535,4.970873,60.040833
25000,61.537640,87.345253,190.724825,0.762963,0.762963,56.408548,28.715916,48.731039,55.807863,28.689778,48.729249,2.537147,62.029773
32768,61.946594,107.529694,167.194197,0.500008,0.500008,58.915757,23.622739,48.304702,59.771447,23.645905,48.347608,5.276938,64.442342
45000,65.919641,97.720385,187.297611,0.686656,0.686656,62.170349,27.012660,49.741727,60.730171,25.765442,49.761455,3.442747,70.227830
60000,73.236267,126.709494,182.544714,0.457767,0.457767,69.039343,24.661923,51.429003,67.426577,23.777025,51.377477,5.594794,102.878461
100000,87.929093,113.480570,253.805073,0.762945,0.762945,91.227900,31.260305,66.837010,94.164830,32.739181,66.635100,2.714562,93.824683
150000,122.185018,162.468384,271.920384,0.572207,0.572207,144.149469,32.397005,88.273371,140.157344,32.680437,88.161203,4.670649,114.904167
200000,125.953565,154.917333,365.483807,0.762942,0.762942,160.840106,43.929520,115.245097,164.195388,48.125890,114.825023,2.733097,118.493885
300000,140.893309,243.160728,333.125724,0.572206,0.572206,190.013804,57.273844,134.274084,185.668147,56.658546,134.644059,4.575659,167.375359
400000,141.410445,215.540223,438.350614,0.762941,0.762941,191.048405,70.514208,149.405212,191.026602,77.588784,148.530502,2.740723,172.707981
600000,182.223502,379.601994,373.304497,0.572205,0.572205,207.197734,75.244588,155.342337,206.695571,75.879618,155.426039,4.521692,183.365647
800000,180.625105,331.948903,467.904658,0.762940,0.762940,210.989011,87.752755,171.329809,227.332691,83.303305,170.146092,2.740826,177.623394
1200000,222.017801,437.080575,394.645462,0.572205,0.572205,237.367590,82.547135,165.849350,225.388239,76.347499,165.449254,4.414719,192.128573
2200000,363.002242,638.274211,406.935717,0.524521,0.524521,236.432011,84.898484,174.989850,247.816515,83.131802,179.538918,4.654093,193.823413
3100000,403.333041,568.960450,479.616537,0.739098,0.739098,235.461782,97.271601,185.937492,264.368426,95.312260,199.118064,2.630710,192.491022
6000000,423.564919,619.135394,475.948950,0.715256,0.715256,253.309732,101.894813,190.831935,266.497451,92.086739,199.551097,2.495597,225.377992
10000000,447.365731,714.743189,459.744307,0.596047,0.596047,277.958394,107.104586,196.488858,291.039239,96.005128,221.190618,4.517978,233.950911
