element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,193.015625,465.843750,82.823689,0.500000,0.500000,3.972371,3.720865,3.754747,3.973172,3.722103,3.754476,9.576968,197.166667
110,246.140909,471.134848,83.800609,0.429688,0.859375,3.968365,3.721957,3.785367,3.996573,3.746872,3.785853,11.340200,270.590909
240,145.458333,419.035417,93.950230,0.468750,0.468750,4.035338,3.768534,3.774585,3.978186,3.733251,3.773234,10.515219,95.208333
500,94.672667,383.401000,102.290935,0.488281,0.488281,3.983329,3.745811,3.902502,3.986645,3.744406,3.810929,10.730407,88.998000
800,101.463125,396.538750,73.756138,0.390625,0.781250,4.024159,3.793965,3.905254,3.984954,3.742284,3.934871,15.068971,221.903750
1024,92.359701,364.476888,106.827626,0.500000,0.500000,4.033399,3.813283,4.076368,4.040576,3.809705,4.045025,12.476963,86.205404
1500,101.243444,403.028111,70.568293,0.366211,0.732422,4.053159,3.861330,4.039384,4.033667,3.813304,4.062111,32.667467,224.586444
2048,90.195394,327.575684,109.181600,0.500000,0.500000,4.055907,3.859723,4.335227,4.050862,3.866011,4.230941,31.525231,85.281250
3000,104.876444,416.202278,72.166461,0.366211,0.732422,4.143486,3.955476,5.382559,4.064047,3.870659,5.323497,43.070854,227.534000
6000,111.687389,413.446556,80.814706,0.366211,0.732422,4.386043,4.213176,8.659836,4.133388,3.957381,8.298301,47.828669,234.795611
8192,96.631388,332.102865,124.501343,0.500000,0.500000,4.381119,4.200825,9.654522,4.375384,4.205244,9.644656,40.693750,92.826497
12000,117.570528,416.578958,122.698363,0.366211,0.732422,4.485709,4.335094,10.799598,4.369326,4.211763,10.340649,50.433064,251.066750
16384,104.638407,337.530019,371.812394,0.500000,0.500000,4.677066,4.552476,11.262026,4.727288,4.526637,11.273864,42.213042,95.837016
25000,131.124113,467.220993,148.355394,0.381470,0.762939,6.231323,5.975133,13.156260,4.729080,4.680194,11.781471,50.431427,287.240907
32768,118.138743,390.275497,406.174479,0.500000,0.500000,6.301769,6.085267,13.529701,6.316662,6.096186,13.517598,43.079193,108.109467
45000,147.324681,579.532048,147.779323,0.343323,0.686646,6.947100,6.889634,14.458611,6.363328,6.164533,13.655999,53.717452,303.482904
60000,130.138831,466.861989,279.810888,0.457764,0.457764,6.939544,6.890802,14.504520,6.955778,6.902415,14.497268,46.400281,120.548389
100000,190.203670,630.139517,221.541996,0.381470,0.762939,7.278620,7.278638,14.859085,6.949604,6.904807,14.532249,51.091928,377.486700
150000,191.272820,647.436938,3405.924425,0.572205,0.572205,7.302053,7.307430,14.859028,7.253260,7.248858,14.838504,37.757666,136.134153
200000,246.821128,761.359078,278.701047,0.381470,0.762939,7.975044,7.959685,15.140819,7.123778,7.134378,14.696332,50.877262,429.122000
300000,199.872136,765.357608,3384.343701,0.572205,0.572205,7.984092,7.972363,14.563464,7.302811,7.308913,14.568034,38.372279,157.867207
400000,284.700614,945.983476,345.858992,0.381470,0.762939,11.847052,9.824475,16.210103,7.331870,7.299324,14.506674,51.843423,537.687168
600000,286.811329,954.607708,3501.230681,0.572205,0.572205,11.186746,12.523547,17.213996,11.073281,10.850480,17.103992,38.247483,432.326400
800000,453.755131,1158.286002,398.546074,0.381470,0.762939,18.683532,17.819791,23.831969,12.445074,11.567020,17.935079,54.892818,759.341309
1200000,532.050980,1184.704858,3664.274289,0.572205,0.572205,20.550151,19.487507,24.967611,20.649260,19.107172,24.995057,37.871815,544.775569
2200000,593.938159,1630.831792,1375.424877,0.524521,0.524521,24.779138,23.957460,29.957971,24.832782,23.931507,29.908605,47.773341,586.652139
3100000,558.454064,1734.076905,480.709028,0.369549,0.739098,26.077514,25.842321,31.769018,24.825597,23.894729,29.891310,80.318956,1070.451523
6000000,457.232012,2047.136422,485.209840,0.357628,0.715256,27.082591,27.359603,32.921886,26.126679,25.761364,31.733455,36.067658,1017.642762
10000000,683.071071,1725.708754,7840.060237,0.596046,0.596046,27.148559,27.034270,33.191558,27.154308,27.065429,32.930767,inf,683.875521
