element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,167.744792,513.125000,82.447335,0.500000,0.500000,3.970808,3.721595,3.756133,3.971777,3.721886,3.753583,9.580089,152.520833
110,144.839394,444.045455,82.870939,0.429688,0.859375,3.967394,3.721680,3.789664,3.992767,3.745358,3.788495,11.557901,297.363636
240,95.987500,432.643056,93.340515,0.468750,0.468750,3.977131,3.732097,3.772504,3.976765,3.732664,3.773496,10.931265,90.318056
500,93.411667,357.022667,100.525962,0.488281,0.488281,3.989292,3.749478,3.885084,3.993805,3.743490,3.904244,11.205169,86.841333
800,100.358125,405.266250,73.623534,0.390625,0.781250,4.021227,3.790274,3.914226,3.983316,3.741415,3.917271,15.126202,220.447083
1024,91.099609,335.580404,106.103224,0.500000,0.500000,4.029385,3.797171,4.074999,4.035726,3.800752,4.074296,12.724515,85.401042
1500,102.424222,396.694333,70.298317,0.366211,0.732422,4.053187,3.850013,4.078609,4.029621,3.817703,4.082731,33.066213,224.799333
2048,90.781738,323.326090,108.126933,0.500000,0.500000,4.052796,3.877522,4.365778,4.061195,3.874153,4.329465,32.167409,84.370280
3000,105.143111,399.683167,72.145322,0.366211,0.732422,4.133058,3.960757,5.322105,4.062509,3.875498,5.152761,42.886562,229.317222
6000,109.804417,404.176528,79.167048,0.366211,0.732422,4.370386,4.198938,8.646829,4.146268,3.956609,8.328106,49.117638,233.218111
8192,95.790955,323.301046,122.481448,0.500000,0.500000,4.381665,4.190193,9.663644,4.375183,4.200909,9.660188,40.899557,91.959229
12000,115.645236,412.097736,121.704335,0.366211,0.732422,4.629766,4.483193,11.036759,4.375953,4.206921,10.330435,51.425699,250.494250
16384,105.373027,321.112834,372.216739,0.500000,0.500000,4.847900,4.691920,11.279436,4.659936,4.521909,11.261059,42.323720,99.154602
25000,131.340633,457.774980,147.608697,0.381470,0.762939,6.208451,5.951655,13.087157,4.568067,4.472038,11.654493,50.703578,288.144760
32768,117.009160,381.898911,396.311805,0.500000,0.500000,6.280132,6.065802,13.520037,6.316376,6.121476,13.511232,42.305312,108.137889
45000,147.418970,594.316607,146.862656,0.343323,0.686646,6.942486,6.883782,14.460559,6.356586,6.158829,13.665430,52.340929,303.581948
60000,131.176589,474.866903,280.539397,0.457764,0.457764,6.950710,6.895272,14.509641,6.952127,6.905465,14.507851,46.327866,120.783350
100000,189.150473,640.114927,200.819240,0.381470,0.762939,7.283410,7.279426,14.688783,6.957796,6.909404,14.517261,50.889712,357.451947
150000,189.945787,667.425891,3339.033720,0.572205,0.572205,6.993897,6.996858,14.893977,7.285393,7.293153,14.889389,37.162373,123.837018
200000,230.293478,784.257197,263.203162,0.381470,0.762939,7.840864,7.824154,14.992707,6.996340,7.007394,14.528696,50.851621,432.155183
300000,211.831367,763.599387,3294.360058,0.572205,0.572205,8.004395,7.976135,14.547840,7.288228,7.305191,14.552989,38.101331,152.148191
400000,297.485277,991.084290,345.792608,0.381470,0.762939,11.735641,9.936054,16.478166,7.338438,7.633982,14.502264,52.604291,580.934688
600000,278.775986,917.372112,3735.732960,0.572205,0.572205,11.343777,10.640024,18.294589,12.383881,10.562791,17.114545,38.383234,405.761343
800000,432.858796,1238.139553,400.979203,0.381470,0.762939,19.501692,18.156895,23.178047,12.673355,12.127274,17.389108,54.514398,752.746393
1200000,471.315170,1331.755767,3609.615588,0.572205,0.572205,20.301790,18.940984,24.353144,20.302863,18.321058,24.378595,37.717597,479.339826
2200000,512.445156,1465.624379,1375.145268,0.524521,0.524521,24.773843,23.979744,29.926216,24.788956,23.938106,29.913610,47.700876,506.412907
3100000,431.900616,1768.347556,464.108502,0.369549,0.739098,26.266391,25.828790,30.611566,24.819556,23.958959,29.871707,72.031674,972.592109
6000000,460.942782,2057.112174,470.037943,0.357628,0.715256,27.299212,27.092047,33.222875,26.149246,25.766047,31.730703,34.486193,1048.438050
10000000,631.950009,1688.088885,7848.397882,0.596046,0.596046,27.153962,27.028797,33.011610,27.480338,27.065868,33.157719,inf,635.827465
