element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,434.458333,1107.161458,247.131824,0.500000,0.500000,13.160110,10.062419,11.739269,13.178095,10.173700,11.743140,4.869421,418.135417
110,340.590909,1122.472727,255.905961,0.429688,0.859375,13.462176,9.672434,11.459520,13.211588,9.675422,11.606389,5.837520,732.457576
240,322.835417,1182.814583,275.159034,0.468750,0.468750,16.243814,10.077978,12.910191,16.096866,10.021449,13.015332,5.494073,333.209722
500,319.023667,944.881333,283.862753,0.488281,0.488281,19.765808,11.674805,14.572663,19.629250,11.593177,14.654519,5.895629,315.343333
800,231.044583,1174.830000,233.216097,0.390625,0.781250,21.650071,12.465952,17.157718,21.628513,12.340698,17.032524,10.447251,660.138750
1024,229.382650,893.311686,291.736849,0.500000,0.500000,22.995290,12.909471,17.791023,22.981002,12.887544,17.817109,7.765613,304.132812
1500,225.937778,1071.800111,227.608582,0.366211,0.732422,24.702813,14.126039,19.560648,24.462390,13.995598,19.466976,13.901503,641.550667
2048,229.277100,925.846598,299.374372,0.500000,0.500000,25.774560,15.568493,20.865670,25.850178,15.528629,20.844497,10.737959,301.274251
3000,292.167222,1162.964722,254.987647,0.366211,0.732422,27.653228,17.560063,23.135110,27.081950,17.490971,22.979823,15.885640,709.847222
6000,305.981389,1173.761333,284.821662,0.366211,0.732422,32.718181,19.904369,31.008827,30.232323,19.627613,30.123521,17.023626,738.696444
8192,293.591899,951.799886,351.114388,0.500000,0.500000,35.337569,21.027404,37.102789,35.371973,20.775294,37.171247,13.779177,525.028849
12000,320.355014,1219.612431,361.018442,0.366211,0.732422,38.486545,23.273453,41.959738,37.939263,22.858053,40.698647,17.835156,824.631556
16384,326.979329,1083.914317,656.115473,0.500000,0.500000,39.516645,24.392002,43.448471,39.530594,24.432150,43.528657,14.547881,456.991048
25000,332.039380,2395.635400,398.627353,0.381470,0.762939,40.771570,25.628473,45.422012,40.108913,25.574323,44.494969,17.640571,868.586520
32768,322.567190,1818.433685,698.150686,0.500000,0.500000,41.465706,26.140365,44.653090,40.294547,25.622780,44.650627,14.650028,465.885986
45000,339.042930,2881.474570,388.282926,0.343323,0.686646,42.607168,26.364318,45.687845,40.417865,25.900569,46.158421,18.469166,942.656630
60000,360.118197,2491.005217,574.660105,0.457764,0.457764,42.041562,26.341851,47.495031,43.646897,26.837855,47.440758,15.704736,514.802150
100000,495.649037,3328.646297,541.833181,0.381470,0.762939,47.375884,27.762581,49.783472,44.005582,26.831339,47.569719,17.564926,1117.935243
150000,706.053827,2266.963947,7076.501059,0.572205,0.572205,63.010635,31.013565,55.430975,60.991372,29.384618,55.537337,12.215022,881.978442
200000,669.215468,3457.268423,708.269973,0.381470,0.762939,85.784378,39.436151,71.933995,78.075303,35.204765,64.928303,18.115824,1481.457442
300000,835.191328,3347.485274,7339.780554,0.572205,0.572205,108.725089,48.018984,88.069741,108.954108,48.160533,87.692466,12.266035,1029.921623
400000,671.821395,4234.914470,820.792643,0.381470,0.762939,121.979101,62.174813,104.067957,120.332973,57.579326,99.403270,19.947821,1749.445057
600000,961.288994,5037.713391,6555.273153,0.572205,0.572205,132.520049,73.353031,114.085229,132.509190,73.401696,114.054891,13.097041,1194.147479
800000,757.947453,4952.449358,889.076337,0.381470,0.762939,138.413965,79.712341,120.888655,136.359431,77.486111,118.091824,20.264213,1999.130954
1200000,1335.094068,4557.687471,5881.770765,0.572205,0.572205,141.873242,82.989116,125.127944,142.093068,83.228706,124.456207,12.824988,1296.901877
2200000,1179.159083,3707.764262,2085.909109,0.524521,0.524521,148.308147,87.373806,131.340961,149.885110,88.317016,131.446557,13.889226,1168.339342
3100000,939.698477,5765.807930,985.980381,0.369549,0.739098,152.924353,92.586881,133.981208,153.067417,89.240418,131.763060,17.199514,2422.276472
6000000,979.626922,6264.834525,1007.273591,0.357628,0.715256,161.181708,97.137229,144.202071,154.757427,93.410908,136.843084,15.236918,2984.715274
10000000,2634.383136,6047.232843,0.000000,0.596046,0.596046,163.512451,99.559037,141.136121,163.205483,98.654384,148.789311,12.821446,2627.023194
