element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,201.343750,512.213542,82.395659,0.500000,0.500000,4.303207,3.771841,4.062807,4.302471,3.770008,4.061971,9.094902,171.072917
110,161.968182,489.315152,85.209618,0.429688,0.859375,4.328494,3.800009,4.073385,4.302872,3.771763,4.073258,11.312721,289.309091
240,104.554167,467.613194,97.589408,0.468750,0.468750,4.315440,3.784998,4.083264,4.313453,3.785253,4.083266,11.318951,94.484722
500,99.150667,386.452667,102.903040,0.488281,0.488281,4.345874,3.820843,4.132850,4.348757,3.823376,4.111329,10.442910,90.749333
800,104.702292,453.798542,75.480612,0.390625,0.781250,4.337740,3.825277,4.153998,4.340101,3.813030,4.123270,14.424164,236.820417
1024,97.018392,379.707520,108.850693,0.500000,0.500000,4.341550,3.822001,4.148380,4.340752,3.825795,4.162668,13.721383,88.155924
1500,107.740889,453.152778,71.877759,0.366211,0.732422,4.372969,3.891591,4.191076,4.343622,3.828457,4.175802,32.051734,235.178667
2048,95.735026,360.555745,111.308534,0.500000,0.500000,4.373226,3.889577,4.262440,4.381840,3.892892,4.264367,29.956361,87.894531
3000,132.916944,432.037833,74.309933,0.366211,0.732422,4.458609,3.970099,5.289955,4.380569,3.879090,5.194675,42.521761,246.003667
6000,112.264333,463.459083,84.151519,0.366211,0.732422,4.691071,4.235710,9.110508,4.458446,3.978993,8.816767,46.882577,259.575500
8192,99.579061,374.816305,126.674065,0.500000,0.500000,4.695597,4.240981,9.982662,4.693028,4.245643,9.917116,39.906165,93.360962
12000,147.944292,458.567292,125.231520,0.366211,0.732422,4.763362,4.396049,11.193431,4.693917,4.241897,10.748753,49.104369,267.957222
16384,147.938975,421.310903,374.963889,0.500000,0.500000,4.924412,4.546446,11.579750,4.819330,4.447948,11.605912,41.205918,133.305257
25000,132.711360,1085.282473,151.325948,0.381470,0.762939,6.458808,6.089102,13.732711,5.008768,4.648899,12.189063,49.335123,335.351680
32768,127.186676,754.687571,403.767353,0.500000,0.500000,6.627845,6.294886,14.099737,6.594388,6.256094,14.101224,41.849427,106.784922
45000,146.563333,1650.568863,151.241118,0.343323,0.686646,7.257038,7.087983,15.119302,6.651867,6.348021,14.285913,50.526396,320.751193
60000,135.222333,1268.935306,282.767418,0.457764,0.457764,7.258920,7.090659,15.125233,7.263016,7.102953,15.126543,45.176484,119.992150
100000,193.917393,1844.173357,215.687573,0.381470,0.762939,7.524253,7.412938,15.088532,7.070791,6.905409,14.780265,49.266126,414.623873
150000,643.689853,1589.359282,0.000000,0.572205,0.572205,7.440961,7.324311,15.527741,7.625615,7.513661,15.512203,36.285317,734.831504
200000,231.602858,1610.346190,0.000000,0.381470,0.762939,8.142278,7.993792,15.631275,7.324833,7.213798,15.125955,49.187630,509.170215
300000,540.562008,1642.095016,0.000000,0.572205,0.572205,7.943817,7.826321,16.016102,8.374376,8.233240,16.019692,36.850223,157.322532
400000,308.764937,2005.017847,0.000000,0.381470,0.762939,10.561534,11.738089,17.938558,7.725445,7.462417,15.275919,51.058394,634.076529
600000,376.634616,1861.683296,0.000000,0.572205,0.572205,11.699911,10.943930,18.057778,13.834238,11.453485,18.686789,37.278388,696.480262
800000,460.122579,2374.816698,0.000000,0.381470,0.762939,19.232219,17.810141,24.971893,13.935078,11.475536,17.914142,53.207705,798.029493
1200000,838.646196,2263.779804,0.000000,0.572205,0.572205,21.006883,19.127358,25.322621,21.016609,19.073973,25.419830,37.164222,824.627046
2200000,715.882594,2263.816909,0.000000,0.524521,0.524521,25.445100,24.598755,30.868291,25.449258,24.573177,30.917213,47.425573,711.560975
3100000,568.102766,3307.621327,0.000000,0.369549,0.739098,26.820451,26.446914,32.820788,25.581177,24.608486,30.908467,79.289867,1273.036135
6000000,603.034560,4168.009933,0.000000,0.357628,0.715256,27.801362,28.210497,34.121664,26.863940,26.430577,32.790927,40.202429,1480.455131
10000000,1269.827857,4181.839257,0.000000,0.596046,0.596046,27.824601,27.649208,34.168796,28.116406,27.632881,33.955066,inf,1816.146433
