element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,350.083333,961.937500,194.013262,0.500000,0.500000,13.781935,12.701212,12.871637,13.795942,12.540059,13.244724,4.543785,380.500000
110,277.389394,892.006061,199.213514,0.429688,0.859375,14.583740,12.004574,13.124105,14.498302,14.765233,15.409481,5.908490,560.221212
240,265.418750,811.076389,212.991638,0.468750,0.468750,17.469173,15.150711,16.007662,17.499784,15.106252,15.971302,5.522812,251.455556
500,259.968333,746.900000,222.446561,0.488281,0.488281,18.027356,17.377270,16.883409,17.902102,16.596684,17.297714,5.727226,248.046667
800,185.443750,793.176458,181.509440,0.390625,0.781250,18.412460,16.641240,18.007265,18.181738,19.540581,21.034392,11.130857,503.224583
1024,178.514648,733.833496,229.671626,0.500000,0.500000,18.768830,19.551110,18.716326,18.719520,19.521418,18.782994,8.178299,167.302409
1500,189.102667,907.342667,184.219133,0.366211,0.732422,20.449328,19.191445,21.151938,19.748864,21.520084,23.847390,14.690607,525.475556
2048,187.309977,693.159505,240.375902,0.500000,0.500000,20.799973,22.317905,25.330517,24.366823,22.899014,25.376505,11.319734,165.556803
3000,265.616056,957.761111,230.218198,0.366211,0.732422,24.277028,21.422421,25.882368,22.804690,23.042256,27.339724,15.643606,645.809222
6000,315.764694,1077.614306,258.870625,0.366211,0.732422,41.417618,28.571530,41.137072,39.304639,31.934604,41.626262,16.695777,720.468278
8192,289.654460,837.528320,323.750234,0.500000,0.500000,44.380851,36.263368,46.772193,44.417625,36.158723,46.836280,13.608758,383.108683
12000,339.071153,1104.454833,329.763450,0.366211,0.732422,46.256048,35.192383,48.791293,45.672676,42.638258,51.213107,17.498254,807.245750
16384,324.028544,1016.864960,611.287416,0.500000,0.500000,46.746586,41.186678,51.319708,46.684805,41.097499,51.333918,14.396082,356.425395
25000,367.381087,2406.534567,372.148251,0.381470,0.762939,49.074194,38.540957,52.558853,47.133624,45.832884,54.066589,17.336589,999.039293
32768,371.861643,1775.392858,675.982705,0.500000,0.500000,47.323864,41.724399,52.321956,47.218910,41.837934,52.332036,14.606181,357.478444
45000,362.308581,2921.381933,385.652336,0.343323,0.686646,50.711055,37.208572,54.852504,50.302262,48.186869,56.838495,18.088293,961.820800
60000,350.886381,2184.332167,542.038546,0.457764,0.457764,56.469424,44.396194,56.439875,53.840391,44.168518,58.709699,15.885841,372.010217
100000,482.582347,3380.907973,581.208467,0.381470,0.762939,81.901927,46.238914,70.943268,71.203043,56.989355,71.416815,17.610071,1267.952833
150000,612.512987,3570.035724,6848.712595,0.572205,0.572205,111.282546,69.752532,99.363561,115.241623,70.708277,99.716274,11.963406,604.912751
200000,626.147882,3981.998520,749.112246,0.381470,0.762939,143.829567,80.997030,120.348660,140.138441,96.678479,124.061432,18.189960,1725.571435
300000,728.290892,4418.580472,7283.837523,0.572205,0.572205,163.471925,118.049722,152.134374,163.480715,117.113464,152.420058,12.550005,502.242409
400000,734.031361,4981.249588,853.151347,0.381470,0.762939,171.570358,112.808115,155.685189,169.428997,142.261256,164.045555,19.364295,2598.810138
600000,814.863064,4512.154164,6644.658203,0.572205,0.572205,177.521699,138.227071,170.553954,177.140896,138.367537,170.809045,13.065145,1268.411559
800000,781.731462,4658.957652,937.912616,0.381470,0.762939,183.146764,123.436681,168.055195,180.981966,159.566835,180.297183,19.887112,2771.143000
1200000,974.930099,4879.558481,7015.306886,0.572205,0.572205,186.721513,149.539060,182.821688,187.689964,151.106608,182.834635,12.777882,1345.623015
2200000,928.432542,5141.898834,2153.759331,0.524521,0.524521,195.157491,152.763687,188.634112,194.566990,150.741229,188.562585,13.814475,1199.898565
3100000,968.683666,7369.444684,1017.788818,0.369549,0.739098,198.265966,136.446562,182.433163,196.506559,177.817342,198.689978,17.419156,2845.601098
6000000,1009.643267,9378.847401,1039.279703,0.357628,0.715256,204.739985,136.610773,188.999589,203.157717,179.364924,201.788193,15.279575,3424.884696
10000000,3707.458829,6877.899902,0.000000,0.596046,0.596046,218.075768,174.742107,204.498863,209.322428,174.512074,210.970783,12.789487,2749.072301
