element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,377.708333,1186.619792,215.798573,0.500000,0.500000,12.129299,9.152942,10.574807,11.924569,9.119067,10.487987,4.585386,415.875000
110,295.907576,1050.910606,223.643244,0.429688,0.859375,12.152519,8.922522,10.404623,11.975070,8.841954,10.396314,5.860711,674.809091
240,296.155556,867.144444,237.953585,0.468750,0.468750,14.671029,9.360604,11.941707,14.695400,9.338707,11.852354,5.534397,50909.123611
500,286.566333,802.267667,244.610042,0.488281,0.488281,16.695684,10.230201,12.734394,16.626261,10.224095,12.750577,5.434533,291.913333
800,221.236875,905.182083,203.019131,0.390625,0.781250,17.998309,10.340611,13.532415,17.904669,10.312227,13.451178,10.829940,575.732917
1024,211.664714,761.273438,255.109962,0.500000,0.500000,18.440171,10.598179,14.072422,18.528460,10.643758,13.927344,7.341190,276.296224
1500,216.801444,983.512556,194.772998,0.366211,0.732422,19.521992,11.057243,17.442372,19.154617,11.021248,16.762785,14.231943,622.727778
2048,215.853760,797.180664,258.193399,0.500000,0.500000,20.435726,11.776894,21.356438,20.567075,11.847993,21.175850,10.628875,274.866374
3000,284.928278,1014.916333,224.605816,0.366211,0.732422,22.305535,13.118595,25.866715,22.383346,12.535088,24.563294,15.529246,675.358333
6000,304.345444,1096.596667,246.422382,0.366211,0.732422,29.219257,15.061090,31.377866,26.939799,14.942375,30.099543,16.365961,691.317056
8192,284.714701,910.761658,311.712730,0.500000,0.500000,33.251040,17.929826,36.054035,33.077426,17.912208,35.954514,13.900278,351.528320
12000,312.273278,1123.254028,317.562035,0.366211,0.732422,36.912458,21.018026,40.176502,36.270736,20.080109,38.707982,17.517196,750.207417
16384,317.405060,978.331126,605.199741,0.500000,0.500000,37.969951,22.600244,41.198931,37.928458,22.678587,41.243553,14.512653,574.184062
25000,323.416620,2382.108533,361.329153,0.381470,0.762939,39.440452,24.362102,42.886040,38.776336,23.755763,41.982981,17.407107,831.061960
32768,311.500483,1674.710429,650.062664,0.500000,0.500000,40.026280,24.634167,43.259240,40.078697,24.672561,43.200791,14.680084,457.032654
45000,339.026707,3086.665296,361.400639,0.343323,0.686646,42.658150,25.059727,42.965647,39.045589,24.092148,42.075396,18.181218,867.113852
60000,350.069408,2444.932828,529.762252,0.457764,0.457764,40.701963,24.650555,44.714441,42.210468,25.331499,44.741821,15.875973,474.812472
100000,483.021150,4116.798147,538.514419,0.381470,0.762939,47.621935,26.160496,47.633304,43.413197,25.131917,44.532378,17.530360,1093.821713
150000,944.290704,2469.390096,6787.811617,0.572205,0.572205,58.857661,28.527323,53.282912,61.584008,29.699493,55.491577,12.142150,1104.506000
200000,615.223018,4190.260135,671.909298,0.381470,0.762939,83.501208,37.645779,69.581773,73.824158,31.019486,61.197473,18.079010,1561.698543
300000,857.743712,3721.096304,6729.153087,0.572205,0.572205,105.520146,46.905938,85.634629,107.088145,46.750311,86.345165,12.537587,1024.522913
400000,662.422164,5116.897709,759.453965,0.381470,0.762939,119.905669,61.503631,102.174361,118.297152,55.289153,97.129222,19.232979,1851.591878
600000,902.624439,3364.631629,7299.698593,0.572205,0.572205,129.680621,71.862253,110.854296,129.701789,72.022346,110.806889,13.045017,1171.890634
800000,745.025709,4659.260312,844.667938,0.381470,0.762939,135.969252,78.316953,117.101171,133.119175,75.644761,114.296798,19.922091,2231.027268
1200000,1280.883856,3897.005212,6025.166985,0.572205,0.572205,144.603650,80.927750,124.268507,138.742936,81.633947,120.216045,12.931044,1280.037123
2200000,1140.744305,4154.674536,2013.740707,0.524521,0.524521,144.682985,86.174802,126.942694,146.304143,86.211789,126.976601,13.875775,1122.193294
3100000,929.781243,5563.726946,936.028489,0.369549,0.739098,149.448205,88.230003,129.370644,146.972640,86.851088,127.383565,17.068141,3028.257351
6000000,958.590037,6673.164448,957.320429,0.357628,0.715256,158.456669,93.564091,136.749113,154.126268,91.434378,134.134070,15.187882,2740.122743
10000000,2589.511802,5660.460989,0.000000,0.596046,0.596046,162.803189,95.607971,135.643403,157.424861,95.728616,141.179105,12.807608,2600.913446
