element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,282.015625,757.494792,135.449767,0.500000,0.500000,9.223018,8.929888,8.978095,9.227152,8.343614,8.870208,4.768134,265.354167
110,251.119697,771.219697,141.719413,0.429688,0.859375,9.396745,9.364188,8.650144,9.275812,11.232865,10.920175,5.870633,457.139394
240,201.511111,601.595139,156.998128,0.468750,0.468750,9.560694,11.826233,9.762943,9.548335,11.588469,10.165738,5.414757,207.076389
500,196.295000,719.668333,165.543809,0.488281,0.488281,10.311845,15.482055,11.443648,10.299968,15.589795,11.354982,5.495871,201.532000
800,146.724375,607.877292,130.663952,0.390625,0.781250,10.503830,14.239170,13.107205,10.354644,12.934451,14.749155,10.874826,344.364167
1024,136.439616,561.119303,168.276911,0.500000,0.500000,10.496153,15.979635,14.460700,10.465807,15.845319,14.433170,7.787731,128.809896
1500,148.608333,622.815222,125.499263,0.366211,0.732422,10.657113,14.495946,15.359504,10.487696,14.121923,15.975967,14.362714,358.539333
2048,133.905029,523.807536,170.855546,0.500000,0.500000,10.696409,16.731479,16.568410,10.697950,17.060968,16.550483,11.152312,124.424642
3000,324.136611,656.803333,129.799811,0.366211,0.732422,11.145465,15.400524,17.769387,10.717217,14.965993,17.952260,15.817827,341.945556
6000,163.015889,634.433306,157.129557,0.366211,0.732422,11.973200,16.486817,20.065338,11.538082,15.833792,20.260290,16.675399,358.149389
8192,148.856140,587.693644,209.292317,0.500000,0.500000,13.523777,19.561811,21.676323,13.619473,19.917564,21.670452,13.775174,136.131470
12000,172.652181,713.673528,216.410492,0.366211,0.732422,16.800733,18.919417,23.771170,14.203143,17.905151,22.838652,17.701774,397.716056
16384,161.879100,590.040914,471.283156,0.500000,0.500000,17.640189,22.712409,25.369891,17.665324,22.649723,25.377758,14.579564,141.875732
25000,181.875173,1281.707733,249.659453,0.381470,0.762939,19.277819,22.044325,26.734265,18.122158,20.863876,26.534276,17.645598,450.262787
32768,174.172379,1143.766922,510.104301,0.500000,0.500000,19.311483,24.637697,27.489306,19.313763,24.572000,27.501547,14.629024,199.744141
45000,199.043593,2003.866237,249.781548,0.343323,0.686646,19.933266,21.979571,26.989587,19.344776,23.963546,28.144820,18.519735,472.206081
60000,189.049461,1624.513942,397.971810,0.457764,0.457764,19.463679,24.352460,27.719496,19.599513,24.522232,27.730060,15.809771,166.348422
100000,256.829007,1967.008783,314.066607,0.381470,0.762939,20.262434,22.996885,26.962240,19.102150,22.879718,27.984654,17.799977,560.262533
150000,636.385167,1766.064747,0.000000,0.572205,0.572205,20.594252,25.725924,28.564944,20.647888,25.722103,28.557653,12.072158,203.402676
200000,325.390367,2671.587957,0.000000,0.381470,0.762939,29.876937,26.959145,35.487146,24.648969,25.925071,31.535197,18.500196,740.590232
300000,450.934960,2385.291650,0.000000,0.572205,0.572205,33.484608,33.513125,36.427403,32.574501,32.134883,36.411149,12.404294,250.495153
400000,432.957700,2846.495686,0.000000,0.381470,0.762939,44.696207,37.768029,47.210144,36.520601,33.508143,38.339859,19.168218,924.484721
600000,549.610477,2547.274596,0.000000,0.572205,0.572205,49.644155,44.632311,50.591116,48.920188,44.465537,50.680358,13.046803,544.772629
800000,493.740022,3280.492715,0.000000,0.381470,0.762939,57.336135,48.252647,58.709689,53.243342,47.587741,54.941761,19.873204,1157.782172
1200000,693.128394,2631.002813,0.000000,0.572205,0.572205,59.863298,55.810446,63.354333,59.795325,55.691697,63.477121,12.863201,1065.645343
2200000,663.599289,2814.477205,0.000000,0.524521,0.524521,63.975490,60.198333,67.941484,63.622681,59.404609,67.787987,13.970239,508.931141
3100000,683.253696,4083.991396,0.000000,0.369549,0.739098,66.079254,56.916147,68.856445,64.563520,64.044611,69.948661,17.334711,1638.686335
6000000,771.285777,4423.018885,0.000000,0.357628,0.715256,67.324774,58.411935,70.814324,66.146981,66.596745,72.263471,15.214752,1801.242334
10000000,2297.206093,4675.037257,0.000000,0.596046,0.596046,67.289999,66.264745,73.266321,67.340825,66.210954,72.974382,12.771902,1691.380697
