element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,31.098958,83.989583,38.371183,0.500000,0.500000,12.021839,8.709449,10.418905,12.068813,8.764242,10.416781,1.950923,31.812500
110,38.250000,72.400000,52.213597,0.859375,0.859375,12.845913,11.241042,11.985981,12.810819,11.172461,11.989953,1.486871,42.863636
240,39.778472,74.168750,36.807700,0.937500,0.937500,16.089318,12.143847,13.020174,16.108493,12.140542,13.059294,1.484118,47.251389
500,30.159667,100.954667,38.335522,0.488281,0.488281,15.364140,11.256573,12.016899,15.442000,11.296429,11.942330,2.142544,32.864000
800,36.182500,78.974792,50.960582,0.781250,0.781250,17.061069,16.127780,18.370985,17.106138,16.273694,18.364807,1.573733,38.736250
1024,30.613932,96.903158,39.548558,0.500000,0.500000,16.298188,12.876142,17.162775,16.298717,12.906593,17.290841,2.951223,32.996745
1500,36.829111,81.429778,49.645062,0.732422,0.732422,18.321184,18.582062,23.139625,18.284371,18.395503,23.063065,1.716461,38.413333
2048,32.319417,99.763590,40.352232,0.500000,0.500000,16.768418,15.742152,21.674525,16.740868,15.784498,21.786858,6.828844,33.182454
3000,37.975444,82.204500,51.052514,0.732422,0.732422,19.196135,19.758833,25.447659,19.176109,19.866252,25.395320,3.103982,38.804111
6000,41.269556,86.445722,53.533076,0.732422,0.732422,20.502896,21.651562,27.642219,20.527916,21.625723,27.629195,4.205565,40.035778
8192,35.354146,104.729207,47.216296,0.500000,0.500000,18.944025,18.723321,26.860337,19.450219,18.770259,26.865553,9.270420,36.401001
12000,41.030431,88.033569,61.076313,0.732422,0.732422,23.489595,23.195493,30.220668,23.290836,23.157013,30.178744,4.880600,42.029500
16384,36.106913,106.720795,54.940156,0.500000,0.500000,24.146366,20.744776,30.715557,24.142068,20.715172,30.472568,9.845087,37.573751
25000,43.087307,88.816667,71.765791,0.762939,0.762939,28.849545,25.773034,34.439863,28.908786,25.788647,34.421424,4.643117,44.337627
32768,38.937963,110.685374,60.804241,0.500000,0.500000,27.127161,23.200768,33.283075,27.144797,23.187765,33.277008,10.315657,40.077555
45000,44.162941,94.056063,72.522750,0.686646,0.686646,30.339754,26.930893,35.942326,30.141964,26.785945,35.958877,6.245695,45.044089
60000,53.011825,90.002331,59.501719,0.915527,0.915527,34.023936,29.502330,38.412038,33.952264,29.495162,38.353096,2.523925,53.121389
100000,49.719907,96.561830,80.524068,0.762939,0.762939,32.038957,28.791504,37.622876,32.329567,29.043793,37.617586,4.844389,49.719003
150000,49.122702,117.875753,69.457502,0.572205,0.572205,29.718826,26.668304,35.667129,29.513471,26.550125,35.665048,8.495418,47.744362
200000,57.369533,106.934700,90.111463,0.762939,0.762939,33.195954,30.118775,38.578117,33.088568,30.072571,38.523632,4.823614,55.701782
300000,56.938198,137.392944,98.865056,0.572205,0.572205,41.743550,32.131604,41.259363,37.653878,30.880168,41.251093,8.791809,66.212680
400000,63.089413,127.094543,121.572727,0.762939,0.762939,41.645907,35.503431,45.585377,42.861031,36.024614,45.602516,4.887241,72.301564
600000,81.692285,159.244444,133.860584,0.572205,0.572205,60.219926,39.027407,55.910223,60.347854,39.003511,55.921453,9.210989,91.316737
800000,86.401352,147.375223,159.405451,0.762939,0.762939,69.570025,46.762019,63.693682,69.398188,46.785929,63.719207,5.841834,94.767517
1200000,98.174570,179.127443,157.296662,0.572205,0.572205,77.968212,52.738791,72.441742,77.998618,52.926417,72.293003,9.784066,110.522992
2200000,106.376852,206.957327,164.491056,0.524521,0.524521,83.830188,60.717513,79.380894,83.811773,60.820304,79.469747,10.745088,122.847429
3100000,115.576807,189.819357,201.354694,0.739098,0.739098,92.180992,70.074609,86.892303,92.106290,70.117540,86.828057,6.115756,131.218582
6000000,119.808353,207.170716,205.067029,0.715256,0.715256,95.136968,74.492447,90.546885,95.140883,74.566132,90.588492,5.955840,138.491836
10000000,116.096393,224.840546,186.216570,0.596046,0.596046,92.330265,72.310871,88.804967,92.358802,72.225498,88.835495,10.626832,137.408232
