element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,13.635417,48.130208,18.042028,0.500000,0.500000,4.203066,3.508079,3.897277,4.202440,3.506485,3.898663,7.781463,14.031250
110,19.704545,36.512121,30.047722,0.859375,0.859375,4.473889,4.084278,4.017349,4.474938,4.084011,4.016918,5.770280,18.957576
240,18.583333,41.027778,17.748571,0.937500,0.937500,4.307088,4.015178,4.147703,4.307746,4.042237,4.183123,5.417438,20.976389
500,11.826333,58.190667,17.791382,0.488281,0.488281,3.899254,3.265258,3.494557,3.852109,3.266591,3.491207,8.281195,12.701333
800,16.275625,47.243958,27.456985,0.781250,0.781250,4.282935,3.984877,3.984154,4.297751,3.992880,3.964965,6.248804,19.356667
1024,12.309408,59.581380,18.830972,0.500000,0.500000,3.974655,3.342296,3.708198,4.009271,3.400893,3.687450,9.094754,14.451823
1500,16.563889,51.055000,26.601055,0.732422,0.732422,4.548993,4.939009,4.346767,4.542924,4.873967,4.250752,6.765372,19.516222
2048,14.104980,65.342367,19.391649,0.500000,0.500000,4.631128,4.876064,4.207702,4.605832,4.863147,4.218606,25.366112,15.417806
3000,18.428556,51.761278,27.403887,0.732422,0.732422,5.600063,9.370891,8.519477,5.599884,9.450531,8.506650,11.988318,19.678778
6000,19.884333,54.238306,27.963437,0.732422,0.732422,7.715264,11.073701,12.474661,7.719077,11.088019,12.456252,16.289415,19.826556
8192,15.608724,65.471273,20.637269,0.500000,0.500000,6.699859,9.036984,12.150129,6.689831,9.081231,12.141860,35.453081,15.548625
12000,20.255111,53.791222,29.318724,0.732422,0.732422,9.017075,12.263293,15.723113,9.009454,12.231294,15.717724,18.601359,20.176417
16384,16.203308,66.694733,22.285962,0.500000,0.500000,7.780775,10.391649,15.240820,7.728329,10.560282,15.228342,37.429408,16.355387
25000,22.113020,54.796180,33.498104,0.762939,0.762939,10.743027,13.791195,18.123795,10.834183,13.764660,18.121976,17.510248,22.421587
32768,17.363037,68.225332,26.097103,0.500000,0.500000,9.254540,11.569162,17.199895,9.314211,11.616625,17.202759,37.950414,18.114024
45000,21.285896,57.332600,34.543094,0.686646,0.686646,11.281906,14.121936,19.243116,11.275270,14.040649,19.240287,23.410571,21.874852
60000,28.281047,55.457094,27.518777,0.915527,0.915527,13.858037,15.831796,21.189016,13.901820,15.886329,21.186297,8.977149,28.801072
100000,27.056343,59.706713,42.403088,0.762939,0.762939,13.480477,16.041661,20.259445,12.607105,15.195643,20.255456,17.937651,25.767940
150000,23.058700,69.819253,33.159960,0.572205,0.572205,11.757108,14.340306,19.463167,11.529578,14.117153,19.457097,33.230634,22.856807
200000,29.020663,60.827820,45.849157,0.762939,0.762939,13.610934,16.126580,21.232742,13.421847,15.950349,21.233751,18.527755,27.775563
300000,25.591743,70.905730,33.999398,0.572205,0.572205,11.544206,14.110126,19.173984,11.464123,14.042415,19.178141,34.022155,23.535958
400000,31.705886,65.327803,47.423444,0.762939,0.762939,13.595414,16.056186,21.616547,14.065926,16.405412,21.606718,19.255844,29.831272
600000,29.484489,78.143341,41.736494,0.572205,0.572205,12.851444,14.800770,20.037351,13.096264,14.930709,20.047791,33.495902,27.798764
800000,32.430814,71.782893,57.809558,0.762939,0.762939,18.050121,18.502136,22.790798,15.794140,17.381133,22.790043,19.904347,33.773559
1200000,43.890969,89.932376,62.220157,0.572205,0.572205,21.942599,21.022447,27.903083,22.262630,21.728209,27.842054,33.901425,43.645451
2200000,53.473760,106.859918,71.770917,0.524521,0.524521,27.570399,27.848107,33.116436,27.573617,27.703867,33.141221,43.581606,53.765935
3100000,60.369180,96.560020,98.456648,0.739098,0.739098,31.506954,31.040634,37.196727,31.533836,31.010295,37.171080,32.345404,60.385085
6000000,65.717313,110.971540,103.524433,0.715256,0.715256,34.110850,34.035187,40.145087,34.101656,34.095779,40.140609,18.096453,65.774125
10000000,63.220844,126.017569,89.352452,0.596046,0.596046,32.970344,33.890127,39.169507,32.976114,33.874192,39.154830,inf,63.162803
