element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,58.015625,104.708333,67.373182,0.500000,0.500000,11.851842,8.176965,10.053241,11.916850,8.225955,10.053993,2.178683,56.020833
110,64.489394,116.075758,84.359604,0.859375,0.859375,12.905320,9.170182,11.014315,12.708572,9.196981,11.083390,1.380125,69.018182
240,63.620833,104.650694,67.537721,0.937500,0.937500,13.771487,9.359990,11.876857,14.076584,9.419427,11.687024,1.350993,69.902778
500,57.255000,145.600667,69.803179,0.488281,0.488281,16.836043,9.314657,12.485391,16.854154,9.317425,12.465885,2.237929,58.628000
800,67.882708,122.047917,83.958874,0.781250,0.781250,18.499639,12.491647,14.095733,18.517677,12.737492,14.051941,1.594240,68.562917
1024,62.169596,144.314453,71.784293,0.500000,0.500000,18.766656,12.995214,13.933864,18.694474,12.819231,13.935366,2.385677,60.744141
1500,65.923556,122.820778,83.611742,0.732422,0.732422,22.717656,18.679947,18.588801,22.715569,18.681541,18.544559,1.726803,68.279556
2048,58.768799,140.366292,77.925638,0.500000,0.500000,24.156712,18.708047,20.979369,24.124901,18.724971,20.929803,5.870452,60.729329
3000,67.860000,124.334889,93.022919,0.732422,0.732422,29.264834,22.441040,28.561497,29.281354,22.429342,28.523966,2.586839,69.281333
6000,72.506389,125.850944,107.347439,0.732422,0.732422,33.981985,25.737476,37.408571,33.717946,25.718842,37.363070,3.780627,72.326778
8192,66.007996,147.896932,106.338519,0.500000,0.500000,35.510693,23.851722,38.622029,35.250288,23.803708,38.638050,8.798898,67.858846
12000,73.932319,130.470347,118.197273,0.732422,0.732422,41.288116,29.438001,44.893156,41.347175,29.551386,44.880968,4.534636,75.452333
16384,71.632670,156.937917,110.628409,0.500000,0.500000,41.171308,28.060752,45.774567,41.183639,28.217666,45.775834,9.614578,72.197937
25000,79.785547,136.659320,128.614844,0.762939,0.762939,45.430952,33.511958,49.534386,45.487514,33.634656,49.535753,4.455042,80.581347
32768,76.057836,165.904795,117.704589,0.500000,0.500000,42.278998,30.612094,46.945072,41.766223,30.146308,46.944509,9.979866,76.878215
45000,82.009526,146.497141,131.455861,0.686646,0.686646,45.195963,34.114001,49.729524,44.892045,33.680084,49.717151,6.120051,81.382400
60000,93.331450,140.327489,121.989946,0.915527,0.915527,51.274526,37.777894,53.062593,49.214683,36.738068,53.060367,2.489086,94.189706
100000,99.070983,156.514837,161.551093,0.762939,0.762939,49.909726,36.565645,55.487534,51.853733,37.402957,55.464122,4.763072,104.425490
150000,105.876336,189.483980,184.562540,0.572205,0.572205,62.311668,35.568430,58.439499,59.583722,35.797395,58.412562,8.427762,113.744460
200000,120.600183,179.221715,213.962260,0.762939,0.762939,81.155812,41.974879,68.020554,76.737477,41.622245,68.050148,4.761740,123.503093
300000,128.308490,230.334027,229.928592,0.572205,0.572205,106.714280,47.706410,87.581230,106.168452,46.760565,87.570116,8.438572,134.465380
400000,139.912714,214.146311,254.726043,0.762939,0.762939,119.335226,59.816648,100.208420,119.538687,59.301340,100.548996,5.121073,157.230277
600000,189.104747,361.387523,269.758289,0.572205,0.572205,127.051436,69.471520,111.035067,127.098865,69.531279,111.814025,9.251686,147.229870
800000,206.645283,342.404778,303.396975,0.762939,0.762939,134.861594,76.025038,116.808697,135.156570,76.388625,116.718546,5.857656,155.219713
1200000,218.473552,434.257934,315.048082,0.572205,0.572205,137.414100,80.735186,121.929359,137.573337,80.804090,121.983051,9.837739,171.949090
2200000,242.571261,507.737380,331.115245,0.524521,0.524521,142.416359,86.655205,127.839608,142.656861,86.501578,127.963298,10.938595,183.949221
3100000,262.748077,480.629598,370.999059,0.739098,0.739098,151.455109,93.799125,134.621921,152.068886,93.760584,134.989783,6.633843,196.026332
6000000,281.176912,545.339568,385.129876,0.715256,0.715256,159.476044,97.969263,138.779286,155.653646,97.878636,139.007192,6.150827,202.516751
10000000,289.099463,616.610633,341.440344,0.596046,0.596046,156.694367,97.403596,140.619182,154.136018,97.370090,138.890037,10.728959,210.155036
