element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,13.406250,34.557292,6.610750,0.500000,0.500000,2.789739,2.874649,2.849368,2.794662,2.876998,2.849407,7.418196,15.041667
110,10.248485,28.089394,8.367186,0.429688,0.859375,2.719644,2.965418,2.843738,3.595121,4.157652,3.944098,7.585645,33.542424
240,9.915972,26.884028,9.011150,0.468750,0.468750,2.803886,3.064248,2.861980,2.774633,3.004410,2.861364,7.174589,11.259722
500,10.266333,27.859667,9.582995,0.488281,0.488281,2.754549,3.069472,2.838057,2.830432,3.065477,2.836666,6.888078,11.413333
800,9.807708,34.024792,11.681896,0.390625,0.390625,2.872175,3.074582,3.038922,2.907664,3.125926,3.022812,9.466948,38.675000
1024,10.669434,30.393880,10.013658,0.500000,0.500000,3.015165,3.303245,3.206582,3.063410,3.359436,3.222112,8.285847,12.304688
1500,10.145889,35.056000,14.069904,0.366211,0.732422,3.098866,3.287836,3.144691,9.916440,5.348121,7.285009,18.844711,33.570667
2048,11.353841,31.232585,10.241918,0.500000,0.500000,4.547489,3.999187,6.796167,4.482204,4.035472,6.722745,16.432640,12.560384
3000,10.533333,37.221944,14.377340,0.366211,0.366211,4.154478,4.440837,6.292576,4.173777,4.497700,6.308753,27.799073,40.939778
6000,11.118972,40.889000,15.130652,0.366211,0.732422,5.703926,7.030166,11.611221,15.274407,13.262874,15.199575,32.526956,33.620056
8192,13.456156,32.503703,12.013757,0.500000,0.500000,8.935371,10.987120,14.777366,8.937257,11.025809,14.771854,27.775971,13.259969
12000,12.418014,40.430431,16.567194,0.366211,0.732422,6.995371,9.062996,14.381267,16.822750,16.718208,18.298220,34.610735,37.080944
16384,14.290995,35.261464,14.269668,0.500000,0.500000,10.508922,13.396012,17.289455,10.465731,13.342185,17.287829,29.588748,15.076518
25000,16.405320,41.560160,20.048867,0.381470,0.381470,8.711012,12.105106,17.273888,8.713409,12.126150,17.263917,37.072838,53.459693
32768,18.017075,36.912491,15.918249,0.500000,0.500000,11.928866,15.383042,19.431596,11.874251,15.358245,19.430602,31.718585,18.196859
45000,17.506819,45.299067,19.895136,0.343323,0.686646,8.715784,11.925578,17.016167,18.569308,19.629542,22.108019,40.142046,41.431244
60000,18.849569,39.499050,26.232215,0.457764,0.457764,11.376573,14.869274,19.179224,11.376104,14.908351,19.176378,34.302951,18.832961
100000,21.845900,51.047323,22.173261,0.381470,0.381470,9.672396,12.805305,17.370578,9.537468,12.671278,17.362915,39.181312,58.530093
150000,21.448873,64.217573,19.967027,0.286102,0.572205,7.971736,10.598197,15.812641,14.595689,17.201161,20.404432,41.487562,50.245884
200000,22.653393,53.287025,23.646422,0.381470,0.762939,10.132528,13.217810,17.452227,22.532056,22.610063,24.523543,37.310304,48.909255
300000,29.365301,75.862283,26.812209,0.286102,0.572205,9.839737,12.075971,17.233366,14.705436,17.329688,20.428139,44.790621,60.740747
400000,29.431801,64.260063,31.574842,0.381470,0.381470,11.867214,14.844244,20.302575,11.922662,15.421510,20.691635,41.000896,83.255395
600000,52.733728,95.966073,37.308218,0.286102,0.572205,14.964183,17.739535,22.385325,17.070623,20.151908,23.393091,48.400760,79.670086
800000,49.432940,81.467741,44.225780,0.381470,0.381470,17.995032,21.868314,26.404396,18.059743,21.886182,26.411069,43.422737,93.516983
1200000,59.041752,106.244243,43.813809,0.286102,0.572205,19.965924,23.687422,27.650371,25.095814,28.665542,31.791086,48.472266,90.966929
2200000,63.199834,120.108946,45.924174,0.262260,0.524521,21.492531,25.318816,28.866997,26.847189,31.449080,34.156660,56.459663,96.178512
3100000,58.674158,97.758249,52.970336,0.369549,0.369549,24.109770,28.743607,31.687049,24.096519,28.735758,31.699549,65.811906,116.905067
6000000,60.492279,103.692410,53.789614,0.357628,0.357628,24.750644,29.280461,32.198076,24.753779,29.296605,32.196702,33.361575,110.359297
10000000,63.153666,117.993866,50.768808,0.298023,0.596046,24.144613,28.174268,31.256261,32.427038,36.104448,39.319088,inf,93.948896
