element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,11.583333,35.406250,7.788839,0.500000,0.500000,2.599079,2.793537,2.732170,2.598004,2.792773,2.731025,4.769851,11.718750
110,10.878788,30.751515,8.441806,0.429688,0.859375,2.652059,2.757806,2.696283,3.215847,3.433863,3.316854,5.430328,32.275758
240,9.734722,27.561806,8.898852,0.468750,0.468750,2.683431,2.821090,2.807190,2.683051,2.821029,2.760548,5.021100,10.227778
500,10.581667,30.164000,9.619643,0.488281,0.488281,2.716590,2.842153,2.824132,2.739283,2.847344,2.806550,4.832666,11.526667
800,10.236667,34.264167,12.457035,0.390625,0.781250,2.852350,2.922344,2.877716,3.512677,3.795142,3.492406,7.998020,31.759583
1024,11.749349,31.332031,10.076785,0.500000,0.500000,2.978344,3.087953,3.028967,2.989442,3.158931,3.050906,7.066830,12.797852
1500,10.458778,38.566667,14.129254,0.366211,0.732422,3.041604,3.168555,3.006059,8.464983,4.996468,6.075258,26.289965,33.119778
2048,11.935303,31.991536,10.361124,0.500000,0.500000,4.291852,3.950503,5.347717,4.241168,3.970346,5.380710,20.728830,12.412923
3000,10.295222,37.266167,14.443977,0.366211,0.366211,3.870932,4.334774,5.200925,3.851054,4.336772,5.165426,34.786442,47.689111
6000,11.198389,42.541167,15.213378,0.366211,0.732422,5.793159,6.518618,10.600239,15.107501,13.096160,14.465883,37.718019,33.828111
8192,13.120707,34.225301,12.128519,0.500000,0.500000,8.886821,10.196533,13.987148,8.879265,10.238806,13.990841,29.221415,13.099040
12000,12.055083,42.050375,16.742720,0.366211,0.732422,7.023723,8.484587,13.890167,16.777865,16.307877,17.804117,38.970943,37.031750
16384,14.220337,36.439758,14.584319,0.500000,0.500000,10.462623,12.979723,16.984974,10.545267,13.121919,16.926550,30.302892,15.091166
25000,16.044993,42.659707,20.246414,0.381470,0.381470,8.675852,11.698737,16.765967,8.683630,11.684481,16.815966,39.503579,52.272680
32768,17.556081,38.290873,16.226374,0.500000,0.500000,11.944231,14.892109,18.722845,11.948661,14.906524,18.720455,31.705249,17.616292
45000,17.065681,46.900607,20.169219,0.343323,0.686646,8.797886,11.434364,16.435331,18.328132,18.966710,21.400131,42.668001,40.849207
60000,18.249067,41.084964,26.465843,0.457764,0.457764,11.291234,14.517413,18.467919,11.338148,14.538532,18.468610,34.685903,18.213556
100000,21.094187,52.052927,22.659855,0.381470,0.381470,9.614077,12.499304,16.717788,9.438143,12.273827,16.698364,39.588539,75.020427
150000,20.944993,66.820476,20.952415,0.286102,0.572205,7.934007,10.360536,15.216110,14.844867,16.844417,19.929022,46.365510,48.452871
200000,22.268568,54.503108,25.766072,0.381470,0.381470,9.734047,12.731309,16.843393,9.407324,12.403667,16.617062,39.338457,65.101077
300000,29.526960,76.170032,25.714406,0.286102,0.572205,8.833050,11.003489,15.783721,15.034216,17.267491,20.097221,49.115790,56.884452
400000,27.177686,65.254018,31.992869,0.381470,0.381470,11.343898,14.044283,18.902669,11.594266,14.347297,18.592833,41.746267,77.616296
600000,51.800508,97.866166,38.630668,0.286102,0.572205,14.995234,17.699047,21.782354,17.029496,19.515968,22.697440,53.837825,78.785873
800000,48.482465,83.281920,44.926300,0.381470,0.381470,17.983240,21.561385,25.811630,18.354995,21.592376,25.965829,45.219804,92.314157
1200000,58.240603,109.054170,44.792575,0.286102,0.572205,19.734728,23.425768,26.993026,25.325186,28.347939,31.203896,53.375640,89.847241
2200000,62.253558,121.851224,47.006155,0.262260,0.524521,21.309302,25.100451,28.318271,27.278784,31.064076,33.639937,61.400878,95.025365
3100000,57.810806,100.452089,53.942723,0.369549,0.739098,23.993968,28.518927,31.159984,38.499255,38.668818,41.503320,68.835980,86.611340
6000000,59.477443,106.987690,54.877541,0.357628,0.715256,24.554887,29.062528,31.639103,38.925886,39.476816,42.779340,35.919371,88.289023
10000000,62.228502,121.488394,51.761972,0.298023,0.596046,23.858077,27.916277,30.732497,32.549719,35.489258,38.732909,inf,92.925447
