element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,11.812500,70.588542,7.683066,0.500000,0.500000,2.681235,2.814425,2.706719,2.680525,2.814402,2.706838,4.951540,12.447917
110,10.181818,30.857576,8.526395,0.429688,0.859375,2.648738,2.818966,2.734671,3.584387,3.957287,3.805792,5.668998,33.954545
240,9.870139,30.222222,8.926183,0.468750,0.468750,2.700368,2.822867,2.744580,2.699120,2.822966,2.744550,4.673144,10.050000
500,10.524667,29.204667,9.660139,0.488281,0.488281,2.752755,2.869960,2.810480,2.752094,2.838084,2.792676,5.020223,10.551333
800,9.655625,34.119792,12.469964,0.390625,0.781250,2.872662,3.078176,2.904634,3.299489,3.364865,3.373685,11.280351,31.676250
1024,10.791178,33.359701,10.095168,0.500000,0.500000,2.989597,3.191417,3.006569,2.999941,3.148514,3.047651,5.763952,11.437174
1500,10.973000,52.724333,14.168371,0.366211,0.732422,3.050773,3.186001,3.039711,8.533981,5.261108,6.067621,26.214720,33.285111
2048,14.484049,35.481445,10.369729,0.500000,0.500000,4.591544,4.023543,4.959557,4.520147,3.955860,5.082427,21.224270,12.666341
3000,13.684333,61.822278,14.438731,0.366211,0.732422,3.956534,4.275289,5.308956,12.997638,9.603172,12.370920,34.549945,48.363667
6000,17.368361,68.965167,15.224999,0.366211,0.732422,5.603967,6.469557,10.536168,14.824422,12.513123,14.317289,37.520451,54.266333
8192,15.433268,54.843974,12.064728,0.500000,0.500000,8.709667,10.269037,14.047403,8.735903,10.274600,14.044300,29.561057,12.842367
12000,13.318042,74.824056,16.788722,0.366211,0.732422,7.261345,8.655257,14.141546,17.036882,16.594663,17.978386,39.100447,39.948778
16384,17.037181,58.956126,14.601888,0.500000,0.500000,10.611825,12.897855,16.756294,10.597991,12.845493,16.758457,30.309545,14.849548
25000,16.839280,75.259020,20.227228,0.381470,0.381470,8.667123,11.598980,16.715461,8.655565,11.661562,16.723115,39.522109,87.233560
32768,20.213949,61.718577,16.248851,0.500000,0.500000,11.903414,14.916448,18.772737,11.931702,14.922796,18.771776,31.560473,17.551229
45000,17.466615,83.972104,20.100996,0.343323,0.686646,8.643008,11.539220,16.414691,18.199573,18.892906,21.363809,42.694007,42.687015
60000,20.775144,59.680558,25.881522,0.457764,0.457764,10.902180,14.050461,18.288403,11.174333,14.321964,18.284056,34.287725,17.933672
100000,23.729823,65.997023,22.062975,0.381470,0.381470,9.430637,12.278569,16.667447,9.425356,12.351569,16.688432,39.178614,74.746893
150000,24.334347,89.673011,18.585078,0.286102,0.572205,7.822090,10.217189,15.173063,14.791675,16.926911,19.917018,46.877131,47.003071
200000,22.466382,74.827372,23.200849,0.381470,0.762939,9.505691,12.513719,16.700325,21.856456,21.421582,23.154043,39.115356,46.693652
300000,31.439611,93.618743,25.644704,0.286102,0.572205,9.146672,11.198680,15.651438,14.709293,16.936861,19.871005,50.281287,59.661174
400000,27.352313,75.034007,32.341324,0.381470,0.381470,11.585985,14.347594,18.379523,10.977165,14.297383,19.150954,41.986794,78.537909
600000,51.886838,107.101599,38.303211,0.286102,0.572205,15.213360,17.951942,22.503782,17.312718,19.786507,23.037482,54.234412,80.085532
800000,48.334266,89.798134,44.695403,0.381470,0.381470,17.960903,21.434343,25.739317,18.202863,21.518816,25.861764,45.296726,91.620319
1200000,58.147160,109.108145,44.786960,0.286102,0.572205,19.667597,23.438066,27.001098,25.261941,28.191014,31.104392,52.783031,89.871961
2200000,62.240242,122.032416,46.941291,0.262260,0.524521,21.357011,25.095403,28.319015,27.238120,31.055519,33.629146,62.690142,95.254053
3100000,57.776058,100.354952,53.928563,0.369549,0.369549,23.930332,28.488293,31.085513,23.948534,28.458811,31.093050,67.798846,107.462863
6000000,59.467254,106.802563,54.738462,0.357628,0.715256,24.528875,29.082478,31.601934,38.765553,39.402692,42.730649,35.488248,88.432787
10000000,62.163575,121.482727,51.724764,0.298023,0.596046,23.847472,27.922547,30.722079,32.561542,35.420168,38.741883,inf,92.864470
