element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,62.322917,120.364583,40.281391,0.500000,0.500000,20.679309,16.934208,16.371685,20.708371,16.857983,16.371402,1.232112,51.406250
110,68.225758,97.665152,46.675153,0.429688,0.429688,21.178781,16.125619,15.764847,21.109262,16.071078,15.792564,1.305885,105.972727
240,57.077778,90.927778,47.067219,0.468750,0.468750,26.044165,19.355572,18.725674,26.180765,19.360538,18.722061,1.204915,51.720833
500,59.417000,99.599667,51.213824,0.488281,0.488281,29.238236,23.361297,22.700381,29.200709,23.403143,22.771966,1.342211,52.671333
800,49.835417,94.119375,49.022007,0.390625,0.781250,25.489232,22.061474,23.064289,42.967840,35.225327,35.475446,1.682144,98.315833
1024,52.679688,86.995605,54.861247,0.500000,0.500000,30.386754,24.971113,27.820058,30.491663,25.039800,27.948089,1.435934,52.246745
1500,51.184333,98.142111,62.220981,0.366211,0.732422,27.558537,23.141737,28.292205,43.268011,34.611783,36.521804,5.696987,103.428222
2048,53.495850,85.537598,63.817032,0.500000,0.500000,31.486850,28.195125,33.414362,31.563330,28.266520,33.387109,4.656544,54.364095
3000,56.288000,104.353000,75.204247,0.366211,0.732422,30.415460,25.255915,33.850700,49.383542,39.842346,44.724509,7.966000,113.551778
6000,70.804306,120.782556,86.412862,0.366211,0.366211,44.201032,32.280804,48.839872,44.326141,32.553446,48.859639,9.526907,183.072778
8192,73.543803,107.385824,93.433925,0.500000,0.500000,55.498488,42.566722,57.984857,55.588592,42.913434,57.963426,7.017586,73.106649
12000,75.294694,130.667681,102.354054,0.366211,0.366211,51.813216,39.565851,55.933509,51.685413,39.612387,55.801568,10.217457,184.616028
16384,78.934855,118.758657,98.215219,0.500000,0.500000,62.048875,47.963846,63.878665,62.059644,47.993410,63.846501,8.001022,98.095378
25000,79.101000,138.698447,112.513962,0.381470,0.762939,57.949139,44.035973,61.879835,86.644811,65.900218,77.482510,10.167890,156.857613
32768,85.532201,127.962977,106.250284,0.500000,0.500000,64.479552,48.861715,67.674537,66.551363,50.249410,67.684952,7.966026,86.254405
45000,87.421489,159.815270,119.677563,0.343323,0.686646,61.212283,44.787807,64.610630,87.413959,65.579588,79.834046,10.943377,179.168074
60000,95.598186,143.504561,138.274660,0.457764,0.457764,72.055648,52.742194,71.275987,70.105394,51.324731,71.205609,8.975875,105.336639
100000,125.103187,195.483170,188.432999,0.381470,0.381470,89.256982,55.803038,83.220237,84.776596,50.947283,78.889828,10.501433,287.497010
150000,158.032138,263.043749,221.766125,0.286102,0.572205,118.149398,62.616805,107.620594,143.888366,91.709760,131.939947,12.488993,315.967644
200000,164.918893,239.713707,249.256995,0.381470,0.381470,150.764059,93.742622,138.543126,152.131843,93.208881,138.152598,11.997301,384.131918
300000,260.992818,470.129353,268.481252,0.286102,0.572205,163.703184,105.584285,148.054212,191.154780,139.787065,179.420286,14.785824,360.925037
400000,267.014911,434.513232,286.263219,0.381470,0.381470,178.995085,123.870398,167.079098,179.562967,123.923637,166.393636,13.597394,385.577516
600000,304.130082,572.742469,313.252772,0.286102,0.572205,178.272803,120.002062,163.112462,213.757292,158.444514,200.778640,16.462267,364.002537
800000,310.081076,527.363915,329.168741,0.381470,0.381470,192.996360,134.764832,179.828373,194.929207,134.946591,179.686129,13.974637,412.631593
1200000,314.190898,652.742984,313.670985,0.286102,0.572205,198.295746,126.105533,171.747152,229.983195,169.067734,214.711046,16.251918,381.763020
2200000,335.770180,744.782377,320.668766,0.262260,0.524521,206.076519,126.538395,173.620657,230.165312,166.047571,218.799741,16.495487,397.573138
3100000,340.424197,663.078304,362.369763,0.369549,0.369549,208.675676,143.133383,192.157846,208.471246,142.835816,192.467684,12.332081,428.238952
6000000,356.062637,714.658859,378.236419,0.357628,0.715256,210.842582,144.428600,194.441358,290.594385,218.186937,0.000000,11.067429,266.284692
10000000,372.608203,809.022117,340.043624,0.298023,0.596046,209.848420,143.869991,188.255200,259.115770,189.652291,0.000000,16.563440,278.742376
