element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,44.312500,67.895833,45.167478,0.864865,0.864865,12.084497,13.881702,11.483520,12.083654,13.880020,11.483132,1.927259,52.343750
110,42.740909,65.500000,46.204123,0.973451,0.973451,12.108578,15.628149,14.094309,12.120602,15.618069,14.094986,4.795572,47.669697
240,50.594444,68.159722,46.501605,0.995851,0.995851,11.662651,15.804357,13.349017,11.666760,15.811050,13.474487,4.699866,44.875000
500,52.006667,69.503667,47.883989,0.994036,0.994036,12.096436,15.488524,13.843177,12.101370,15.394194,13.869472,4.639943,45.978667
800,53.213125,72.590833,49.786582,0.972053,0.972053,12.486634,16.164861,14.121650,12.538232,16.299268,14.107094,9.132599,45.686250
1024,52.053385,70.466309,50.845937,0.993210,0.993210,12.501657,16.048142,14.232146,12.525563,16.079655,14.144474,11.674012,45.942708
1500,52.776667,73.716333,51.303704,0.929944,0.929944,13.163489,16.433246,14.812213,13.078372,16.398961,14.727090,12.465916,46.014889
2048,54.036458,69.918538,52.393689,0.939881,0.939881,15.062623,17.057829,18.584485,15.240053,17.054875,18.469742,13.060370,46.671061
3000,54.751389,73.850944,53.514903,0.934871,0.934871,16.960562,19.885333,22.544794,16.983427,19.815341,22.585553,13.475018,46.432222
6000,55.949750,73.305639,57.053872,0.933562,0.933562,20.170585,25.469035,29.372075,20.123494,25.410066,29.347273,13.863718,47.261611
8192,47.490601,66.433899,58.846919,0.932711,0.932711,21.515451,27.197819,32.174612,21.545388,27.198440,32.186782,14.373255,47.626221
12000,48.550569,74.326333,63.999200,0.999084,0.999084,24.245555,30.895176,35.439227,23.614147,30.535175,35.381169,15.096709,48.511722
16384,49.844889,69.393453,69.678217,0.998355,0.998355,26.063641,33.282196,39.564733,26.747182,33.749178,39.741062,18.037496,50.167847
25000,52.974707,81.151073,80.566741,0.951765,0.951765,29.910257,37.614770,44.095464,29.853955,37.643096,44.181336,24.065839,52.941947
32768,57.190511,80.398443,87.301815,0.986305,0.986305,32.770963,41.415138,48.426048,32.949809,41.631394,48.446192,29.199337,56.842102
45000,61.563344,98.857574,92.817438,0.989424,0.989424,34.785403,44.397393,51.651298,34.878348,44.074212,51.565014,33.784561,61.257652
60000,64.728600,94.032442,96.221423,0.964119,0.964119,35.913987,45.398689,53.784349,35.920784,45.476482,53.537458,36.337539,64.869961
100000,71.791110,112.051340,106.343785,0.926810,0.926810,36.948652,47.331707,55.102756,37.025231,47.056554,55.135527,39.167912,69.978373
150000,74.329904,106.568851,111.899950,0.938256,0.938256,39.231872,49.429677,56.012479,37.440314,48.504583,56.179049,42.369051,73.593762
200000,80.259220,128.598775,118.414360,0.988098,0.988098,39.380639,50.741417,57.353519,38.058920,49.617717,57.242909,45.323225,74.072302
300000,82.064867,116.221290,119.544110,0.924491,0.924491,40.612026,50.248025,56.906561,38.443934,48.616149,56.805877,47.008076,77.337209
400000,96.588383,155.157431,153.227121,0.973575,0.973575,49.844442,58.433619,63.549665,45.440061,54.561526,63.603436,52.482430,85.504658
600000,112.803414,155.718600,198.820677,0.985379,0.985379,70.697741,78.642129,92.264955,71.373122,79.654768,92.178986,67.168216,105.551897
800000,127.064326,245.791722,228.339715,0.959024,0.959024,81.752851,91.834513,105.491902,82.378953,91.746470,105.683303,80.462907,137.627143
1200000,155.848175,239.509850,261.150240,0.970562,0.970562,95.702511,109.549165,124.269278,95.434648,109.894379,124.235668,104.436726,156.075006
2200000,189.237464,307.455809,296.267893,0.948020,0.948020,108.025117,125.175498,140.903895,108.172268,125.792150,141.036871,156.425620,191.009648
3100000,208.807395,453.031252,313.070304,0.975056,0.975056,115.049449,135.063734,150.649321,113.897352,134.649767,150.548696,235.312852,209.146836
6000000,256.330028,538.186341,326.717543,0.929367,0.929367,123.586606,139.335840,156.871952,122.760843,139.055072,163.569437,129.914544,224.969530
10000000,274.837118,465.413274,340.074510,0.965930,0.965930,131.133435,148.421409,166.548443,130.201172,148.091619,171.793897,inf,241.030986
