element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,44.484375,65.239583,47.084135,0.864865,0.864865,11.341464,15.106228,13.370023,11.440712,15.102007,13.366761,1.926926,49.906250
110,40.189394,67.700000,48.407863,0.973451,0.973451,15.100417,16.394411,13.715606,12.903613,15.523979,13.432951,4.796286,46.839394
240,54.219444,68.577778,48.666338,0.995851,0.995851,12.264116,15.457119,13.524947,12.321715,15.468029,13.455115,4.683380,46.908333
500,52.181000,68.694333,48.971478,0.994036,0.994036,12.270676,16.178545,14.055479,12.198435,16.146608,14.011100,4.637012,46.233333
800,51.755417,69.684375,50.592363,0.972053,0.972053,12.254923,15.904767,13.992433,12.253581,15.959350,13.942591,4.665785,45.749583
1024,51.825033,67.815267,52.089765,0.993210,0.993210,12.516436,17.289482,14.710771,12.569010,17.292891,14.624218,5.323504,44.849935
1500,52.171444,71.590222,52.973946,0.929944,0.929944,12.723768,17.289983,14.702831,12.882076,17.199254,14.591310,8.892923,44.939111
2048,54.168457,70.036458,54.126064,0.939881,0.939881,14.874987,19.384543,15.480254,14.861325,19.248396,15.490139,10.468710,46.657389
3000,54.652056,74.348056,55.031055,0.934871,0.934871,16.377628,23.370286,15.418008,16.318546,23.296486,15.476077,11.134841,45.811778
6000,55.605833,73.359778,58.186476,0.933562,0.933562,19.087129,27.724666,26.597499,19.071652,27.728546,26.609259,11.922519,46.274889
8192,47.742045,66.538717,59.635950,0.932711,0.932711,20.275157,29.354811,30.002985,20.264606,29.331880,30.004625,12.074627,46.830526
12000,48.870111,74.318500,62.589608,0.999084,0.999084,22.358483,32.557780,34.384962,22.399589,32.596271,34.395967,12.890379,48.127444
16384,49.723969,69.219961,70.074628,0.998355,0.998355,23.860184,34.102185,38.013185,24.950940,35.072669,38.010220,13.578524,49.582072
25000,51.127627,79.003953,80.244097,0.951765,0.951765,25.638269,36.231357,40.842064,26.142052,36.540017,40.837435,14.527074,50.144227
32768,54.816213,76.764633,87.598266,0.986305,0.986305,29.409037,40.815126,45.190145,29.393528,40.602750,45.194785,17.522099,53.567006
45000,58.388433,93.879644,95.204471,0.989424,0.989424,31.846995,44.560550,49.947146,31.922119,44.691024,49.945528,21.992350,57.494222
60000,62.392361,90.277156,99.899871,0.964119,0.964119,33.537518,46.618279,52.727069,33.551687,46.600713,52.692814,27.041868,61.638439
100000,69.148480,107.922667,105.522128,0.926810,0.926810,34.997887,48.613985,54.228859,34.176467,47.724696,54.043170,32.372840,66.981200
150000,72.454844,102.519258,106.839904,0.938256,0.938256,35.176472,49.389769,55.882202,35.274314,49.496597,55.835941,34.996695,71.266762
200000,76.132240,118.345342,107.743149,0.988098,0.988098,36.515932,52.495284,57.186855,35.829760,51.227210,57.235016,39.072105,72.188875
300000,78.187384,110.048382,113.798586,0.924491,0.924491,35.276863,49.759530,56.309839,35.146446,49.781818,56.175083,40.742970,73.742897
400000,80.923868,128.101290,126.442147,0.973575,0.973575,37.155778,52.502234,59.239251,37.344131,52.943650,59.185196,43.344446,78.026454
600000,97.620192,134.802750,174.854546,0.985379,0.985379,54.600753,69.868443,78.996090,55.496271,70.904154,78.924971,48.615639,93.293974
800000,105.694516,187.180748,205.389871,0.959024,0.959024,68.273992,84.122011,94.419976,69.213790,85.587350,94.551546,55.333072,103.732010
1200000,126.674628,184.027635,246.534580,0.970562,0.970562,85.050184,107.062046,115.868586,85.089523,106.383314,115.913256,72.343541,132.276864
2200000,166.351533,268.283562,290.014856,0.948020,0.948020,99.313016,127.674793,137.007788,99.353834,127.415046,136.983150,127.468588,168.030331
3100000,186.409073,401.030837,309.555002,0.975056,0.975056,106.179814,138.691737,148.792420,106.398157,138.745377,148.505365,197.638281,187.043556
6000000,237.931410,479.234477,326.997388,0.929367,0.929367,115.702576,145.988467,156.168576,115.933015,146.016079,161.683568,111.861953,214.577104
10000000,257.801427,422.504584,340.949271,0.965930,0.965930,123.376101,156.882418,167.752251,124.482644,156.945653,174.589769,inf,231.723766
