element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,45.880208,68.119792,47.329162,0.864865,0.864865,13.624659,17.872654,16.466975,13.434651,17.872354,16.456092,1.933581,52.385417
110,41.960606,72.498485,48.678236,0.973451,0.973451,11.783312,15.921380,13.641322,11.726591,15.920785,13.636462,4.798703,47.357576
240,53.870833,68.626389,48.894682,0.995851,0.995851,12.249577,16.333915,14.523517,12.336133,16.304258,14.472735,4.684117,46.394444
500,54.159333,67.639333,49.245037,0.994036,0.994036,12.020684,16.707593,13.982734,12.011200,16.688149,14.096979,4.635934,45.972000
800,51.951875,70.924583,50.891540,0.972053,0.972053,12.120873,16.362109,14.010856,12.091055,16.285999,13.981153,4.646342,44.871667
1024,52.472331,70.264811,52.386037,0.993210,0.993210,12.853868,16.868078,14.522533,12.810245,16.830893,14.525501,5.411626,45.969727
1500,51.763000,72.224667,53.244444,0.929944,0.929944,13.037456,17.350703,14.709888,12.988510,17.478121,14.627188,9.088316,45.113111
2048,53.810140,73.276123,54.497934,0.939881,0.939881,14.375351,18.909212,15.171949,14.326150,19.124006,15.117597,10.606690,45.705404
3000,56.286167,75.441556,55.268262,0.934871,0.934871,16.066598,22.944356,15.615673,16.060148,22.865741,15.794964,11.083826,45.623222
6000,58.372194,81.315333,58.362733,0.933562,0.933562,19.059672,28.308860,26.479486,19.168812,28.322338,26.463537,11.880476,46.720111
8192,49.923218,73.381490,59.990462,0.932711,0.932711,20.204784,29.481609,29.991525,20.149616,29.466754,29.997531,12.112140,50.751424
12000,52.163903,84.047806,62.598791,0.999084,0.999084,22.504718,32.528406,34.016201,22.368977,32.463645,34.008595,12.940004,48.200667
16384,53.024129,71.688975,69.711252,0.998355,0.998355,23.957428,33.944775,36.890504,23.716379,33.833418,36.919995,13.485845,48.859436
25000,55.248287,92.821287,79.764902,0.951765,0.951765,26.194653,36.898104,40.748141,25.975019,36.593897,40.748480,15.056682,50.444147
32768,57.898305,75.705470,88.138397,0.986305,0.986305,29.153410,41.065792,45.362593,29.108822,40.755875,45.345145,16.921743,53.110148
45000,62.143537,113.825567,95.170675,0.989424,0.989424,32.155431,45.056054,50.240910,32.187553,45.056543,50.232838,21.890416,57.588415
60000,66.106947,90.222197,100.045410,0.964119,0.964119,33.606700,46.810394,52.879369,33.594699,46.815269,52.895215,27.149960,61.655617
100000,88.673140,130.276300,105.329937,0.926810,0.926810,34.997201,48.720128,55.385197,34.983203,48.751534,55.226132,32.233685,67.525493
150000,80.175133,102.990007,110.782000,0.938256,0.938256,36.437172,50.819941,57.494038,36.231590,50.839290,57.573457,35.807648,72.115273
200000,83.753698,141.756982,117.623116,0.988098,0.988098,38.613296,54.597775,61.292657,38.727175,54.609833,61.394329,38.354968,75.591618
300000,87.253627,116.058252,129.386132,0.924491,0.924491,39.360288,54.075841,61.516077,39.461323,54.081848,61.532820,41.070283,78.613371
400000,91.790048,154.157404,141.292900,0.973575,0.973575,42.849441,58.807974,66.735574,43.534744,59.379994,66.733620,44.886868,84.116232
600000,97.749997,133.799535,177.405548,0.985379,0.985379,53.139888,67.934385,79.949556,56.075101,71.400340,79.475686,48.632613,93.521488
800000,103.216832,200.447456,205.897888,0.959024,0.959024,67.297797,83.338974,94.761078,69.161769,85.648962,94.741890,54.763802,103.819656
1200000,128.250712,185.536007,246.376321,0.970562,0.970562,84.794388,106.963026,116.094268,84.912733,106.861702,116.083391,72.430372,133.058630
2200000,166.241318,268.629394,289.975024,0.948020,0.948020,100.189036,127.404253,136.807758,99.101524,127.072886,136.913691,127.074067,166.707627
3100000,186.491148,401.388488,310.605818,0.975056,0.975056,106.052588,138.750279,148.595107,106.302442,138.597239,148.706896,198.106416,188.085269
6000000,238.488558,477.742040,328.176309,0.929367,0.929367,116.059479,145.947084,155.868543,116.399274,145.930721,161.521250,111.389466,214.485584
10000000,258.090729,424.143502,340.591184,0.965930,0.965930,124.378540,156.978924,167.426304,123.829277,156.814987,174.273572,inf,231.542651
