element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,36.546875,59.744792,42.977401,0.864865,0.864865,7.913460,12.451971,10.047936,7.914032,12.452060,10.049089,1.927868,42.739583
110,35.322727,57.634848,44.130944,0.973451,0.973451,8.727398,14.714235,11.671626,8.728040,14.719146,11.670017,4.796153,39.736364
240,43.098611,58.445139,44.442297,0.995851,0.995851,8.685918,14.720507,11.319867,8.688651,14.703310,11.318266,4.684190,38.113889
500,41.962333,57.228333,44.809399,0.994036,0.994036,8.295623,14.866745,11.431809,8.295373,14.874304,11.433599,4.636728,36.605333
800,44.435208,59.748333,46.281871,0.972053,0.972053,9.233819,14.873242,12.048014,9.238466,14.861661,12.048517,4.646323,38.094583
1024,41.562012,56.207357,47.788909,0.993210,0.993210,7.884289,14.999199,11.492572,7.883356,14.992633,11.563272,4.973035,36.481771
1500,44.643444,61.170778,48.601765,0.929944,0.929944,9.614752,14.665852,11.906532,9.603213,14.605140,11.879649,7.989554,37.844444
2048,40.955729,56.669922,49.777304,0.939881,0.939881,7.893442,14.682499,11.803924,7.896200,14.680964,11.645705,6.554356,36.089355
3000,44.865500,63.133722,50.493643,0.934871,0.934871,10.345795,15.887378,15.446306,10.327415,15.926693,15.438978,8.838760,38.169111
6000,46.055194,59.248250,53.661897,0.933562,0.933562,11.373548,19.380842,20.352876,11.377392,19.405931,20.338938,9.267283,38.171889
8192,36.618774,51.681193,55.218922,0.932711,0.932711,7.956144,15.113546,19.953646,7.957346,15.112304,19.949896,6.554980,35.876261
12000,39.978708,59.268833,58.373752,0.999084,0.999084,13.654375,23.845895,26.437205,13.718540,23.899323,26.435249,10.312139,38.979472
16384,36.699320,52.843628,62.256072,0.998355,0.998355,8.457669,15.924573,22.300144,8.627150,16.291480,22.331032,6.690586,35.882812
25000,40.455753,61.057820,71.763730,0.951765,0.951765,15.134261,25.690674,29.696171,15.429905,25.467885,29.697712,11.455492,39.670373
32768,37.079183,55.415736,79.566181,0.986305,0.986305,12.037035,21.916019,26.407404,11.922099,21.753263,26.417952,9.141472,37.367910
45000,46.781137,72.630770,86.372580,0.989424,0.989424,20.873948,33.790965,37.190229,21.005245,34.633150,37.184367,16.826798,45.042237
60000,41.966158,64.050892,91.202378,0.964119,0.964119,16.238752,28.347229,31.625874,16.219489,28.314054,31.612671,13.666509,40.050744
100000,52.018967,81.649387,95.758935,0.926810,0.926810,20.962985,35.037981,36.615247,20.545777,34.509330,36.619500,18.892470,47.716827
150000,60.503944,83.788900,96.762335,0.938256,0.938256,24.718538,40.409599,42.076758,24.654249,40.401942,42.075557,25.888014,55.721780
200000,59.649405,90.416917,102.906284,0.988098,0.988098,22.939669,39.132059,39.508078,22.318312,37.963515,39.490694,23.254903,51.542183
300000,68.442080,90.589087,103.588043,0.924491,0.924491,25.059368,40.574079,42.087224,24.707012,40.333624,42.141092,28.866966,57.450389
400000,71.564632,98.991727,110.731788,0.973575,0.973575,23.838901,39.914773,40.378381,23.406128,38.119013,40.334375,25.005686,55.231434
600000,96.148356,110.748172,166.464964,0.985379,0.985379,40.557939,58.064601,58.705110,41.435576,59.414574,58.715809,35.526790,72.562448
800000,91.248634,138.778417,197.527620,0.959024,0.959024,47.900239,66.073696,63.656180,48.464165,66.896515,63.651213,31.472810,70.831900
1200000,118.628860,149.507897,236.706031,0.970562,0.970562,62.911131,89.667479,84.089020,62.936692,89.715028,84.058699,47.102990,101.778577
2200000,147.968464,222.444680,278.485902,0.948020,0.948020,74.515196,107.922135,99.274191,74.685847,107.936727,99.134070,81.697470,128.059013
3100000,150.087424,295.529389,289.473747,0.975056,0.975056,74.646454,111.805198,99.555106,74.445946,111.458532,99.363781,102.901999,129.579677
6000000,184.768300,369.388611,299.313210,0.929367,0.929367,82.775734,117.421900,104.017903,82.690312,117.165553,107.338433,59.141443,152.246938
10000000,217.853759,347.239958,307.629220,0.965930,0.965930,91.636044,131.000469,117.773074,91.674330,130.688483,122.464334,inf,179.445833
