element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,84.447917,100.255208,123.506780,0.864865,0.864865,24.579173,23.806052,24.865165,24.609430,23.779662,24.850316,0.482355,99.406250
110,78.468182,117.093939,122.130021,0.973451,0.973451,24.235143,22.129085,22.783417,24.192403,22.213178,22.783312,1.201262,94.527273
240,93.257639,130.462500,127.078370,0.995851,0.995851,25.887625,24.200116,24.828954,25.834490,24.347780,24.963635,1.173078,94.097222
500,95.563667,127.328333,126.410969,0.994036,0.994036,27.929870,27.053044,27.623263,27.996570,27.049213,27.421507,2.245740,91.924667
800,96.710625,130.046458,127.601673,0.972053,0.972053,29.536671,30.097988,28.886274,29.598029,30.218598,28.833422,3.934232,90.450417
1024,100.142415,126.241699,131.000753,0.993210,0.993210,31.585347,33.782436,32.318582,31.624710,33.844731,32.168149,3.984264,91.652995
1500,99.353111,132.474111,129.954229,0.929944,0.929944,33.476177,35.787771,37.051829,33.554343,35.742252,36.986646,3.996561,87.937111
2048,104.014811,126.181722,131.661335,0.939881,0.939881,36.987114,39.394608,44.584284,36.965984,39.451708,44.647602,3.985802,86.677409
3000,102.348778,131.780222,139.327617,0.934871,0.934871,44.418303,44.907862,52.226122,44.507492,44.868486,52.241388,4.044448,87.375778
6000,108.476528,120.933417,160.765210,0.933562,0.933562,51.908026,52.754817,65.041235,54.310556,54.410359,65.052002,4.387803,89.639389
8192,90.741699,111.845235,172.513867,0.932711,0.932711,60.631222,60.143196,71.631103,60.706442,59.796413,71.631665,4.611774,92.179321
12000,98.357014,128.081069,180.479781,0.999084,0.999084,70.683195,70.129209,83.006190,70.622538,70.078189,83.039433,5.925567,111.632500
16384,102.943980,125.869873,187.936822,0.998355,0.998355,75.931243,74.947050,89.541002,75.969313,74.937600,89.535555,10.858923,102.659119
25000,108.335227,143.586087,200.217464,0.951765,0.951765,79.834214,78.112324,94.182307,79.747879,77.991376,94.158643,14.689770,109.041547
32768,113.870326,141.726308,207.004974,0.986305,0.986305,83.729752,82.597988,98.326970,83.717096,82.597890,98.344804,15.424168,117.803202
45000,118.729259,163.873585,212.482708,0.989424,0.989424,86.852717,85.122724,102.152474,86.913363,85.271920,102.130678,15.655945,124.565637
60000,123.211492,157.437644,223.915270,0.964119,0.964119,90.313316,87.905216,105.673006,90.117377,87.739073,105.686058,15.753567,130.008967
100000,137.472857,187.196267,247.571118,0.926810,0.926810,97.799445,91.102461,110.860304,97.460902,90.799806,110.817099,16.276707,145.866023
150000,152.676922,187.843402,290.336163,0.938256,0.938256,121.412838,104.329278,127.045963,119.664680,103.288695,127.017293,16.971062,156.459378
200000,184.107925,239.081857,328.089149,0.988098,0.988098,154.304239,129.147352,157.351646,154.483411,129.571866,157.302432,18.636108,169.095040
300000,204.144486,243.261197,377.780761,0.924491,0.924491,196.465241,167.453500,202.686441,199.510521,169.954285,202.670075,23.116427,186.273046
400000,220.596927,325.280065,412.267394,0.973575,0.973575,224.405711,202.489427,231.457646,222.040537,200.173937,231.362942,31.715669,242.069463
600000,263.474069,347.521832,455.807011,0.985379,0.985379,246.419716,228.091716,260.960398,246.072103,228.148174,260.447459,41.801249,259.612642
800000,294.619026,440.169411,476.959542,0.959024,0.959024,261.652014,241.599772,278.040609,261.427522,241.191962,277.733928,47.767677,279.056215
1200000,301.444613,418.102434,530.832445,0.970562,0.970562,277.803027,257.498309,295.636138,277.629971,257.065458,295.843583,51.603257,299.181649
2200000,328.764482,488.711067,568.689065,0.948020,0.948020,294.646731,272.717210,312.855152,294.663741,270.725595,312.752872,55.993595,329.844782
3100000,354.699064,681.053722,589.721779,0.975056,0.975056,305.351840,281.973428,327.888015,308.675395,283.922466,329.473540,56.773572,345.711041
6000000,411.370144,756.485814,598.472242,0.929367,0.929367,324.861229,283.750882,329.184392,321.069949,283.618213,339.947626,52.825089,346.640415
10000000,431.930731,677.311388,602.908311,0.965930,0.965930,0.000000,310.339677,339.824952,336.638767,0.000000,362.395453,72.705209,244.873916
