element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,39.296875,69.677083,42.890047,0.864865,0.864865,9.774133,15.143287,12.540366,9.771010,15.153220,12.541263,1.933074,46.510417
110,38.157576,67.069697,44.019633,0.973451,0.973451,10.733901,14.368850,12.796602,10.732791,14.362978,12.793288,4.797294,43.690909
240,49.813194,65.900000,44.291134,0.995851,0.995851,11.373979,14.976866,13.415902,11.388292,14.984704,13.417448,4.684174,44.583333
500,49.754667,67.784333,44.556007,0.994036,0.994036,11.482478,15.650060,13.332537,11.479198,15.626518,13.324296,4.635757,43.471333
800,51.187500,70.515208,46.235088,0.972053,0.972053,11.752765,14.849291,13.443191,11.755181,14.819344,13.481651,4.674070,43.703750
1024,51.681641,65.595866,47.601938,0.993210,0.993210,11.982187,15.135435,13.449661,12.006332,15.157097,13.469738,5.317707,44.097331
1500,51.284778,70.657000,48.489043,0.929944,0.929944,11.990142,15.109237,13.263524,12.097280,15.120396,13.252121,9.075643,43.497333
2048,51.691243,65.765544,49.697817,0.939881,0.939881,14.005342,18.690841,14.672369,14.260448,18.679504,14.510926,10.198316,43.864095
3000,52.359556,71.945389,50.555645,0.934871,0.934871,15.395969,22.336669,17.859911,15.206839,22.287392,17.894773,10.857473,43.563222
6000,53.763972,70.769167,53.598605,0.933562,0.933562,18.127461,25.752593,23.863389,17.956020,25.809501,23.818039,11.844891,44.407667
8192,45.717611,64.501546,55.273260,0.932711,0.932711,19.051427,27.500134,27.086201,19.071587,27.516589,27.062337,12.118005,44.921631
12000,46.962542,71.396069,58.039788,0.999084,0.999084,21.015325,29.585016,31.176237,21.023464,29.523045,31.167989,12.861243,46.185806
16384,47.525472,66.750895,63.193888,0.998355,0.998355,22.133610,31.120590,34.139723,22.481490,31.334799,34.139074,13.464452,46.994751
25000,49.928873,76.152987,71.573331,0.951765,0.951765,24.518932,33.682591,37.889228,24.612938,33.716624,37.914464,14.694906,48.502373
32768,53.419093,74.152669,79.424155,0.986305,0.986305,27.083112,37.405080,41.928686,27.284967,37.510512,41.937190,16.311705,51.512777
45000,58.506367,90.936204,86.493057,0.989424,0.989424,30.116849,41.224844,45.961757,29.876881,41.176179,45.963450,22.394945,55.894489
60000,62.250836,87.037225,90.988043,0.964119,0.964119,31.277055,42.858940,48.078745,31.260026,42.888833,48.041381,27.001284,59.511383
100000,70.655737,105.623350,95.842789,0.926810,0.926810,32.547942,44.793281,49.850693,31.892153,44.030559,49.763729,32.316558,65.133953
150000,74.267089,100.327062,97.271263,0.938256,0.938256,32.902416,45.714649,51.195302,32.939614,45.804203,51.142921,35.929825,69.057922
200000,79.111093,116.541235,102.548937,0.988098,0.988098,34.089402,48.058279,52.156058,33.334108,46.840817,52.168056,39.220890,69.686807
300000,81.966098,107.834947,106.455489,0.924491,0.924491,33.894670,46.520895,51.470506,33.121490,45.813189,51.912721,40.686675,72.270848
400000,103.851009,130.059384,126.545496,0.973575,0.973575,35.051122,49.168531,54.765870,37.741280,49.939808,54.755197,43.619172,77.377351
600000,116.067897,132.592149,168.503560,0.985379,0.985379,50.268255,63.446317,72.064695,51.065875,65.305669,72.329172,48.992285,90.580051
800000,121.291413,181.718734,197.807760,0.959024,0.959024,62.010439,76.567282,85.852764,63.458359,77.874326,85.848470,55.288022,100.813386
1200000,145.161528,182.093200,239.163831,0.970562,0.970562,77.412906,97.314422,104.662329,77.559137,96.744551,104.681121,71.737261,131.856386
2200000,184.930607,268.828558,279.328263,0.948020,0.948020,90.161873,115.197089,123.217959,90.200964,115.149565,123.491102,126.420731,166.704117
3100000,205.404489,402.940188,295.470389,0.975056,0.975056,95.909995,126.299628,133.892063,96.418212,125.617622,133.525071,197.649915,184.625287
6000000,257.059321,482.450595,310.644636,0.929367,0.929367,105.496477,133.730381,139.640517,105.250726,131.483301,143.949636,111.451044,212.481382
10000000,277.166423,425.133838,321.490091,0.965930,0.965930,112.140206,141.926670,150.196312,112.201369,141.847313,155.595613,inf,229.710518
