element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,63.427083,89.630208,77.198546,0.864865,0.864865,21.410848,21.425391,19.339555,21.595458,21.422522,19.344334,0.591673,70.104167
110,66.618182,88.672727,79.527230,0.973451,0.973451,26.659872,21.662934,21.590272,26.758623,21.657150,21.591753,1.216548,70.630303
240,74.394444,102.187500,79.779499,0.995851,0.995851,27.219688,27.568348,25.957129,27.259165,27.538301,26.020198,1.172548,66.625000
500,72.193000,103.050333,85.500370,0.994036,0.994036,29.074224,34.728347,29.035116,29.188313,34.814362,28.836384,1.248148,65.842000
800,75.530000,107.392500,88.083975,0.972053,0.972053,30.785304,35.851202,32.663194,30.865474,35.719677,32.776633,3.724428,67.200417
1024,73.400553,101.716960,85.376068,0.993210,0.993210,30.496065,36.073458,35.316062,30.638600,37.165719,35.395922,3.754310,69.181966
1500,75.202556,105.605111,85.676006,0.929944,0.929944,32.147405,36.374010,38.353015,32.372758,37.616338,38.364554,3.821967,70.047778
2048,74.581462,103.818441,86.889056,0.939881,0.939881,31.369850,37.617574,40.168828,31.524594,38.627743,40.124699,3.819981,69.430176
3000,76.406889,106.948611,88.765952,0.934871,0.934871,32.683355,41.280656,41.817040,32.532424,40.036388,41.851029,3.844591,68.276667
6000,77.942583,103.827944,93.671925,0.933562,0.933562,33.803271,43.251045,47.099246,33.445165,43.033696,46.953265,3.965870,68.740389
8192,69.864339,98.872111,102.296486,0.932711,0.932711,34.585835,43.496377,49.503287,35.215998,43.672703,49.510241,4.099005,72.999634
12000,73.430139,108.000167,111.949922,0.999084,0.999084,42.508139,51.113723,56.443081,41.645923,50.323114,56.431044,5.617740,73.058917
16384,75.949137,103.878957,122.501839,0.998355,0.998355,47.724034,55.440795,61.978696,46.860525,54.993886,61.928984,7.017540,75.825277
25000,81.764827,123.339247,133.366264,0.951765,0.951765,52.525345,60.938156,70.082118,52.796206,60.806897,70.136471,9.324686,81.317480
32768,87.131709,121.064265,141.055208,0.986305,0.986305,56.199343,65.628866,75.610565,56.800285,65.915518,75.802666,10.534611,87.292267
45000,99.999296,139.600456,165.180945,0.989424,0.989424,59.503262,69.028753,77.678475,57.993692,67.809830,77.683425,11.078168,95.117607
60000,103.921928,134.802303,168.141618,0.964119,0.964119,58.974313,69.210766,77.956275,58.008407,68.164045,77.887467,11.633910,96.916211
100000,100.610340,150.198117,150.878234,0.926810,0.926810,59.307506,69.090455,78.989508,58.432508,68.178750,79.512765,12.040806,97.806350
150000,118.555071,141.916000,171.484927,0.938256,0.938256,60.337386,70.435050,82.482003,60.848991,71.125838,82.284764,12.210743,109.024547
200000,110.761150,160.306910,168.402308,0.988098,0.988098,65.947341,76.942085,85.977722,63.839962,75.221685,86.249867,12.951969,109.058682
300000,146.684181,184.038417,252.696314,0.924491,0.924491,85.712990,88.684200,92.681084,75.005405,80.522605,93.071195,13.677915,131.724869
400000,145.400342,252.909288,261.281993,0.973575,0.973575,110.258627,106.822130,134.757686,116.022775,114.901728,135.170541,17.553650,134.667573
600000,193.146759,257.923526,368.627831,0.985379,0.985379,147.248822,146.800211,163.258070,141.872270,138.128114,160.987940,22.317416,178.307994
800000,175.029885,328.971449,346.259164,0.959024,0.959024,156.779202,155.329427,191.229846,163.540749,163.704347,190.198675,27.373032,195.818628
1200000,218.789702,319.363112,454.313184,0.970562,0.970562,191.673029,202.951539,214.128802,181.855469,183.827203,215.059566,32.386381,217.845289
2200000,247.659298,403.216157,437.863222,0.948020,0.948020,190.695021,195.519083,227.838319,195.131321,195.538964,227.446534,37.401076,248.638437
3100000,266.736081,626.572955,460.379925,0.975056,0.975056,204.397657,208.792703,257.105455,222.238791,236.492889,256.392776,39.486986,283.246097
6000000,327.903517,727.169570,483.143342,0.929367,0.929367,238.567553,211.995585,263.703248,216.078719,222.349940,252.449730,37.283256,284.093686
10000000,327.750171,634.264448,501.329042,0.965930,0.965930,231.723604,224.396361,286.613347,227.676120,240.818158,265.971292,53.503962,298.734513
