element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,26.630208,51.791667,26.685245,0.500000,0.500000,17.472500,9.196732,9.734764,17.574557,9.204185,9.289209,2.928034,28.697917
110,23.283333,50.810606,35.105964,0.429688,0.859375,14.325802,8.461469,9.081860,36.663310,34.646356,30.950013,3.243322,66.084848
240,24.677083,53.505556,37.945227,0.468750,0.468750,17.884110,10.019962,10.552897,18.035128,10.044551,10.598561,3.018143,28.722222
500,25.937333,58.216000,40.533027,0.488281,0.488281,18.072961,12.009655,13.113120,18.054725,12.021457,13.042143,3.100618,28.324667
800,26.094375,65.086458,34.778898,0.390625,0.781250,16.240257,11.493123,13.639928,37.388865,32.198358,31.946506,3.957036,68.587917
1024,28.040527,58.393717,27.628423,0.500000,0.500000,19.724899,15.109581,17.811867,19.877753,15.165158,17.818006,3.541471,29.057943
1500,25.794778,67.432111,33.752236,0.366211,0.732422,15.308454,12.551250,16.554723,30.476033,26.189617,26.787844,6.157742,63.656889
2048,28.368083,58.810140,28.871348,0.500000,0.500000,19.291540,17.932243,21.632403,19.362260,17.860928,21.602385,5.941978,28.949219
3000,27.287889,69.495111,35.313216,0.366211,0.732422,15.751813,14.843928,20.494574,32.624955,29.459329,29.782250,8.204699,65.559889
6000,29.557361,81.457917,40.647910,0.366211,0.732422,17.370780,17.114063,24.270791,31.911111,30.216306,30.666054,9.494606,69.787667
8192,31.754008,65.243347,38.424215,0.500000,0.500000,21.755223,23.287398,28.496448,21.673577,23.084357,28.506966,8.172262,32.466471
12000,33.712986,79.048292,47.463025,0.366211,0.732422,21.429270,20.595283,29.259307,35.021367,33.417025,34.269132,11.028407,79.045861
16384,36.274119,69.029307,42.208396,0.500000,0.500000,26.584351,27.037489,33.473750,26.695915,26.898344,33.480450,8.914235,36.139079
25000,36.050753,78.936940,52.227381,0.381470,0.762939,23.320930,22.961025,30.511814,41.944800,40.582795,41.390367,10.859451,78.776373
32768,38.363388,70.360285,45.139224,0.500000,0.500000,27.089839,27.918854,34.491379,27.765313,28.322973,34.504341,9.110427,37.081055
45000,36.117433,89.174281,51.014618,0.343323,0.686646,23.379944,22.103372,30.229631,39.888474,38.170326,41.875788,11.238852,79.292815
60000,38.232303,75.299322,63.082625,0.457764,0.457764,26.085994,26.613219,33.838660,26.614766,26.950187,33.789186,9.906529,37.064350
100000,47.123257,104.224310,57.699816,0.381470,0.762939,24.797466,24.091556,31.283427,44.611827,43.279589,45.045209,10.982975,95.271713
150000,54.492887,154.021264,69.800031,0.286102,0.572205,23.371549,20.446306,29.378645,32.069876,32.305522,37.383406,13.044705,122.234329
200000,57.047358,139.024950,83.330617,0.381470,0.762939,29.108028,26.520266,34.968049,46.022871,44.700211,46.352499,11.712353,118.990940
300000,97.506341,194.302673,98.039335,0.286102,0.572205,40.484073,31.117487,41.875325,41.697595,40.275700,46.759430,15.212014,158.319743
400000,91.303530,164.863511,112.147358,0.381470,0.762939,45.554185,39.038840,49.010504,59.258654,57.404365,59.969103,14.424891,147.061782
600000,108.739309,210.230418,116.028569,0.286102,0.572205,54.408190,43.184345,54.881760,61.281925,55.526157,65.597203,15.522998,178.172047
800000,102.300388,178.139506,129.714717,0.381470,0.762939,61.081556,49.593807,62.762183,82.171305,78.742627,84.161363,14.948808,162.541459
1200000,113.343088,221.755309,126.840223,0.286102,0.572205,62.828611,49.388150,62.484218,74.431729,66.862537,77.412170,15.288894,182.847647
2200000,118.360003,241.830274,129.980377,0.262260,0.524521,66.487937,51.648761,65.360327,77.109909,67.073510,79.216904,15.234346,191.341241
3100000,110.108953,196.452338,143.504862,0.369549,0.739098,71.295336,58.158286,71.547699,100.760596,95.827803,104.136984,13.214069,170.461169
6000000,111.680963,203.391366,144.741118,0.357628,0.715256,73.164299,59.089057,72.850873,100.521799,94.778810,104.213934,11.833438,172.824022
10000000,115.984860,228.977998,138.666489,0.298023,0.596046,71.288603,55.795482,70.173620,88.230744,78.923663,90.317418,16.342916,183.172975
