element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,26.828125,54.963542,36.040843,0.500000,0.500000,8.826931,6.457006,7.486435,8.988915,6.526021,7.486404,2.904914,33.010417
110,29.254545,56.646970,43.712305,0.429688,0.859375,8.946833,6.300582,7.523161,10.612095,8.401879,9.572165,3.148808,73.924242
240,32.660417,61.111111,46.086929,0.468750,0.468750,10.617944,6.317669,7.847837,10.542900,6.315910,7.894581,3.090763,34.341667
500,31.589000,65.702333,47.982112,0.488281,0.488281,12.569042,6.952737,8.975698,12.523794,6.984132,8.974902,3.076456,36.070000
800,31.311875,69.455625,42.454782,0.390625,0.781250,14.027931,7.299176,10.145306,19.108876,8.700531,15.779459,3.833757,76.985000
1024,33.756999,62.798991,36.186719,0.500000,0.500000,16.598858,9.087471,13.790238,16.733965,8.894152,13.747786,3.619528,37.598307
1500,34.491889,72.242000,41.198460,0.366211,0.732422,17.113772,10.803833,15.017804,27.676338,13.688313,25.089119,6.364192,79.333556
2048,35.991292,64.124349,36.773773,0.500000,0.500000,20.889679,14.270867,21.533723,20.907483,14.316260,21.612818,6.017572,37.819987
3000,36.747222,137.003500,42.022462,0.366211,0.732422,20.832058,14.468438,21.064743,33.466636,23.103652,29.939588,8.042531,118.309778
6000,52.526028,162.045000,48.526962,0.366211,0.732422,23.035590,16.944604,26.103383,36.547116,28.435765,34.357977,9.262014,86.971111
8192,42.751506,130.013550,45.666663,0.500000,0.500000,26.380030,22.932762,31.564593,26.493191,23.023881,31.530344,8.129408,43.414225
12000,40.947875,178.604861,52.754284,0.366211,0.732422,24.467417,21.038440,32.277434,38.116994,31.036264,37.297459,10.953681,86.995194
16384,47.259176,145.183675,48.318877,0.500000,0.500000,29.310296,27.499299,36.968565,29.264820,27.562211,36.921550,9.241123,42.489197
25000,43.096620,147.458073,56.181241,0.381470,0.762939,26.527979,23.680305,35.330346,46.563391,37.392389,44.039528,10.879683,87.852707
32768,44.901138,131.336802,50.251020,0.500000,0.500000,30.583693,28.295592,38.425788,30.970495,28.653217,38.416154,9.136165,43.654836
45000,42.237122,138.304896,55.209535,0.343323,0.686646,26.369503,22.860608,34.965501,44.073122,36.048468,43.795126,11.278020,90.840296
60000,45.705922,109.658550,63.000152,0.457764,0.457764,29.901135,27.490396,37.927628,30.166851,27.764362,37.936309,9.854630,43.379867
100000,56.664203,139.500057,58.572241,0.381470,0.762939,27.711377,24.541717,35.483306,50.142719,39.866840,46.582183,10.866990,100.181280
150000,74.043216,198.231624,68.940144,0.286102,0.572205,27.103334,21.607767,33.462097,36.050990,32.122670,40.499171,12.886769,131.645731
200000,59.178117,160.965842,77.456533,0.381470,0.762939,31.128629,26.532597,37.918455,50.948369,40.937256,47.456226,11.682872,120.679375
300000,98.992633,216.744872,89.682564,0.286102,0.572205,39.789198,30.881392,44.432875,44.563103,39.347876,49.082834,15.113504,160.905992
400000,92.689714,181.087382,101.075422,0.381470,0.762939,45.512769,38.820179,50.246036,58.317767,47.859509,54.786377,14.270479,148.376502
600000,109.607392,213.318658,103.749359,0.286102,0.572205,50.549126,42.715935,54.688230,59.146997,50.843325,61.261246,15.449719,179.131156
800000,102.977725,182.138675,114.598981,0.381470,0.762939,56.753936,47.982824,60.465398,76.553782,63.853691,71.878509,14.947564,163.176780
1200000,113.637248,224.845912,111.582771,0.286102,0.572205,57.344316,48.411349,60.827503,70.597467,60.282363,69.994073,15.268011,183.097421
2200000,118.533854,244.821960,112.834069,0.262260,0.524521,60.181962,50.561961,63.300229,71.920888,61.906290,72.011734,15.181559,191.946702
3100000,110.039643,199.766277,122.840063,0.369549,0.739098,64.962236,56.487683,67.605759,91.794527,75.206447,84.587705,13.221581,170.483550
6000000,111.555673,206.639069,121.734580,0.357628,0.715256,66.223477,57.475826,68.855041,92.286320,75.521142,85.302611,11.795552,172.670399
10000000,115.824679,232.194259,115.791332,0.298023,0.596046,64.252349,54.508037,67.085569,82.095299,69.188732,79.083767,16.263433,183.006716
