element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,59.989583,92.526042,43.595582,0.500000,0.500000,21.642944,14.322771,14.833153,21.558287,14.233295,15.386224,2.414686,52.229167
110,60.366667,86.096970,56.028765,0.429688,0.859375,27.354648,15.609197,18.053867,65.616369,60.234364,59.666437,2.456435,106.978788
240,56.646528,80.401389,64.391310,0.468750,0.468750,25.316982,18.706371,18.814729,25.100686,18.590344,18.845507,2.426483,48.993056
500,57.575000,81.847333,64.186144,0.488281,0.488281,28.607269,21.158290,22.731568,28.587682,21.148713,22.859315,2.487042,50.568000
800,47.434375,83.675208,60.925903,0.390625,0.781250,25.761719,20.232763,23.692132,46.491910,36.368855,38.638486,3.727475,93.516667
1024,49.979004,77.215007,50.183361,0.500000,0.500000,31.031406,24.008105,28.509480,31.105412,24.026976,28.477939,4.558405,51.135091
1500,47.939222,87.200667,58.063731,0.366211,0.732422,27.357680,22.255786,28.826229,45.970060,36.530913,39.907658,8.379675,124.437333
2048,52.302246,79.423340,59.295636,0.500000,0.500000,34.510846,27.640159,35.344560,34.555882,27.697452,35.354449,6.806047,54.530924
3000,54.158944,91.482333,76.200570,0.366211,0.732422,30.298574,23.378845,34.038588,48.417933,38.264592,43.650827,9.566813,103.718889
6000,67.182083,103.737611,93.255111,0.366211,0.732422,45.877600,31.208603,48.367753,66.017120,50.205985,59.474590,10.463360,112.328944
8192,70.385966,94.838786,92.088569,0.500000,0.500000,57.217920,42.059988,58.730880,57.487293,42.211900,58.819737,8.441743,70.556722
12000,72.295708,108.971153,105.078495,0.366211,0.732422,54.524582,38.644085,56.611418,78.559276,59.944177,71.030965,11.643764,119.479083
16384,77.354065,102.703807,98.144944,0.500000,0.500000,64.011515,47.188339,64.369995,63.980849,47.007341,64.426360,9.125343,77.683309
25000,76.541753,114.786700,120.879280,0.381470,0.762939,59.846795,42.434022,61.770025,88.959590,68.405266,79.500219,11.423342,138.668293
32768,83.067978,109.404078,111.174458,0.500000,0.500000,70.750476,51.362192,70.155494,70.769186,51.199334,70.188017,9.178066,86.211385
45000,86.557126,130.752652,126.356351,0.343323,0.686646,63.310390,43.421986,64.461525,85.858393,63.957820,77.689776,12.041608,151.919141
60000,94.775761,123.597167,146.289054,0.457764,0.457764,73.522053,51.459316,73.719416,74.141639,51.854365,73.638095,10.130787,103.652867
100000,124.359697,159.278017,179.540656,0.381470,0.762939,92.701530,54.603533,84.090928,123.942697,86.057843,106.186721,11.765999,192.859327
150000,160.087042,208.939838,208.602538,0.286102,0.572205,123.208006,63.555777,108.704786,148.656142,92.412458,133.659141,14.378069,246.596407
200000,164.858582,191.687707,236.009988,0.381470,0.762939,158.052522,92.640410,140.768372,200.538158,150.406329,180.355387,12.165113,253.811823
300000,262.287428,358.813754,239.207212,0.286102,0.572205,172.100708,103.767771,151.207729,199.962875,142.410066,185.626688,16.297895,303.491864
400000,269.285218,352.699722,257.719293,0.381470,0.762939,187.213687,122.834394,170.873483,247.859249,191.185568,225.223236,14.893124,274.674343
600000,304.609256,436.011324,274.466033,0.286102,0.572205,186.958613,117.644229,167.751078,224.819586,161.902191,210.113804,17.704907,276.336043
800000,311.081995,424.045578,291.840438,0.381470,0.762939,206.539037,134.657561,184.337036,279.361415,215.713444,253.261158,15.377277,284.292280
1200000,314.217702,496.548014,275.698980,0.286102,0.572205,209.665086,124.610101,175.573724,240.524264,171.120119,221.135599,17.198408,288.785008
2200000,335.450320,557.310868,277.931445,0.262260,0.524521,216.207901,123.887933,177.829304,243.666935,168.393526,222.810666,17.729014,298.021710
3100000,342.010061,531.509891,315.067630,0.369549,0.739098,221.454310,141.880472,197.383590,306.820946,231.599648,275.883534,13.403319,285.451207
6000000,356.729505,571.193791,321.529419,0.357628,0.715256,223.994817,142.753172,200.178302,307.518668,228.518426,276.429213,11.831641,281.404972
10000000,366.059613,611.913552,302.438886,0.298023,0.596046,220.839604,139.830642,193.572838,279.694762,193.074917,248.910922,17.886923,294.350833
