element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,59.796875,92.770833,49.501437,0.500000,0.500000,23.143739,16.956058,16.367444,23.256528,16.170925,16.374929,2.429254,52.166667
110,60.301515,87.963636,57.538831,0.429688,0.859375,23.085196,18.408515,17.703018,32.595692,29.580921,24.041652,2.540130,85.984848
240,59.597917,84.767361,62.431374,0.468750,0.468750,30.504013,23.779176,22.956061,30.470954,23.138979,23.060851,2.468052,53.118056
500,58.491000,87.125000,67.779883,0.488281,0.488281,30.721720,25.874533,26.087975,30.396591,25.793774,26.147544,2.513517,51.849333
800,48.890833,83.469167,57.845814,0.390625,0.781250,26.308081,23.229482,26.348588,46.888329,39.338916,41.475319,3.625511,94.131250
1024,51.105306,78.734863,50.449249,0.500000,0.500000,32.199121,27.260608,31.599812,32.295573,26.492641,31.529802,3.316037,71.209961
1500,50.023778,88.914667,58.167259,0.366211,0.732422,29.247176,23.904941,31.175081,47.088581,37.513117,40.877563,6.870371,96.608667
2048,53.915120,81.956299,62.215784,0.500000,0.500000,35.323374,29.190184,36.133196,35.225344,29.075358,36.117372,6.200476,55.572591
3000,57.158222,93.643889,72.810993,0.366211,0.732422,32.605002,26.827898,36.021084,50.029421,40.038462,45.663496,8.716895,105.694000
6000,70.037500,104.644444,91.576793,0.366211,0.732422,47.719061,33.444600,49.496577,65.266260,49.628348,58.928980,10.216995,112.734833
8192,70.862752,95.737874,90.027926,0.500000,0.500000,58.951817,43.679448,59.235847,58.656876,44.045095,59.234833,7.989113,70.866536
12000,74.077139,110.524264,103.616170,0.366211,0.732422,56.308952,40.380233,58.068790,79.215807,60.714948,71.508195,10.898822,121.285722
16384,77.802195,104.209544,99.264535,0.500000,0.500000,65.463696,49.056505,64.642442,65.527964,49.054120,64.624637,9.003751,77.443400
25000,77.643420,115.517220,119.670134,0.381470,0.762939,61.426220,44.095187,62.850832,88.783507,69.465308,80.008722,10.945646,127.569000
32768,83.291697,110.104558,100.609421,0.500000,0.500000,67.377251,50.308622,67.434013,68.558361,50.436535,67.428896,8.980305,83.573486
45000,85.639922,130.901770,125.577282,0.343323,0.686646,64.056728,44.632594,66.010564,85.277751,63.582630,76.777675,11.565006,148.488600
60000,94.873633,122.861858,137.432032,0.457764,0.457764,75.400297,53.507726,73.956306,75.328738,53.442561,73.922800,9.909921,104.161683
100000,123.765073,161.565233,180.479008,0.381470,0.762939,95.731766,56.924669,85.878338,124.055100,89.724017,107.717765,11.304770,191.687793
150000,159.919273,209.239156,209.156903,0.286102,0.572205,121.894782,61.154798,109.180630,148.138435,93.309308,129.352703,13.228376,252.978304
200000,165.062892,196.408862,232.147115,0.381470,0.762939,158.949404,94.212445,140.484972,193.869411,146.603680,174.541497,11.616781,254.702462
300000,260.765302,362.232707,236.152281,0.286102,0.572205,174.062139,105.473230,153.268813,200.579172,143.505957,181.568469,15.589861,285.774649
400000,269.471109,354.385139,255.847926,0.381470,0.762939,189.055986,125.650253,171.772338,242.746120,187.228611,217.766746,14.368205,275.548023
600000,303.300455,435.582997,266.949012,0.286102,0.572205,189.420594,121.006565,169.711378,224.562599,162.180127,203.090963,17.004316,276.939154
800000,311.731517,423.987057,293.585390,0.381470,0.762939,204.866680,136.642575,185.569757,275.103774,212.223447,246.236526,14.852111,266.595101
1200000,315.550490,497.778806,275.656848,0.286102,0.572205,213.719881,127.783952,184.317170,242.349268,173.247973,218.159591,16.686031,291.657643
2200000,336.292387,558.382109,275.805991,0.262260,0.524521,218.444814,127.325432,181.550823,244.538102,170.798673,219.332431,16.832631,301.356127
3100000,341.403658,531.642537,313.197874,0.369549,0.739098,224.332243,145.391552,202.603000,310.277373,232.517479,273.958660,12.951317,284.360178
6000000,355.598286,576.511504,317.746084,0.357628,0.715256,228.612936,147.271126,202.671327,308.159350,227.417685,274.565922,11.554403,283.080723
10000000,369.053838,619.646938,305.874833,0.298023,0.596046,227.578792,140.038379,197.393206,277.806964,198.774896,249.473165,16.873042,292.193302
