element_num,avg_construct_time_with_reserve_ns,avg_construct_time_without_reserve_ns,avg_erase_insert_ns,no_rehash_load_factor,with_rehash_load_factor,avg_hit_without_rehash_lookup_ns,avg_miss_without_rehash_lookup_ns,avg_50%_hit_without_rehash_lookup_ns,avg_hit_with_rehash_lookup_ns,avg_miss_with_rehash_lookup_ns,avg_50%_hit_with_rehash_lookup_ns,avg_iterate_ns,avg_with_final_rehash_construct_ns
32,26.208333,51.703125,26.007532,0.500000,0.500000,14.513823,11.090365,11.093406,14.367578,11.151564,11.096538,2.358040,29.791667
110,26.906061,55.368182,35.554508,0.429688,0.859375,16.208893,10.464701,11.334268,30.413939,26.720997,26.255365,2.538348,67.015152
240,26.627083,54.114583,38.444093,0.468750,0.468750,17.818869,14.012775,11.653056,17.958052,13.792891,11.929357,2.507628,30.438889
500,28.342667,57.100667,41.066991,0.488281,0.488281,19.568049,16.096611,14.561281,19.495602,16.076539,14.500350,2.425210,30.583333
800,26.918333,62.751875,35.024398,0.390625,0.781250,17.030644,15.730446,15.598206,33.583556,29.639365,29.598036,3.398289,66.470000
1024,28.582194,55.919596,27.745459,0.500000,0.500000,20.264712,18.618520,19.702937,20.219940,18.522682,19.700936,3.632352,30.100260
1500,28.198111,66.805556,34.033221,0.366211,0.732422,18.046583,15.974168,19.402054,31.124312,27.167780,28.073466,6.702255,65.503556
2048,30.574300,59.094157,28.768771,0.500000,0.500000,21.928054,20.308632,23.689277,21.926901,20.355514,23.607392,6.219047,31.290365
3000,29.165667,69.977111,35.492306,0.366211,0.732422,17.669343,17.641923,22.249261,33.460063,29.953869,30.531124,8.542334,71.485556
6000,31.251667,82.837111,43.991688,0.366211,0.732422,17.751725,18.618039,24.892254,33.743662,31.163128,31.940052,9.696866,71.132333
8192,33.456991,64.980265,42.237391,0.500000,0.500000,23.940862,24.589794,29.981430,24.133592,24.646956,30.034904,8.112012,34.690104
12000,35.411000,78.747958,51.475153,0.366211,0.732422,23.790515,22.539811,30.615952,37.591322,34.767452,36.062088,10.908548,77.595167
16384,38.133525,68.473592,46.886689,0.500000,0.500000,29.043552,29.188339,34.851631,29.038770,29.284226,34.850654,8.898199,38.291382
25000,38.433773,79.630420,56.815154,0.381470,0.762939,26.987459,25.750533,32.624549,42.805170,40.121765,41.179490,10.877261,82.528600
32768,40.713145,70.394587,50.300016,0.500000,0.500000,30.180440,30.483418,35.859959,30.457729,30.706156,35.874141,8.851075,39.437724
45000,38.204393,90.162933,55.940480,0.343323,0.686646,26.644636,24.735573,32.598445,41.876446,39.875255,42.580223,11.298822,83.090007
60000,40.831417,76.574194,68.113631,0.457764,0.457764,29.591415,29.612748,35.934897,29.826981,29.726543,36.025270,9.626824,39.942372
100000,49.983880,108.225440,65.234588,0.381470,0.762939,27.925760,26.461433,33.712599,47.427337,44.884836,46.592813,10.753731,102.107270
150000,56.904429,154.287189,71.756145,0.286102,0.572205,29.907642,23.962577,32.959301,36.675376,36.289779,40.960320,13.961060,123.261033
200000,56.813212,137.573400,83.976532,0.381470,0.762939,32.732688,28.952842,39.976209,48.433745,46.036333,47.632841,12.306882,124.195090
300000,98.742426,195.816699,98.659512,0.286102,0.572205,44.677854,36.117251,46.833539,43.247128,42.292353,47.110821,15.387301,160.341436
400000,93.499507,164.921452,115.214639,0.381470,0.762939,50.827713,43.019245,53.635042,60.034695,57.787569,59.783077,14.270833,149.555853
600000,110.142541,210.576847,118.716452,0.286102,0.572205,60.303052,47.698746,61.001309,66.395928,61.095337,69.322230,15.718554,180.942705
800000,104.621811,178.316318,134.070266,0.381470,0.762939,66.941465,54.902056,68.711664,87.189247,82.766901,87.083124,14.858275,166.028199
1200000,114.966917,221.985040,131.198879,0.286102,0.572205,69.884743,54.340905,69.931861,80.356406,74.017438,82.468542,15.515253,185.752600
2200000,119.719308,241.842866,134.975694,0.262260,0.524521,74.667862,56.513169,73.556966,83.834184,75.007524,84.944664,15.475403,193.975096
3100000,112.662212,196.714731,149.169543,0.369549,0.739098,78.935044,64.629808,78.718733,108.851980,101.952863,108.400353,13.163517,174.417287
6000000,114.047405,203.714452,150.547823,0.357628,0.715256,81.047862,65.594317,80.463171,109.432372,101.688998,109.087204,11.739552,176.698432
10000000,117.730507,229.387849,144.705616,0.298023,0.596046,79.772726,61.384449,78.678733,96.193750,87.509487,96.633073,16.430332,186.415045
